miRNA	Accession No.	Description	Gene symbol
hsa-miR-200, hsa-miR-146	NM_031370.2	heterogeneous nuclear ribonucleoprotein D	AUF1 (HNRPD)
hsa-miR-146, hsa-miR-30	NM_018014.3	B-cell CLL/lymphoma 11A	BCL11A
hsa-miR-200b, hsa-miR-23, hsa-miR-30	NM_022898.1	B-cell CLL/lymphoma 11B	BCL11B
hsa-miR-30	NM_000633.2	B-cell CLL/lymphoma 2	BCL2
hsa-miR-101, hsa-miR-30	NM_138621.3	BCL2-like 11	BCL2L11
hsa-miR-30	NM_001706.3	B-cell leukemia/lymphoma 6	BCL6
hsa-miR-139, hsa-miR-30	NM_001123384.1	BCL6 co-repressor	BCOR
hsa-miR-23	NM_001167.2	X-linked inhibitor of apoptosis	BIRC4
hsa-miR-30	NM_001127428.1	caspase 3	CASP3
hsa-miR-23	NM_033340.2	caspase 7	CASP7
hsa-miR-200b	NM_001025432.1	CREB binding protein	CREBBP (CBP)
hsa-miR-101, hsa-miR-23	NM_006565.2	CCCTC-binding factor	CTCF
hsa-miR-23	NM_001033883.1	chemokine (C-X-C motif) ligand 12	CXCL12
hsa-miR-199a, hsa-miR-101, hsa-miR-30	NM_175629	DNA (cytosine-5-)-methyltransferase 3 alpha	DNMT3A
hsa-miR-101	NM_032482.2	DOT1-like	DOT1L
hsa-miR-200b	NM_004417	dual specificity phosphatase 1	DUSP1
hsa-miR-199a	NM_004419	dual specificity phosphatase 5	DUSP5
hsa-miR-199, hsa-miR-30	NM_012199	eukaryotic translation initiation factor 2C, 1	EIF2C1 (AGO1)
hsa-miR-99	NM_012154.2	eukaryotic translation initiation factor 2C, 2	EIF2C2 (AGO2)
hsa-miR-30	NM_153402.1	eukaryotic translation initiation factor 2C, 3	EIF2C3 (AGO3)
hsa-miR-30	NM_153177.2	eukaryotic translation initiation factor 2C, 4	EIF2C4 (AGO4)
hsa-miR-146	NM_001419.2	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1	ELAVL1 (HUR)
hsa-miR-200a, hsa-miR-200b, hsa-miR-30	NM_004432	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2	ELAVL2(Hel-N1)
hsa-miR-200b	NM_021952	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4	ELAVL4
hsa-miR-200b	NM_001429	E1A binding protein p300	EP300(P300)
hsa-miR-101	NM_152998.1	enhancer of zeste homolog 2	EZH2
hsa-miR-23	NM_174662.2	Fas (TNF receptor superfamily, member 6)	FAS
hsa-miR-200, hsa-miR-139, hsa-miR-23	NM_002024.4	fragile X mental retardation 1	FMRP(FMR1)
hsa-miR-199a	NM_005252.3	FBJ murine osteosarcoma viral oncogene homolog	FOS
hsa-miR-30	NM_001009988.1	forkhead box O3A	FOXO3A
hsa-miR-200a	NM_032682.4	forkhead box P1	FOXP1
