M. bovis CDS	M. tuberculosis CDS	Gene	Fold change
Mb0217	Rv0211	pckA	25.5±10
Mb0476	Rv0467	icl	18±19.2
Mb0529c	Rv0516c		NC
Mb1058	Rv1029	kdpA	NC
Mb1086	Rv1057		8.4±4.7
Mb1162	Rv1131	gltA1	NC
Mb1214	Rv1182	papA3	NC
Mb1216c	Rv1184c		7.3±2.8
Mb1217c	Rv1185c	fadD21	4.8±2.4
Mb1438c	Rv1403c		36.5±16
Mb1439	Rv1404		3.9±1.9
Mb1440c	Rv1405c		325.9±138.7
Mb1495	Rv1460		3.3±1.5
Mb1618c	Rv1592c		1.6±0.8
Mb1709	Rv1682		NC
Mb1788	Rv1758	cut1	2.7±1.1
Mb1803	Rv1774		NC
Mb2057c	Rv2031c	hspX	38.7±19.7
Mb2194c	Rv2172c		NC
Mb2364	Rv2336		NC
Mb2454	Rv2428	ahpC	4.1±1.9
Mb2587	Rv2557		NC
Mb2955	Rv2930	fadD26	NC
Mb3028c	Rv3003c	ilvB1	NC
Mb3116	Rv3089	fadD13	NC
Mb3163	Rv3139	fadE24	4.7±2.0
