# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1430817_at|1430817_at	mgi_symbol|Samd7|Samd7
affy_mouse430_2|1431010_a_at|1431010_a_at	mgi_symbol|Rdh12|Rdh12
affy_mouse430_2|1457855_at|1457855_at	mgi_symbol|Rbp3|Rbp3
affy_mouse430_2|1429133_at|1429133_at	mgi_symbol|Nxnl2|Nxnl2
affy_mouse430_2|1458506_at|1458506_at	mgi_symbol|Gm626/Frmpd2|Gm626/Frmpd2
affy_mouse430_2|1451785_at|1451785_at	mgi_symbol|Rpgrip1|Rpgrip1
affy_mouse430_2|1440605_at|1440605_at	mgi_symbol|Fscn2|Fscn2
affy_mouse430_2|1425757_a_at|1425757_a_at	mgi_symbol|Impg1|Impg1
affy_mouse430_2|1419740_at|1419740_at	mgi_symbol|Pde6b|Pde6b
affy_mouse430_2|1425306_at|1425306_at	mgi_symbol|BC027072/C2orf71|BC027072/C2orf71
affy_mouse430_2|1423631_at|1423631_at	mgi_symbol|Nr2e3|Nr2e3
affy_mouse430_2|1428986_at|1428986_at	mgi_symbol|Slc17a7|Slc17a7
affy_mouse430_2|1444095_a_at|1444095_a_at	mgi_symbol|LOC100048701|LOC100048701
affy_mouse430_2|1443940_at|1443940_at	mgi_symbol|Lrit2|Lrit2
affy_mouse430_2|1456936_at|1456936_at	mgi_symbol|Cabp4|Cabp4
affy_mouse430_2|1451582_at|1451582_at	mgi_symbol|Tulp1|Tulp1
affy_mouse430_2|1452243_at|1452243_at	mgi_symbol|Kcnj14|Kcnj14
affy_mouse430_2|1425288_at|1425288_at	mgi_symbol|Samd11|Samd11
affy_mouse430_2|1451826_at|1451826_at	mgi_symbol|Cabp5|Cabp5
affy_mouse430_2|1419723_at|1419723_at	mgi_symbol|Opn1mw|Opn1mw
affy_mouse430_2|1419085_at|1419085_at	mgi_symbol|Pcp2|Pcp2
affy_mouse430_2|1441110_at|1441110_at	mgi_symbol|Lrit1|Lrit1
affy_mouse430_2|1421084_at|1421084_at	mgi_symbol|Rs1|Rs1
affy_mouse430_2|1425138_at|1425138_at	mgi_symbol|Guca1b|Guca1b
affy_mouse430_2|1451549_at|1451549_at	mgi_symbol|Cngb1|Cngb1
affy_mouse430_2|1450300_at|1450300_at	mgi_symbol|Gabrr1|Gabrr1
affy_mouse430_2|1449051_at|1449051_at	mgi_symbol|Ppara|Ppara
affy_mouse430_2|1427952_at|1427952_at	mgi_symbol|Aipl1|Aipl1
affy_mouse430_2|1451763_at|1451763_at	mgi_symbol|Cnga1|Cnga1
affy_mouse430_2|1451617_at|1451617_at	mgi_symbol|Rho|Rho
affy_mouse430_2|1455203_at|1455203_at	mgi_symbol|A930003A15Rik|A930003A15Rik
affy_mouse430_2|1425408_a_at|1425408_a_at	mgi_symbol|2610034M16Rik|2610034M16Rik
affy_mouse430_2|1450453_a_at|1450453_a_at	mgi_symbol|Pde6g|Pde6g
affy_mouse430_2|1457622_at|1457622_at	mgi_symbol|Rp1l1|Rp1l1
affy_mouse430_2|1442863_at|1442863_at	mgi_symbol|Cacna2d4|Cacna2d4
affy_mouse430_2|1460368_at|1460368_at	mgi_symbol|Mpp4|Mpp4
affy_mouse430_2|1425219_x_at|1425219_x_at	mgi_symbol|Gngt1|Gngt1
affy_mouse430_2|1451647_at|1451647_at	mgi_symbol|Slc24a1|Slc24a1
affy_mouse430_2|1448996_at|1448996_at	mgi_symbol|Rom1|Rom1
affy_mouse430_2|1449421_a_at|1449421_a_at	mgi_symbol|Kcne2|Kcne2
affy_mouse430_2|1417550_a_at|1417550_a_at	mgi_symbol|Gsg1|Gsg1
affy_mouse430_2|1449185_at|1449185_at	mgi_symbol|Crx|Crx
affy_mouse430_2|1440256_at|1440256_at	mgi_symbol|Rgs9bp|Rgs9bp
affy_mouse430_2|1450946_at|1450946_at	mgi_symbol|Nrl|Nrl
affy_mouse430_2|1450415_at|1450415_at	mgi_symbol|Pde6a|Pde6a
affy_mouse430_2|1422724_at|1422724_at	mgi_symbol|Mak|Mak
