Gene name (Abbreviation)	Unigene ID	GB Acc.	Fold difference HBx-LacZ/LacZ	P value	Function
Serum amyloid A3 (Saa3)	Mm.14277	X03479	-1.95	0.016	Acute phase response protein cholesterol transport
Cadherin 16 (Cdh 16)	Mm.19423	AF016271	-2.64	0.01	cell recognition protein
Creatine kinase (Ckm)	Mm.2375	AI325205	-1.65	0.04	ATP synthesis
Glutathione S-transferase, pi2 (Gstp2)	Mm.299292	AI325120	-1.85	0.043	Detoxification and drug metabolism
Progastricsin ( pepsinogen C) (Pgc)	Mm.22957	AK008959	-1.73	0.009	Digestion enzyme
Phospholipase A2 group 1B (Pla2g1b)	Mm.20190	AI327450	-1.58	0.016	Digestion enzyme
Tripsin II precursor (Try2)	Mm.301947	AI386046	-1.54	0.014	Digestion enzyme
Farnesyl diphosphate synthase (Fdps)	Mm.39472	W76783	-1.98	0.02	Enzyme of cholesterol pathway
Cytochrom P450, 7b1 (Cyp7b1)	Mm.278588	U36993	-1.61	0.009	Enzyme of cholesterol pathway
Geranylgeranyl diphosphate synthase 1 (Ggps 1)	Mm.148039	AB016044	-1.41	0.034	Enzyme of cholesterol pathway
Aldolase1, A isoform (Aldo 1)	Mm.275831	AI327494	-3.35	0.015	Enzyme of glycolysis pathway
Peptidylglycine alpha-amidating monooxygenase	Mm.5121	AI323455	-1.73	0.029	Posttranslational modification
Mouse integrase gene (IN)		X52622	-1.43	0.021	Replication
Myogenic differentiation1 (MyoD1)	Mm.1526	M84918	-1.52	0.032	Transcription
Zinc finger protein 90 (Zfp 90)	Mm.295582	X79828	-2.06	0.04	Transcription
Histone deacetylase 10 (Hdac 10)	Mm.346413	AI323 456	-3.73	0.014	Transcription
Prion protein (Prnp)	Mm.648	M13685	-1.4	0.021	CNS protein
