Symbol	RefSeq ID	ENSEMBL	GenBank	Entrez Gene ID
mir-181	NR_029795			735252
F5	NM_007976	ENSMUST00000086040	U52925	14067
KCNJ13	NM_001110227	ENSMUST00000113212		1.00E+08
TRDN	NM_029726			76757
KCNC2	NM_001025581	ENSMUST00000092175	BC116289	268345
FOS	NM_010234	ENSMUST00000021674	BC029814	14281
SERPINA 3	NM_009252	ENSMUST00000021506	M64086	20716
RTL1	NM_184109	ENSMUST00000149046	EU434918	353326
RTL1	NR_029550	ENSMUST00000149046	EU434918	387154
ABCB5	NM_029961	ENSMUST00000035515	AY766239	77706
MSX2	NM_013601	ENSMUST00000021922	BC141132	17702
PRLR	NM_011169	ENSMUST00000124470	BC096586	19116
NR4A1	NM_010444	ENSMUST00000023779	BC004770	15370
ENPP2	NM_015744	ENSMUST00000041591	BC058759	18606
let-7	NR_029728			387246
KCNE2	NM_134110	ENSMUST00000047383	BC022699	246133
CLDN1	NM_016674	ENSMUST00000023154	BC002003	12737
DUSP1	NM_013642	ENSMUST00000025025	BC006967	19252
HSPA1A	NM_010479	ENSMUST00000087328	BC054782	193740
HSPA1B	NM_010479	ENSMUST00000087328	BC054782	193740
HRH4	NM_153087	ENSMUST00000041676	AF358859	225192
TTR	NM_013697	ENSMUST00000075312	D89076	22139
PLUNC	NC_013697	ENSMUST00000028985	BC054375	18843
LBP	NM_008489	ENSMUST00000016168	BC004795	16803
NR4A2	NM_013613	ENSMUST00000112629	BC137715	18227
NR4A2	NM_001139509	ENSMUST00000112629	BC137715	18227
MEIS2	NM_010825	ENSMUST00000149217	U57343	17536
S100A2	XM_001478157	GENSCAN00000016041		628324
S100A2	XM_910611	GENSCAN00000016041		628324
NDST4	NM_022565	ENSMUST00000143461	AB036838	64580
TDO2	NM_019911	ENSMUST00000029645	BC018390	56720
C1QTNF7	NM_175425	ENSMUST00000076939	BC090967	109323
C1QTNF7	NM_001135172	ENSMUST00000076939	BC090967	109323
KL	NM_013823	ENSMUST00000078856	AB005141	16591
SLC17A6	NM_080853	ENSMUST00000032710	BC038375	140919
FOLR1	NM_008034	ENSMUST00000106986	AF096319	14275
Gabarapl2		ENSMUST00000034428		93739
ADAT1	NM_013925	ENSMUST00000034427	AF192375	30947
CAMKV	NM_145621	ENSMUST00000035700	BC11103	235604
TMEM27	NM_020626	ENSMUST00000112280	BC049912	57394
