Symbol	Gene name	Array RNA fold change1 (5R/LBSN cells)	PCR RNA fold change1 (5R/LBSN cells)	Expression
PTPRA	RPTP-alfa-PTPHEPTP/HLPR	1.76		Up-regulated
PTPRK	R-PTP-kappa	1.36		Up-regulated
PTPN11	SHP2/Syp	1.31	1.53	Up-regulated
PTPN18	BDP1/PTP20/PTP-HSCF	1.75		Up-regulated
DUSP1	CL100/MKP-1/14PTPN10	1.91		Up-regulated
DUSP2	PAC-1/PAC1	1.51	1.25	Up-regulated
DUSP5	DUSP/HVH3/B23	1.59	1.51	Up-regulated
DUSP12	DUSP12/HYVH1	1.79		Up-regulated
DUSP16	MKP-7/MKP7	1.95		Up-regulated
DUSP23	MOSP	1.64		Up-regulated
STYXL1	DUSP24/MK-STYX	2.16	1.65	Up-regulated
PTP4A1	PRL-1	1.68	3.56	Up-regulated
PTP4A3	PRL-3	2.41	2.25	Up-regulated
MTM1	MTM1/myotubularin	1.51	1.92	Up-regulated
MTMR12	3-PAP/MTMR12/PIP3AP	3.51		Up-regulated
DUSP6	MKP3/PYST1	0.51		Down-regulated
DUSP14	MKP-L/MKP6	0.68		Down-regulated
CDKN3	KAP/CDI1/CIP2	0.19		Down-regulated
PTEN	PTEN/BZS/MHAM	0.49		Down-regulated
MTMR4	MTMR4	0.61		Down-regulated
MTMR11	MTMR11CRA	0.41	0.65	Down-regulated
CDC25C	CDC25C	0.67	0.73	Down-regulated
