Accession #	Sequence Code	Primary Sequence Name	T-statistic	P-value
NM_173638	A_32_P27020	NBPF15	4.19626	0.00852
NM_030667	A_23_P204304	PTPRO	4.65372	0.00556
NM_001042384	A_23_P21409	CEP63	5.02735	0.00401
NM_182776	A_23_P93690	MCM7	6.52787	0.00126
NM_022173	A_23_P90845	TIA1	4.11498	0.00922
NM_024969	A_23_P209464	FAM130A2	5.40884	0.00292
NM_031370	A_23_P58353	HNRNPD	4.06146	0.00972
NM_016492	A_23_P254498	RANGRF	-9.20788	0.00025
NM_004669	A_23_P254654	CLIC3	-4.14921	0.00892
NM_138445	A_23_P20035	GPR146	-4.35317	0.00734
NM_005639	A_23_P36795	SYT1	-4.69008	0.00538
NM_018063	A_23_P12816	HELLS	4.70665	0.00531
	A_32_P13823	THC2719076	-6.72901	0.00110
XM_933903	A_32_P191840	LOC644662	-5.95094	0.00192
NM_005954	A_23_P315273	MT3	-5.29846	0.00320
NM_001185	A_23_P71270	AZGP1	-4.68373	0.00542
NM_003514	A_32_P221799	HIST1H2AM	-5.22086	0.00341
NM_004516	A_23_P434944	ILF3	7.88108	0.00053
NM_005143	A_23_P206760	HP	-4.20318	0.00846
NM_001541	A_23_P161727	HSPB2	-4.82331	0.00478
NM_175861	A_23_P371495	TMTC1	-4.43974	0.00677
NM_015872	A_24_P19884	ZBTB7B	-4.29275	0.00777
NM_002356	A_23_P214222	MARCKS	4.04518	0.00987
NM_032497	A_24_P284584	ZNF559	4.28472	0.00783
NM_003728	A_23_P69617	UNC5C	4.51074	0.00634
NM_001933	A_23_P205697	DLST	-4.77830	0.00498
NM_175861	A_32_P2452	TMTC1	-4.44182	0.00675
	A_24_P928830	A_24_P928830	-4.24216	0.00815
NM_001937	A_23_P200741	DPT	-4.03361	0.00999
NM_002343	A_23_P166848	LTF	-4.55410	0.00609
NM_005951	A_23_P163782	MT1H	-4.04264	0.00990
NM_004881	A_23_P5392	TP53I3	5.52037	0.00267
NM_006066	A_24_P79750	AKR1A1	5.52286	0.00267
NM_003436	A_32_P224302	ZNF135	6.40652	0.00137
BX118328	A_32_P55840	ENST00000377186	-4.23264	0.00823
NM_005460	A_23_P19020	SNCAIP	5.57554	0.00256
BC022417	A_32_P10633	BC022417	-4.22390	0.00830
	A_32_P9127	THC2680948	-4.24462	0.00813
NM_018487	A_23_P252082	TMEM176A	-4.07549	0.00958
NM_007268	A_23_P217269	VSIG4	-4.18656	0.00860
CR606969	A_32_P150040	CR606969	-4.96181	0.00424
NM_017442	A_23_P132654	TLR9	-5.54424	0.00262
NM_005954	A_23_P129629	MT3	-6.26492	0.00152
CR625648	A_23_P252413	ENST00000245185	-4.07339	0.00960
W60781	A_23_P8812	W60781	-6.16738	0.00163
NM_182947	A_24_P289299	GEFT	-4.47668	0.00654
NM_000186	A_23_P114740	CFH	-5.21167	0.00343
NM_203304	A_23_P39445	MEX3D	-7.75636	0.00057
NM_001099338	A_32_P799227	FAM22A	-4.63978	0.00563
NM_178862	A_24_P341958	STT3B	6.43385	0.00135
XR_038253	A_24_P288993	LOC402175	-4.29394	0.00776
NM_000327	A_23_P105002	ROM1	-4.20953	0.00841
NM_032704	A_24_P58529	TUBA1C	4.54180	0.00616
