Probe set ID	Gene symbol
227489_at	SMURF2
226797_at	MBTD1
203410_at	AP3M2
226106_at	RNF141
214101_s_at	NPEPPS
231953_at	BPTF
201455_s_at	NPEPPS
235125_x_at	FAM73A
202630_at	APPBP2
223443_s_at	AMZ2P1
1555875_at	SRGAP1
201158_at	NMT1
227105_at	CSPP1
217672_x_at	EIF1
205250_s_at	CEP290
202880_s_at	CYTH1
1552283_s_at	ZDHHC11
225384_at	DOCK7
202034_x_at	RB1CC1
222715_s_at	SYNRG
226441_at	MAP3K2
240304_s_at	TMC5
200090_at	FNTA
53071_s_at	C17orf101
212561_at	DENND5A
200811_at	CIRBP
206600_s_at	SLC16A5
227064_at	ANKRD40
205596_s_at	SMURF2
230211_at	–
203651_at	ZFYVE16
226580_at	BRMS1L
222589_at	NLK
227564_at	HGSNAT
64418_at	SYNRG
223595_at	TMEM133
230621_at	IAH1
225572_at	CREB1
225198_at	VAPA
202460_s_at	LPIN2
212704_at	ZCCHC11
204485_s_at	TOM1L1
212397_at	RDX
225595_at	CREBZF
202814_s_at	HEXIM1
204208_at	RNGTT
222656_at	UBE2W
203116_s_at	FECH
227395_at	FLJ38498
201454_s_at	NPEPPS
