Entrez Gene ID	Gene name	Gene description	Recurrence score	Cell diversity score
18392	Orc1l	origin recognition complex, subunit 1-like (S.cereviaiae)	6.91845009	2.88211376
23918	Impdh2	inosine 5-phosphate dehydrogenase 2	6.670344084	2.799650481
12465	Cct5	chaperonin subunit 5 (epsilon)	5.965999002	2.786821755
53605	Nap1l1	nucleosome assembly protein 1-like 1	5.924646722	2.730284944
12444	Ccnd2	cyclin D2	10.62531171	2.723321736
319757 (old: 20596)	Smo	smoothened homolog (Drosophila) 1	6.785702644	2.722862
17217	Mcm4	minichromosome maintenance deficient 4 homolog (S. cerevisiae)	8.106167407	2.706102006
17218	Mcm5	minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	7.12295678	2.694531673
15201	Hells	helicase, lymphoid specific	8.402727472	2.685735999
53379	Hnrnpa2b1	heterogeneous nuclear ribonucleoprotein A2/B1	4.554360958	2.684478117
12469	Cct8	chaperonin subunit 8 (theta)	4.379433099	2.683998164
12822	Col18a1	collagen, type XVIII, alpha 1	9.641910755	2.660006257
20383	Sfrs3	splicing factor, arginine/serine-rich 3 (SRp20)	7.598027447	2.647047519
20135	Rrm2	ribonucleotide reductase M2	7.538084886	2.638285677
12235	Bub1	budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	6.451670353	2.635357411
17975	Ncl	nucleolin	7.259108005	2.632828999
16647	Kpna2	karyopherin (importin) alpha 2	4.337345663	2.630196477
20425	Shmt1	serine hydroxymethyltransferase 1 (soluble)	11.86981033	2.625782605
70572	Ipo5	importin 5	8.59320084	2.622386001
56505	Ruvbl1	RuvB-like protein 1	8.31640987	2.617776954
27428	Shroom3	shroom family member 3	7.652340425	2.616947579
13411	Dnahc11	dynein, axonemal, heavy chain 11	5.313961146	2.616536798
23834	Cdc6	cell division cycle 6 homolog (S. cerevisiae)	8.521096415	2.612452124
22137	Ttk	Ttk protein kinase	6.276579405	2.610468245
66197	Cks2	CDC28 protein kinase regulatory subunit 2	6.516070363	2.606874507
17216	Mcm2	minichromosome maintenance deficient 2 mitotin (S. cerevisiae)	8.297085777	2.606090803
60530	Fignl1	fidgetin-like 1	5.454622871	2.603122964
69740	Dph5	DPH5 homolog (S. cerevisiae)	5.071039177	2.56565912
67177	Cdt1	chromatin licensing and DNA replication factor 1	7.811769676	2.565007025
12462	Cct3	chaperonin subunit 3 (gamma)	7.619583742	2.564799199
14049	Eya2	eyes absent 2 homolog (Drosophila)	6.4458071	2.562990693
18538	Pcna	proliferating cell nuclear antigen	7.362391628	2.562387422
56086	Set	SET translocation	5.304824985	2.555167204
19139	Prps1	phosphoribosyl pyrophosphate synthetase 1	7.493075177	2.55080102
14113	Fbl	fibrillarin	5.046226078	2.550192609
21915	Dtymk	deoxythymidylate kinase	7.608537445	2.548158915
381760 (old:72790)	Ssbp1	single-stranded DNA binding protein 1	5.600705123	2.534939
97998	Depdc6	DEP domain containing 6	8.9515958	2.520244177
21973	Top2a	topoisomerase (DNA) II alpha	5.573319621	2.513649101
13008	Csrp2	cysteine and glycine-rich protein 2	5.570698157	2.506328603
