Ref Seq	Gene Symbol	Regulation	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene_assignment
NM_006763	BTG2	up	2375664	1.376721854	7.840482137	16.11468816	8.18924E-18	1.53204E-13	27.32647839	NM_006763 // BTG2 // BTG family, member 2 // 1q32 // 7832 /// ENST00000290551 // BTG2 // BTG family, member 2 // 1q32 // 7832 /// U72649 // BTG2 // BTG family, member 2 // 1q32 // 7832
NM_078467	CDKN1A	up	2905169	1.392611838	11.22518785	14.81701598	1.08448E-16	1.01442E-12	25.36268488	NM_078467 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// NM_000389 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000244741 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000373711 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// BC000312 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026
NM_003620	PPM1D	up	3729528	0.804180758	8.718703307	12.78681405	8.75605E-15	5.46028E-11	21.86732025	NM_003620 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493 /// ENST00000305921 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493 /// BC042418 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493 /// ENST00000392995 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493
NM_002392	MDM2	up	3421300	1.18258394	10.24956163	11.37039403	2.48387E-13	1.16171E-09	19.08684048	NM_002392 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006878 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006881 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006882 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006879 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393417 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311440 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// AK290341 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258149 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000350057 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258148 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393416 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311420 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000358483 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393415 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000356290 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393413 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393412 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000299252 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393410 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000360430 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000348801 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// BC065505 // MGC5370 // hypothetical protein MGC5370 // 12q14.3 // 84825
NM_014454	SESN1	up	2968652	1.118449608	8.027794715	10.77341924	1.09639E-12	4.10227E-09	17.82396322	NM_014454 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000302071 // SESN1 // sestrin 1 // 6q21 // 27244 /// AF033120 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000356644 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000368971 // SESN1 // sestrin 1 // 6q21 // 27244
NM_001924	GADD45A	up	2341083	0.825778564	9.028082251	9.965999238	8.78876E-12	2.74034E-08	16.02686126	NM_001924 // GADD45A // growth arrest and DNA-damage-inducible, alpha // 1p31.2-p31.1 // 1647 /// ENST00000370986 // GADD45A // growth arrest and DNA-damage-inducible, alpha // 1p31.2-p31.1 // 1647 /// M60974 // GADD45A // growth arrest and DNA-damage-inducible, alpha // 1p31.2-p31.1 // 1647 /// ENST00000370985 // GADD45A // growth arrest and DNA-damage-inducible, alpha // 1p31.2-p31.1 // 1647
NM_004073	PLK3	up	2334191	0.761043847	8.930179118	9.889343114	1.07565E-11	2.87474E-08	15.8508693	NM_004073 // PLK3 // polo-like kinase 3 (Drosophila) // 1p34.1 // 1263 /// ENST00000372201 // PLK3 // polo-like kinase 3 (Drosophila) // 1p34.1 // 1263 /// AJ293866 // PLK3 // polo-like kinase 3 (Drosophila) // 1p34.1 // 1263
NM_000107	DDB2	up	3329649	0.575142303	9.321041212	9.321351288	4.92237E-11	1.1511E-07	14.51775881	NM_000107 // DDB2 // damage-specific DNA binding protein 2, 48kDa // 11p12-p11 // 1643 /// ENST00000256996 // DDB2 // damage-specific DNA binding protein 2, 48kDa // 11p12-p11 // 1643 /// U18300 // DDB2 // damage-specific DNA binding protein 2, 48kDa // 11p12-p11 // 1643 /// ENST00000378603 // DDB2 // damage-specific DNA binding protein 2, 48kDa // 11p12-p11 // 1643 /// ENST00000378601 // DDB2 // damage-specific DNA binding protein 2, 48kDa // 11p12-p11 // 1643 /// ENST00000378600 // DDB2 // damage-specific DNA binding protein 2, 48kDa // 11p12-p11 // 1643 /// ENST00000395419 // DDB2 // damage-specific DNA binding protein 2, 48kDa // 11p12-p11 // 1643
NM_031459	SESN2	up	2327391	0.680617279	8.517778511	9.215479542	6.56603E-11	1.36486E-07	14.26362713	NM_031459 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// ENST00000253063 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// AY123223 // SESN2 // sestrin 2 // 1p35.3 // 83667
NM_007135	ZNF79	up	3189837	0.446770814	8.233236063	9.171333797	7.40736E-11	1.38577E-07	14.15714017	NM_007135 // ZNF79 // zinc finger protein 79 // 9q34 // 7633 /// ENST00000342483 // ZNF79 // zinc finger protein 79 // 9q34 // 7633 /// BC062309 // ZNF79 // zinc finger protein 79 // 9q34 // 7633
