Genbank_ID	Definition of mRNA (Homo sapiens)	Ratio	Function
 NM_003789	TNFRSF1A-associated via death domain (TRADD)	2.144	Apoptosis-related
 NM_003844	Tumor necrosis factor receptor superfamily, member 10a (TNFRSF10A)	1.344	Apoptosis-related
 NM_003810	Tumor necrosis factor (ligand) superfamily, member 10 (TNFS10)	1.557	Apoptosis-related
 NM_001066	Tumor necrosis factor receptor superfamily, member 1B (TNFRSF1B)	1.315	Apoptosis-related
 NM_001229	Caspase 9, apoptosis-related cysteine protease (CASP9)	1.467	Apoptosis-related
 NM_004402	DNA fragmentation factor, beta polupeptide (caspase-activated Dnase)	1.368	Apoptosis-related
 NM_001226	Caspase 6, apoptosis-related cysteine protease (CASP6)	1.375	Apoptosis-related
 NM_002880	v-raf-1 murine leukemia viral oncogene homolog 1(RAF1)	0.781	Cell growth signal-related
 NM_006609	Mitogen-activated protein kinase kinase kinase 2 (MAP3K2)	0.74	Cell growth signal-related
 NM_004972	Janus kinase 2 (a protein tyrosine kinase) (JAK2)	0.801	Cell growth signal-related
 NM_032950	Matrix metalloproteinase 28 (MMP28)	0.671	Matrix metalloproteinases
 NM_005941	Matrix metalloproteinase 16 (MMP16)	0.75	Matrix metalloproteinases
 NM_005765	ATPase, H+ transporting, lysosomal (vacuolar proton pump) membrane sector associated protein M8-9 (APT6M8-9)	0.629	ATPase
 NM_002805	Proteasome 26S submit, ATPase, 5 (PSMC5)	0.793	ATPase
 NM_007295	Breast cancer 1, early onset (BRCA1)	1.634	Others
 NM_001168	Baculoviral IAP repeat-containing 5 (surviving)	0.753	Others
 NM_000546	Tumor protein p53 (Li–Fraumeni syndrome) (TP53)	1.519	Others
