Gene name	GenBank	Description
ACTN4	U48734	Actinin, alpha 4
BC020163	AW342078	Homo sapiens, clone IMAGE:4346533, mRNA
CMIP	AI819630	c-Maf-inducing protein
CNN2	NM_004368	Calponin 2
EDNRB	M74921	Endothelin receptor type B
GPM6B	AW148844	Glycoprotein M6B
KIT	NM_000222	v-kit Hardy–Zuckerman 4 feline sarcoma viral oncogene homolog
MGC40222	N44676	Hypothetical protein MGC40222
NAMPT	NM_005746	Nicotimamide phosphoribosyltransferase
PRAME	NM_006115	Preferentially expressed antigen in melanoma
RPL18	AV738806	Ribosomal protein L18
RPL21	AL356414	Ribosomal protein L21
RPS15	NM_001018	Ribosomal protein S15
TMEM80	AI739035	Transmembrane protein 80
TRIB2	NM_021643	Tribbles homolog 2 (Drosophila)
TTC3	NM_003316	Tetratricopeptide repeat domain 3
VDAC1	AL515918	Voltage-dependent anion channel 1
