Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
201005_at	CD9 antigen (p24)	CD9	12p13.3	928
201417_at	SRY (sex determining region Y)-box 4	SOX4	6p22.3	6659
201914_s_at	SEC63-like (S. cerevisiae)	SEC63	6q21	11231
201951_at	activated leukocyte cell adhesion molecule	ALCAM	3q13.1	214
202036_s_at	secreted frizzled-related protein 1	SFRP1	8p12-p11.1	6422
202037_s_at	secreted frizzled-related protein 1	SFRP1	8p12-p11.1	6422
202053_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2	17p11.2	224
202054_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2	17p11.2	224
202207_at	ADP-ribosylation factor-like 7	ARL7	2q37.1	10123
202336_s_at	peptidylglycine alpha-amidating monooxygenase	PAM	5q14-q21	5066
202350_s_at	matrilin 2	MATN2	8q22	4147
202370_s_at	core-binding factor, beta subunit	CBFB	16q22.1	865
202478_at	tribbles homolog 2 (Drosophila)	TRIB2	2p24.3	28951
202515_at	discs, large homolog 1 (Drosophila)	DLG1	3q29	1739
202741_at	protein kinase, cAMP-dependent, catalytic, beta	PRKACB	1p36.1	5567
202794_at	inositol polyphosphate-1-phosphatase	INPP1	2q32	3628
202890_at	microtubule-associated protein 7	MAP7	6q23.3	9053
202946_s_at	BTB (POZ) domain containing 3	BTBD3	20p12.2	22903
202967_at	glutathione S-transferase A4	GSTA4	6p12.1	2941
203020_at	RAB GTPase activating protein 1-like	RABGAP1L	1q24	9910
203038_at	protein tyrosine phosphatase, receptor type, K	PTPRK	6q22.2-23.1	5796
203232_s_at	ataxin 1	ATXN1	6p23	6310
203243_s_at	PDZ and LIM domain 5	PDLIM5	4q22	10611
203333_at	kinesin-associated protein 3	KIFAP3	1q24.2	22920
203685_at	B-cell CLL/lymphoma 2	BCL2	18q21.33|18q21.3	596
203698_s_at	frizzled-related protein	FRZB	2qter	2487
203961_at	nebulette	NEBL	10p12	10529
204035_at	secretogranin II (chromogranin C)	SCG2	2q35-q36	7857
204105_s_at	neuronal cell adhesion molecule	NRCAM	7q31.1-q31.2	4897
204224_s_at	GTP cyclohydrolase 1 (dopa-responsive dystonia)	GCH1	14q22.1-q22.2	2643
204364_s_at	chromosome 2 open reading frame 23	C2orf23	2p11.2	65055
204419_x_at	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	11p15.5	3047 /// 3048
204848_x_at	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	11p15.5	3047 /// 3048
205151_s_at
205311_at	dopa decarboxylase (aromatic L-amino acid decarboxylase)	DDC	7p11	1644
205326_at	receptor (calcitonin) activity modifying protein 3	RAMP3	7p13-p12	10268
205625_s_at	calbindin 1, 28kDa	CALB1	8q21.3-q22.1	793
205626_s_at	calbindin 1, 28kDa	CALB1	8q21.3-q22.1	793
205638_at	brain-specific angiogenesis inhibitor 3	BAI3	6q12	577
205771_s_at	A kinase (PRKA) anchor protein 7	AKAP7	6q23	9465
205857_at
206290_s_at	regulator of G-protein signalling 7	RGS7	1q43|1q23.1 according to Sierra (Genomics 79; 177; 2002) [AFS]	6000
206323_x_at	oligophrenin 1	OPHN1	Xq12	4983
206710_s_at	erythrocyte membrane protein band 4.1-like 3	EPB41L3	18p11.32	23136
207074_s_at	solute carrier family 18 (vesicular monoamine), member 1	SLC18A1	8p21.3	6570
207480_s_at	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)	MEIS2	15q14	4212
207957_s_at	ATPase, H+ transporting, lysosomal accessory protein 1	ATP6AP1	Xq28	537
