Gene	Accession	Size (aa)	Chromosome location	Isoforms	Protein	Function
APOBEC3B	NM_004900	56	22q13.1-q13.2	1	Apolipoprotein B mRNA-editing enzyme catalytic polypeptide 3 gene	DNA/RNA
CHD2	NM_001271	550	15q26	2	Chromodomain helicase DNA binding protein 2	DNA/RNA
EXOSC5	NM_020158	233	19q13.1	1	Exosome component 5/exosome component Rrp46	DNA/RNA
GPKOW	NM_015698	395	Xp11.23	1	G patch domain and KOW motifs	DNA/RNA
RBPJK	NM_015874	287	4p15.2	4	Recombination signal binding protein for immunoglobulin kappa J region	DNA/RNA
ZNF292	NM_015021	835	6q15	1	Zinc finger protein 292	DNA/RNA
OGFR	NM_007346	202	20q13.3	1	Opioid growth factor receptor	Cell proliferation/ differentiation
NUDCD1	NM_032869	583	1p35-p34	1	NudC domain containing 1	Cell cycle regulation
TMSB4Y	NM_004202	61	Yq11.221	1	Thymosin beta 4, Y-linked	Actin dynamics
C11orf2	NM_013265	209	11q13	1	Chromosome 11 open reading frame	Unknown
PTK2B	NM_173176	205	8p21.1	2	Protein tyrosine kinase 2 beta	Signal transduction
CFL1	NM_005507	187	14q12	2	Cofilin 1	Actin dynamics
MAD1L1	NM_003550	718	7p22	1	Mitotic arrest deficient-like 1 (yeast)	Cell cycle regulation
NARG2	NM_024611	653	15q22.2	2	NMDA receptor regulated 2	Unknown
DEFA1	NM_004084	109	8p23.1	1	Defensin, alpha 1, myeloid-related sequence	Host defense/ immune function
LOC130355	NM_001017927	141	2q14.2	1	Hypothetical protein LOC130355	Unknown
SP110	NM_080424	220	2q37.1	3	SP110 nuclear body protein	DNA/RNA
KIAA1542	NM_020901	158	11p15.5	1	CTD-binding SR-like protein rA9	Unknown
FLJ20436	NM_017822	388	12q13.11	1	Chromosome 12, open reading frame 41/hypothetical protein LOC54934	Unknown
RBM25	NM_021239	302	14q24.3	1	RNA binding motif protein 25	DNA/RNA
POLB	NM_002690	242	8p11.2	1	DNA-directed polymerase beta	DNA/RNA
RBBP5	NM_005057	428	1q32	1	Retinoblastoma binding protein 5	Cell proliferation/ differentiation
