Symbol	Accession number	Gene name	Stage	con/dis	IM/N	DR/IM	PMID	Cell line
BPGM	NM_199186	2,3-bisphosphoglycerate mutase	e+l	Con	-1	-2	10756030	-1
C3	NM_000064	complement component 3	e+l	Con	2	1	16505361	1
CDH4	NM_001794	cadherin 4, type 1, R-cadherin (retinal)	e+l	Con	-2	0	15989693	-1
CDKN1A	NM_000389	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	e+l	Con	-2	0	14517073	-1
CEACAM6	NM_002483	carcinoembryonic antigen-related cell adhesion molecule 6	e+l	Con	-4	-2	14517073	-1
COL18A1	NM_030582	collagen, type XVIII, alpha 1	e+l	Con	-1	-3	12115547	-1
CXCL14	NM_004887	chemokine (C-X-C motif) ligand 14	e+l	Con	-1	-3	16505361	-1
DEFB1	NM_005218	defensin, beta 1	e+l	Con	-3	-2	10756030	-1
IL1R2	NM_004633	interleukin 1 receptor, type II	e+l	Con	-4	-3	10756030	-1
IL1RN	NM_173842	interleukin 1 receptor antagonist	e+l	Con	-3	-3	14517073 12115547 10756030	-1
INPP5D	NM_001017915	inositol polyphosphate-5-phosphatase, 145kDa	e+l	Con	-3	1	11287578 14517073	-1
IVL	NM_005547	involucrin	e+l	Con	-3	-2	14517073	-1
KLK6	NM_001012964	kallikrein 6 (neurosin, zyme)	e+l	Con	-4	-2	14517073 10756030	-1
KLK7	NM_005046	kallikrein 7 (chymotryptic, stratum corneum)	e+l	Con	-4	-4	10756030 14517073	-1
KRT13	NM_002274	keratin 13	e+l	Con	-4	-1	14517073 12115547	-1
KRT15	NM_002275	keratin 15	e+l	Con	-3	-2	14517073 12115547	-1
KRT19	NM_002276	keratin 19	e+l	Con	-2	-1	14517073	-1
LAMA3	NM_198129	laminin, alpha 3	e+l	Con	-1	-3	10756030	-1
MEST	NM_002402	mesoderm specific transcript homolog (mouse)	e+l	Con	3	1	14517073	1
NEFH	NM_021076	neurofilament, heavy polypeptide 200kDa	e+l	Con	4	0	14517073	1
PPARG	NM_138711	peroxisome proliferative activated receptor, gamma	e+l	Con	2	3	10756030	1
SMO	NM_005631	smoothened homolog (Drosophila)	e+l	Con	-1	-2	12115547	-1
SPRR1A	NM_005987	small proline-rich protein 1A	e+l	Con	-2	-3	14517073 10756030	-1
SULT2B1	NM_004605	sulfotransferase family, cytosolic, 2B, member 1	e+l	Con	-3	-1	10756030 14517073	-1
TGM1	NM_000359	transglutaminase 1	e+l	Con	-2	-3	14517073	-1
TOP2A	NM_001067	topoisomerase (DNA) II alpha 170kDa	e+l	Con	2	0	11287578	1
BENE	NM_005434	BENE protein	early	Con	-3	0	12115547	-1
C7orf13	NM_032625	chromosome 7 open reading frame 13	early	Con	2	0	10756030	1
CD24	NM_013230	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	early	Con	-2	0	10756030	-1
CDKN2A	NM_058197	cyclin-dependent kinase inhibitor 2A (p16)	early	Con	4	0	11287578	1
CUGBP2	NM_006561	CUG triplet repeat, RNA binding protein 2	early	Con	-4	0	14517073	-1
ECM1	NM_022664	extracellular matrix protein 1	early	Con	-3	0	14517073	-1
G1P2	NM_005101	interferon, alpha-inducible protein (clone IFI-15K)	early	Con	-4	1	11287578	-1
IFI27	NM_005532	interferon, alpha-inducible protein 27	early	Con	-4	0	10756030 11287578	-1
IFI44	NM_006417	interferon-induced protein 44	early	Con	-4	3	10756030	-1
IFITM1	NM_003641	interferon induced transmembrane protein 1 (9-27)	early	Con	-4	0	10756030 11287578 16505361	-1
KRT4	NM_002272	keratin 4	early	Con	-4	0	14517073 12115547	-1
LCN2	NM_005564	lipocalin 2 (oncogene 24p3)	early	Con	-4	2	10756030 14517073 11287578	-1
LY6D	NM_003695	lymphocyte antigen 6 complex, locus D	early	Con	-4	0	14517073	-1
MLF1	NM_022443	myeloid leukemia factor 1	early	Con	3	-1	14517073	1
MX1	NM_002462	myxovirus (influenza virus) resistance 1	early	Con	-4	0	10756030	-1
MX2	NM_002463	myxovirus (influenza virus) resistance 2 (mouse)	early	Con	-4	0	10756030 11287578	-1
NMT2	NM_004808	N-myristoyltransferase 2	early	Con	-2	1	10756030	-1
OAS1	NM_002534	2,5-oligoadenylate synthetase 1, 40/46kDa	early	Con	-4	0	11287578	-1
PRSS2	NM_002770	protease, serine, 2 (trypsin 2)	early	Con	-2	0	10756030	-1
PTGS1	NM_000962	prostaglandin-endoperoxide synthase 1	early	Con	4	0	14517073	1
SLC9A9	NM_173653	solute carrier family 9 (sodium/hydrogen exchanger), isoform 9	early	Con	2	0	10756030	1
SLPI	NM_003064	secretory leukocyte protease inhibitor (antileukoproteinase)	early	Con	-3	2	10756030	-1
STAT1	NM_007315	signal transducer and activator of transcription 1, 91kDa	early	Con	-2	0	10756030	-1
TNFRSF25	NM_148965	tumor necrosis factor receptor superfamily, member 25	early	Con	-2	-1	12115547	-1
TNFSF10	NM_003810	tumor necrosis factor (ligand) superfamily, member 10	early	Con	-2	0	11287578	-1
TRIM22	NM_006074	tripartite motif-containing 22	early	Con	-4	0	11287578 14517073 10756030 16505361	-1
TYRP1	NM_000550	tyrosinase-related protein 1	early	Con	-4	0	12115547	-1
UCHL1	NM_004181	ubiquitin carboxyl-terminal esterase L1	early	Con	4	0	10756030	1
UPP1	NM_181597	uridine phosphorylase 1	early	Con	-2	1	11287578	-1
VGLL1	NM_016267	vestigial like 1 (Drosophila)	early	Con	-3	0	14517073	-1
ACVR1	NM_001105	activin A receptor, type I	late	Con	0	-2	11287578	-1
CA2	NM_000067	carbonic anhydrase II	late	Con	-1	2	14517073	1
CAV1	NM_001753	caveolin 1, caveolae protein, 22kDa	late	Con	0	-2	12115547	-1
CCNA2	NM_001237	cyclin A2	late	Con	0	2	11287578	1
CHS1	NM_000081	Chediak-Higashi syndrome 1	late	Con	0	-2	10756030	-1
CTSL2	NM_001333	cathepsin L2	late	Con	0	-2	10756030	-1
DSP	NM_004415	desmoplakin	late	Con	0	-2	10756030	-1
DST	NM_001723	dystonin	late	Con	0	-2	12115547	-1
EMP3	NM_001425	epithelial membrane protein 3	late	Con	0	-2	14517073. 16505360	-1
ENTPD3	NM_001248	ectonucleoside triphosphate diphosphohydrolase 3	late	Con	1	-3	10756030	-1
FGFR2	NM_023028	fibroblast growth factor receptor 2	late	Con	0	-2	12115547 11287578	-1
GDF15	NM_004864	growth differentiation factor 15	late	Con	-3	4	12115547 16505361 11287578 14517073	1
KRT17	NM_000422	keratin 17	late	Con	1	-4	12115547	-1
KRT6B	NM_005555	keratin 6B	late	Con	-1	-4	14517073	-1
LGALS1	NM_002305	lectin, galactoside-binding, soluble, 1 (galectin 1)	late	Con	2	-2	11287578 10756030	1
MMP9	NM_004994	matrix metalloproteinase 9	late	Con	0	-2	11287578	-1
NINJ1	NM_004148	ninjurin 1	late	Con	-1	2	14517073	1
PLK1	NM_005030	polo-like kinase 1 (Drosophila)	late	Con	0	2	11287578	1
PRNP	NM_000311	prion protein (p27-30)	late	Con	1	-4	11287578	-1
RRAD	NM_004165	Ras-related associated with diabetes	late	Con	0	-2	14517073	-1
S100A9	NM_002965	S100 calcium binding protein A9 (calgranulin B)	late	Con	-1	-2	14517073	-1
SLC16A14	NM_152527	solute carrier family 16, member 14	late	Con	0	2	16505361	1
SNAI1	NM_005985	snail homolog 1 (Drosophila)	late	Con	0	2	10756030	1
SRPK2	NM_182691	SFRS protein kinase 2	late	Con	0	-2	12115547	-1
THBS2	L12350	thrombospondin 2	late	Con	2	-4	12115547	-1
TXNRD1	NM_003330	thioredoxin reductase 1	late	Con	-1	3	12115547	1
VIM	NM_003380	vimentin	late	Con	2	-2	12115547 14517073	-1
FZD7	NM_003507	frizzled homolog 7 (Drosophila)	late	Con	3	-3	10756030	1
IFI35	NM_005533	interferon-induced protein 35	late	Con	-2	2	10756030	-1
SAMD9	NM_017654	sterile alpha motif domain containing 9	late	Con	-3	2	10756030	-1
SORL1	NM_003105	sortilin-related receptor, L(DLR class) A repeats-containing	late	Con	2	-3	12115547	1
AREG	NM_001657	amphiregulin (schwannoma-derived growth factor)	e+l	Dis	-1	-4	12115547	1
BNIP3	NM_004052	BCL2/adenovirus E1B 19kDa interacting protein 3	e+l	Dis	2	1	11287578	-1
CDC7	NM_003503	CDC7 cell division cycle 7 (S. cerevisiae)	e+l	Dis	2	1	12115547	-1
MMP10	NM_002425	matrix metalloproteinase 10 (stromelysin 2)	e+l	Dis	-1	-3	15989693	1
ALKBH	NM_006020	alkB, alkylation repair homolog (E. coli)	early	Dis	2	0	12115547	-1
BAX	NM_138764	BCL2-associated X protein	early	Dis	-2	0	12115547	1
CTGF	NM_001901	connective tissue growth factor	early	Dis	-4	0	12115547	1
F3	NM_001993	coagulation factor III (thromboplastin, tissue factor)	early	Dis	3	-1	11287578	-1
IFITM2	NM_006435	interferon induced transmembrane protein 2 (1-8D)	early	Dis	-4	0	12115547	1
IFITM3	NM_021034	interferon induced transmembrane protein 3 (1-8U)	early	Dis	-2	0	12115547	1
ITGA2	NM_002203	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	early	Dis	-2	-1	16505361	1
