Abbreviation Official/GI	Identification CodeLink	Gene Identification
gi22685430	34169	AGENCOURT_7932449 NIH_MGC_72 cDNA clone IMAGE:6156942 5’
R39367	11050	clone 24734 mRNA sequence
DUSP2	16648	dual specificity phosphatase 2
HSPA1A	39816	heat shock 70kDa protein 1A
HSPA1B	50162	heat shock 70kDa protein 1B
gi66255625	49424	EST-hypothetical protein LOC90637
IL8	24261	interleukin 8
-	36561	EST-mRNA; cDNA DKFZp667A182 (from clone DKFZp667A182)
UBC	6469	ubiquitin C
gi5863270	45082	EST-UI-H-BI0-aai-f-11-0-UIs1 NCI_CGAP_Sub1 cDNA clone IM-AGE:2709644 3’
gi2077388	29444	EST-zu07b03.r1 Soares_testis_NHT cDNA clone IMAGE:731117 5’ similar to contains MER30.t2 MER30 repetitive element
