Gene	Definition	Fold Change
AARS	alanyl-tRNA synthetase (AARS), mRNA.	0.548188804
ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1 (ABCA1), mRNA.	2.332649713
ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3 (ABCA3), mRNA.	1.827259259
ABHD4	abhydrolase domain containing 4 (ABHD4), mRNA.	0.566344294
ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme) (ADAM17), mRNA.	0.548500195
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1 (ADAMTS1), mRNA.	2.292650034
ADM2	adrenomedullin 2 (ADM2), mRNA.	0.456609378
AKNA	AT-hook transcription factor (AKNA), mRNA.	0.250774954
ALDH3B1	aldehyde dehydrogenase 3 family, member B1 (ALDH3B1), transcript variant 2, mRNA.	0.152923538
ALKBH3	alkB, alkylation repair homolog 3 (E. coli) (ALKBH3), mRNA.	0.626102807
ANKRD46	ankyrin repeat domain 46 (ANKRD46), mRNA.	1.810754553
ARFRP1	ADP-ribosylation factor related protein 1 (ARFRP1), mRNA.	0.351738241
ARHGEF2	rho/rac guanine nucleotide exchange factor (GEF) 2 (ARHGEF2), mRNA.	0.597864652
ARPC5L	actin related protein 2/3 complex, subunit 5-like (ARPC5L), mRNA.	0.66951315
ASNS	asparagine synthetase (ASNS), transcript variant 1, mRNA.	0.263665254
ATF5	activating transcription factor 5 (ATF5), mRNA.	0.304773817
ATP7A	ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome) (ATP7A), mRNA.	2.562007168
ATP8B4	ATPase, Class I, type 8B, member 4 (ATP8B4), mRNA.	2.149614576
BCL2L1	BCL2-like 1 (BCL2L1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	0.472568004
BCORL1	BCL6 co-repressor-like 1 (BCORL1), mRNA.	2.179012346
BTN3A2	butyrophilin, subfamily 3, member A2 (BTN3A2), mRNA.	1.99903405
BXDC1	brix domain containing 1 (BXDC1), mRNA.	0.539747526
C10orf32	chromosome 10 open reading frame 32 (C10orf32), mRNA.	0.596108316
C10orf35	chromosome 10 open reading frame 35 (C10orf35), mRNA.	0.575597793
C10orf56	chromosome 10 open reading frame 56 (C10orf56), mRNA.	1.968640094
C10orf83	chromosome 10 open reading frame 83 (C10orf83), mRNA.	0.570444286
C14orf132	chromosome 14 open reading frame 132 (C14orf132), mRNA.	4.19047619
C14orf4	chromosome 14 open reading frame 4 (C14orf4), mRNA.	0.494478473
C14orf78	PREDICTED:  chromosome 14 open reading frame 78, transcript variant 1 (C14orf78), mRNA.	2.157463095
C16orf28	chromosome 16 open reading frame 28 (C16orf28), mRNA.	0.574565416
C17orf49	chromosome 17 open reading frame 49 (C17orf49), mRNA.	0.62778297
C17orf59	chromosome 17 open reading frame 59 (C17orf59), mRNA.	3.084260731
C18orf14	coiled-coil domain containing 102B (CCDC102B), mRNA.	2.52359882
C19orf28	chromosome 19 open reading frame 28 (C19orf28), mRNA.	0.141170156
C19orf48	chromosome 19 open reading frame 48 (C19orf48), mRNA.	0.328089201
C1orf155	centromere protein L (CENPL), mRNA.	0.4434751
C1orf163	chromosome 1 open reading frame 163 (C1orf163), mRNA.	0.565068493
C1orf19	chromosome 1 open reading frame 19 (C1orf19), mRNA.	0.586419576
C1orf24	chromosome 1 open reading frame 24 (C1orf24), transcript variant 2, mRNA.	0.337991768
C20orf46	chromosome 20 open reading frame 46 (C20orf46), mRNA.	2.321936057
C22orf5	transmembrane protein 184B (TMEM184B), mRNA.	1.948666932
C2orf24	chromosome 2 open reading frame 24 (C2orf24), mRNA.	0.558616647
C5orf5	chromosome 5 open reading frame 5 (C5orf5), mRNA.	0.614792503
C6orf48	chromosome 6 open reading frame 48 (C6orf48), transcript variant 1, mRNA.	0.393760086
C8orf36	non-SMC element 2, MMS21 homolog (S. cerevisiae) (NSMCE2), mRNA.	2.002258356
C8orf40	chromosome 8 open reading frame 40 (C8orf40), mRNA.	0.641004621
C9orf103	chromosome 9 open reading frame 103 (C9orf103), mRNA.	0.458823529
C9orf91	chromosome 9 open reading frame 91 (C9orf91), mRNA.	0.498638221
CA9	carbonic anhydrase IX (CA9), mRNA.	2.764011799
CACNB3	calcium channel, voltage-dependent, beta 3 subunit (CACNB3), mRNA.	1.965931559
CBS	cystathionine-beta-synthase (CBS), mRNA.	0.416545669
CCNY	cyclin Y (CCNY), transcript variant 1, mRNA.	0.572310099
CDC42EP1	CDC42 effector protein (Rho GTPase binding) 1 (CDC42EP1), transcript variant 2, mRNA.	0.314238953
CDC42EP2	CDC42 effector protein (Rho GTPase binding) 2 (CDC42EP2), mRNA.	0.505957272
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha (CEBPA), mRNA.	0.439790576
CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma (CEBPG), mRNA.	0.44757278
CEI	chromosome 5 open reading frame 38 (C5orf38), mRNA.	0.315611814
CHAC1	ChaC, cation transport regulator homolog 1 (E. coli) (CHAC1), mRNA.	0.278195489
CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4 (CHCHD4), mRNA.	0.649518858
CHIC2	cysteine-rich hydrophobic domain 2 (CHIC2), mRNA.	0.653270034
CIRH1A	cirrhosis, autosomal recessive 1A (cirhin) (CIRH1A), mRNA.	0.65807702
CKS1B	CDC28 protein kinase regulatory subunit 1B (CKS1B), mRNA.	0.603113687
CNFN	cornifelin (CNFN), mRNA.	1.955971897
CPA4	carboxypeptidase A4 (CPA4), mRNA.	5.161852471
CSF2RA	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) (CSF2RA), transcript variant 6, mRNA.	0.325774488
CXorf26	chromosome X open reading frame 26 (CXorf26), mRNA.	0.643023775
CYP27B1	cytochrome P450, family 27, subfamily B, polypeptide 1 (CYP27B1), nuclear gene encoding mitochondrial protein, mRNA.	2.222367846
CYP4F11	cytochrome P450, family 4, subfamily F, polypeptide 11 (CYP4F11), mRNA.	0.64253601
DCBLD2	discoidin, CUB and LCCL domain containing 2 (DCBLD2), mRNA.	1.741520229
DCPS	decapping enzyme, scavenger (DCPS), mRNA.	0.605276772
DDX55	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 (DDX55), mRNA.	0.661128451
DHRS4	dehydrogenase/reductase (SDR family) member 4 (DHRS4), mRNA.	0.52480098
DHRS4L2	dehydrogenase/reductase (SDR family) member 4 like 2 (DHRS4L2), mRNA.	0.619886364
DJ122O8.2	hypothetical protein dJ122O8.2 (DJ122O8.2), mRNA.	0.658883736
DNAJC11	DnaJ (Hsp40) homolog, subfamily C, member 11 (DNAJC11), mRNA.	0.388506876
DNAJC19	DnaJ (Hsp40) homolog, subfamily C, member 19 (DNAJC19), mRNA.	0.498638662
DNHD1	dynein heavy chain domain 1 (DNHD1), mRNA.	2.603418803
DUS3L	dihydrouridine synthase 3-like (S. cerevisiae) (DUS3L), mRNA.	0.476592686
ECHDC2	enoyl Coenzyme A hydratase domain containing 2 (ECHDC2), mRNA.	0.546758169
EGFLAM	EGF-like, fibronectin type III and laminin G domains (EGFLAM), transcript variant 3, mRNA.	0.557359595
EID3	EP300 interacting inhibitor of differentiation 3 (EID3), mRNA.	0.562900408
EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 (EIF4EBP1), mRNA.	0.283619087
ELL3	elongation factor RNA polymerase II-like 3 (ELL3), mRNA.	2.241022851
EPHA2	EPH receptor A2 (EPHA2), mRNA.	0.525553914
EPHX1	epoxide hydrolase 1, microsomal (xenobiotic) (EPHX1), mRNA.	0.649205915
ESM1	endothelial cell-specific molecule 1 (ESM1), mRNA.	2.649639817
ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF) (ETV4), mRNA.	0.593348089
EXOSC2	exosome component 2 (EXOSC2), mRNA.	0.539493781
FAM24B	family with sequence similarity 24, member B (FAM24B), mRNA.	0.529401938
FBXW4	F-box and WD repeat domain containing 4 (FBXW4), mRNA.	0.613259669
FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism) (FGFR3), transcript variant 1, mRNA.	2.460526316
FLJ14166	hypothetical protein FLJ14166 (FLJ14166), mRNA.	0.54079602
FLJ22222	hypothetical protein FLJ22222 (FLJ22222), transcript variant 2, mRNA.	0.396349413
FLJ25801	hypothetical protein FLJ25801 (FLJ25801), mRNA.	0.625574917
FLJ30596	chromosome 5 open reading frame 33 (C5orf33), mRNA.	0.544142615
FSCN1	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus) (FSCN1), mRNA.	1.877873719
GLS	glutaminase (GLS), mRNA.	3.548890222
GPATCH4	G patch domain containing 4 (GPATCH4), transcript variant 2, mRNA.	0.408185599
GPR137B	G protein-coupled receptor 137B (GPR137B), mRNA.	2.293554007
GTF2H3	general transcription factor IIH, polypeptide 3, 34kDa (GTF2H3), mRNA.	0.475201613
GUSBL2	glucuronidase, beta-like 2 (GUSBL2), transcript variant 3, mRNA.	0.504693786
H2BFS	H2B histone family, member S (H2BFS), mRNA.	0.64441789
HAX1	HCLS1 associated protein X-1 (HAX1), transcript variant 1, mRNA.	0.383293556
HIST1H4C	histone cluster 1, H4c (HIST1H4C), mRNA.	0.555762048
HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase (HMGCR), mRNA.	1.824623646
HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble) (HMGCS1), mRNA.	2.405389434
Hs.126245		1.936373667
Hs.13262		0.374708171
Hs.25892		0.398842337
Hs.355933		0.442995372
Hs.4290		2.035330948
Hs.435284		2.148573546
Hs.528873		0.413166144
Hs.547277		1.836604096
Hs.555252		0.51973001
Hs.557245		2.785243742
Hs.568690		3.337837838
HSPA1A	heat shock 70kDa protein 1A (HSPA1A), mRNA.	2.65981938
HSPA2	heat shock 70kDa protein 2 (HSPA2), mRNA.	3.969072165
HSPA8	heat shock 70kDa protein 8 (HSPA8), transcript variant 1, mRNA.	1.952225104
HSPB3	heat shock 27kDa protein 3 (HSPB3), mRNA.	2.50813323
IDI1	isopentenyl-diphosphate delta isomerase 1 (IDI1), mRNA.	2.460595898
IFI27	interferon, alpha-inducible protein 27 (IFI27), mRNA.	2.906630582
IFRD2	interferon-related developmental regulator 2 (IFRD2), mRNA.	0.428997021
IGF1R	insulin-like growth factor 1 receptor (IGF1R), mRNA.	2.725779967
IGSF4	cell adhesion molecule 1 (CADM1), mRNA.	3.463942308
IMMP1L	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae) (IMMP1L), mRNA.	0.524113594
INSIG1	insulin induced gene 1 (INSIG1), transcript variant 1, mRNA.	1.01799856
ISG15	ISG15 ubiquitin-like modifier (ISG15), mRNA.	2.04415182
JTV1	JTV1 gene (JTV1), mRNA.	0.602098499
KIAA0690	ribosomal RNA processing 12 homolog (S. cerevisiae) (RRP12), mRNA.	0.602595968
KIAA0895	KIAA0895 protein (KIAA0895), mRNA.	2.177717227
LHFPL2	lipoma HMGIC fusion partner-like 2 (LHFPL2), mRNA.	1.820883088
LIAS	lipoic acid synthetase (LIAS), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	0.568552981
LMO4	LIM domain only 4 (LMO4), mRNA.	0.524329293
LMTK3	PREDICTED:  lemur tyrosine kinase 3 (LMTK3), mRNA.	2.242154812
LOC126295	zinc finger protein 57 (ZNF57), mRNA.	3.52532833
LOC150223	hypothetical protein LOC150223 (LOC150223), transcript variant 2, mRNA.	0.187850944
LOC201164	similar to CG12314 gene product (LOC201164), mRNA.	0.44773791
LOC285216	PREDICTED:  hypothetical protein LOC285216 (LOC285216), mRNA.	0.551144391
LOC285513	hypothetical protein LOC285513 (LOC285513), mRNA.	2.796129032
LOC550112	PREDICTED:  hypothetical LOC550112, transcript variant 8 (LOC550112), misc RNA.	0.488095238
LOC643720	PREDICTED:  similar to Protein C21orf109 (LOC643720), mRNA.	0.546771523
