id	Gene Symbol	Entrez Gene	EGID original	EGID_original2UniProt
204729_s_at	STX1A	6804	6804	Q16623
200989_at	HIF1A	3091	3091	Q16665
200910_at	CCT3	7203	7203	P49368
201137_s_at	HLA-DBPB1	3115	3115	P04440
206750_at	MAFK	7375	7975	O60675
209111_at	RNF5	6048	6048	Q99942
average_208893_s_at_208892_s_at_208891_at	DUSP6		1848	Q16828
203414_at	MMD		23531	Q15546
average_209969_s_at_200887_s_at	STAT1		6772	P42224
202454_s_at	ERBB3		2065	P21860
average_204890_s_at_204891_s_at	LCK		3932	P06239
203382_s_at	APOE	348	348	P02649
202460_s_at	LPIN2	9663	9663	Q92539
204351_at	S100P	6286	6286	P25815
205455_at	MST1R	4486	4486	Q04912
201250_s_at	SLC2A1	6513	6513	P11166
219069_at	ANKRD49		54851	Q8WVL7
203136_at	RABAC1		10567	Q9UI14
219145_at	LPHN1		22859	O94910
220956_s_at	EGLN2		112398	Q96KS0
204729_s_at	STX1A	6804	6804	Q16623
200989_at	HIF1A	3091	3091	Q16665
206337_at	CCR7	1236	1236	P32248
average-210557_x_at-211839_s_at	CSF1		1435	P09603
average-201983_s_at_201984_s_at	EGFRv1		1956	P00533
205199_at	CA9		768	Q16790
200951_s_at	CCND2	894	894	P30279
202746_at	ITM2A	9452	9452	O43736
202747_s_at	ITM2A	9452	9452	O43736
202990_at	PYGL	5836	5836	P06737
203196_at	ABCC4	10257	10257	O15439
203787_at	SSBP2	23635	23635	P81877
204037_at	EDG2	1902	1902	Q92633
204197_s_at	RUNX3	864	864	Q13761
204198_s_at	RUNX3	864	864	Q13761
204266_s_at	CHKA/LOC650122	1119/650122	1119	P35790
204753_s_at	HLF	3131	3131	Q16534
204755_x_at	HLF	3131	3131	Q16534
205267_at	POU2AF1	5450	5450	Q16633
206566_at	SLC7A1	6541	6541	P30825
206775_at	CUBN	8029	8029	O60494
207028_at	MYCNOS	10408	10408	P40205
207251_at	MEP1B	4225	4225	Q16820
207620_s_at	CASK	8573	8573	O14936
208933_s_at	---	---	NA	NA
208935_s_at	LGALS8	3964	3964	O00214
209748_at	SPAST	6683	6683	Q9UBP0
209828_s_at	IL16	3603	3603	Q14005
210577_at	CASR	846	846	P41180
210965_x_at	CDC2L5	8621	8621	Q14004
211721_s_at	ZNF551	90233	90233	Q7Z340
212570_at	ENDOD1	23052	23052	O94919
213309_at	PLCL2	23228	23228	Q9UPR0
214253_s_at	DTNB	1838	1838	O60941
215763_at	---	---	NA	NA
216147_at		55752	55752	Q9NVA2
216263_s_at	---	---	NA	NA
217227_x_at	IL8	3576	3576	P10145
217867_x_at	BACE2	25825	25825	Q9Y5Z0
218384_at	CARHSP1	23589	23589	Q9Y2V2
218388_at	PGLS	25796	25796	O95336
218427_at	SDCCAG3	10807	10807	Q96C92
218507_at	HIG2	29923	29923	Q9Y5L2
219003_s_at	MANEA	79694	79694	Q5SRI9
219132_at	PELI2	57161	57161	Q9HAT8
219536_s_at	ZFP64	55734	55734	Q9NPA5
219582_at	OGFRL1	79627	79627	Q5TC84
219659_at	ATP8A2	51761	51761	Q9NTI2
220692_at	POLR2J2	246721	246721	Q9GZM3
220723_s_at	FLJ21511	80157	80157	Q9H720
221047_s_at	MARK1	4139	4139	Q9P0L2
221234_s_at	BACH2	60468	60468	Q9BYV9
222048_at	ADRBK2	157	157	P35626
49049_at	DTX3	196403	196403	Q8N9I9
59625_at	NOL3	8996	8996	O60936
65472_at	USP39	10713	10713	Q53GS9
	NUDCD1	84955	84955	Q96RS6
	E2F1	1869	1869	Q01094
	HOXB7	3217	3217	P09629
	MCM6	4175	4175	Q14566
	SERPINB5	5268	5268	P36952
	E2F4	1874	1874	Q16254
	HSPG2	3339	3339	P98160
	SF3B1	23451	23451	O75533
	RRM2	6241	6241	P31350
	SCGB3A1	92304	92304	Q96QR1
201243_s_at	ATP1B1	481	481	P05026
218881_s_at	FOSL2	2355	2355	P15408
210016_at	MYT1L	23040	23040	Q9UL68
202707_at	UMPS	7372	7372	P11172
203001_s_at	STMN2	11075	11075	Q93045
206426_at	MLANA	2315	2315	Q16655
203147_s_at	TRIM14	9830	9830	Q14142
202490_at	IKBKAP	8518	8518	O95163
205386_s_at	MDM2	4193	4193	Q00987
221591_s_at	FAM64A	54478	54478	Q9BSJ6
202814_s_at	HEXIM1	10614	10614	O94992
219171_s_at	ZNF236	7776	7776	Q9UL36
208399_s_at	EDN3	1908	1908	P14138
204179_at	MB	4151	4151	P02144
204584_at	L1CAM	3897	3897	P32004
