RefSeq 	Common	Illumina probe set ID	Fold difference (log2)	P < 0.01	CEUp versus YRIp (MTC: Bonferroni)	Fold difference (log2)	P < 0.01	Factor	Factor	Affymetrix probe set ID	Fold difference (log2)	P < 0.05
NM_000462 	UBE3A	GI_19718761-A	1.811	2.87E-46	CEUp versus YRIp (MTC: Bonferroni)	1.399	7.06E-23	CEUc versus YRIc (MTC: Bonferroni)	Illumina Human V6 arrays	211575_s_at	1.0903921	2.75E-02
NM_000516 	GNAS	GI_18426899-A	1.215	2.05E-13	CEUp versus YRIp (MTC: Bonferroni)	1.174	2.87E-05	CEUc versus YRIc (MTC: Bonferroni)	Illumina Human V6 arrays	217673_x_at	1.0949674	6.97E-03
NM_000553 	WRN	GI_19924171-S	1.94	1.18E-50	CEUp versus YRIp (MTC: Bonferroni)	1.54	5.25E-28	CEUc versus YRIc (MTC: Bonferroni)	Illumina Human V6 arrays	205667_at	1.1819617	6.51E-03
NM_000938 	POLR2B	GI_4505940-S	1.621	1.10E-38	CEUp versus YRIp (MTC: Bonferroni)	1.431	3.83E-19	CEUc versus YRIc (MTC: Bonferroni)	Illumina Human V6 arrays	201803_at	1.0732888	3.46E-02
NM_000970 	RPL6	GI_16753226-S	1.275	2.41E-19	CEUp versus YRIp (MTC: Bonferroni)	1.255	1.20E-14	CEUc versus YRIc (MTC: Bonferroni)	Illumina Human V6 arrays	200034_s_at	1.1285841	1.90E-04
NM_001001973 	ATP5C1	GI_4885078-S	1.369	5.61E-27	CEUp versus YRIp (MTC: Bonferroni)	1.322	3.86E-17	CEUc versus YRIc (MTC: Bonferroni)	Illumina Human V6 arrays	214132_at	1.136883	3.77E-02
NM_001020658 	PUM1	GI_13491165-S	1.425	5.04E-32	CEUp versus YRIp (MTC: Bonferroni)	1.157	1.07E-06	CEUc versus YRIc (MTC: Bonferroni)	Illumina Human V6 arrays	201164_s_at	1.132332	6.73E-04
NM_001025105 	CSNK1A1	GI_34147516-S	1.759	3.37E-53	CEUp versus YRIp (MTC: Bonferroni)	1.41	4.87E-20	CEUc versus YRIc (MTC: Bonferroni)	Illumina Human V6 arrays	206562_s_at	1.2095745	1.88E-06
NM_001037637 	BTF3	GI_29126237-S	1.319	1.10E-27	CEUp versus YRIp (MTC: Bonferroni)	1.343	9.34E-18	CEUc versus YRIc (MTC: Bonferroni)	Illumina Human V6 arrays	208517_x_at	1.1164298	9.27E-04
NM_001037637 	BTF3				CEUp versus YRIp (MTC: Bonferroni)			CEUc versus YRIc (MTC: Bonferroni)	Illumina Human V6 arrays	211939_x_at	1.0701255	4.22E-02
