Rank	Accession No.	Title	Symbol	Mean fold change	P Value	q-Value
1	NM_000477.3	Albumin	ALB	252.4	0	0
2	NM_001643.1	Apolipoprotein A-II	APOA2	221.8	4.41E-08	0.0000221
3	NM_001063.2	Transferrin	TF	221.2	3.2E-09	0.00000341
4	NM_001633.2	Alpha-1-microglobulin/bikunin precursor	AMBP	199.4	3.4E-09	0.00000341
5	NM_005141.2	Fibrinogen beta chain	FGB	173.6	5.1E-09	0.00000493
6	NM_000607.1	Orosomucoid 1	ORM1	153.4	2.54E-08	0.0000154
7	NM_000039.1	Apolipoprotein A-I	APOA1	150.7	8.3E-09	0.00000656
8	NM_000583.2	Group-specific component	GC	141.6	0.000000049	0.000023
9	NM_000638.2	Vitronectin	VTN	134.7	3E-10	0.000000712
10	NM_005143.2	Haptoglobin	HP	129.6	0.000000008	0.00000656
11	NM_000508.3	Fibrinogen alpha chain , transcript variant alpha-E	FGA	123.7	0	0
12	NM_000014.4	Alpha-2-macroglobulin	A2M	119.4	0	0
13	NM_001622.1	Alpha-2-HS-glycoprotein	AHSG	98.9	0.00000235	0.000258
14	NM_001645.3	Apolipoprotein C-I	APOC1	98.2	0	0
15	NM_000608.2	Orosomucoid 2	ORM2	86.4	0.000000588	0.0001088
16	NM_000506.2	Coagulation factor II	F2	86.1	0.000000422	0.0000879
17	NM_000384.1	Apolipoprotein B  antigen)	APOB	84.8	0.000000255	0.0000617
18	NM_000096.1	Ceruloplasmin	CP	79.5	0	0
19	NM_000371.1	Transthyretin	TTR	79.3	7.48E-08	0.0000283
20	NM_000567.2	C-reactive protein, pentraxin-related	CRP	70.9	0.00000424	0.0003463
21	NM_021870.2	Fibrinogen gamma chain , transcript variant gamma-B	FGG	65.9	2E-10	0.000000522
22	NM_015991.1	Complement component 1, q subcomponent, alpha polypeptide	C1QA	65.7	0.000000001	0.00000169
23	NM_001639.2	Amyloid P component, serum	APCS	63.5	0.000000076	0.0000283
24	NM_000042.1	Apolipoprotein H	APOH	63.4	0.000000163	0.0000477
25	NM_005410.2	Selenoprotein P, plasma, 1	SEPP1	53.8	7.6E-09	0.00000656
26	NM_000715.3	Complement component 4 binding protein, alpha	C4BPA	53.1	0.000000835	0.0001313
27	NM_000488.2	Serpin peptidase inhibitor, clade C , member 1	SERPINC1	49.9	0.00000134	0.0001761
28	NM_000491.2	Complement component 1, q subcomponent, beta polypeptide	C1QB	49.3	2.3E-09	0.00000286
29	NM_005518.2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	HMGCS2	44.9	0.00000559	0.0003956
30	NM_019111.3	Major histocompatibility complex, class II, DR alpha	HLA-DRA	44.2	0.000135	0.0028351
31	NM_000239.1	Lysozyme	LYZ	44.2	5.89E-08	0.0000239
32	NM_000295.3	Serpin peptidase inhibitor, clade A , member 1 , transcript variant 1	SERPINA1	42.9	0.0000303	0.001133
33	NM_000518.4	Hemoglobin, beta	HBB	42.8	0.000000224	0.0000578
34	NM_000041.2	Apolipoprotein E	APOE	42	0.0000127	0.0006634
35	NM_001735.2	Complement component 5	C5	42	0.000000602	0.0001098
36	NM_000040.1	Apolipoprotein C-III	APOC3	40.3	0.00000198	0.0002289
37	NM_003332.2	TYRO protein tyrosine kinase binding protein , transcript variant 1	TYROBP	39.6	9.2E-09	0.00000686
38	NM_000035.2	Aldolase B, fructose-bisphosphate	ALDOB	39.3	0.0000191	0.0008477
39	XM_941953.1	PREDICTED:  similar to Ig kappa chain V-I region HK102 precursor	LOC652493	36.8	0.0000198	0.000865
40	NM_004139.2	Lipopolysaccharide binding protein	LBP	36.5	1.7E-09	0.00000222
41	NM_006744.3	Retinol binding protein 4, plasma	RBP4	35.5	0.00000228	0.0002512
42	NM_000483.3	Apolipoprotein C-II	APOC2	35.3	0.000000968	0.000146
43	NM_172369.2	Complement component 1, q subcomponent, C chain	C1QC	34.8	1.2E-09	0.00000174
44	NM_031310.1	Plasmalemma vesicle associated protein	PLVAP	34.2	0	0
45	NM_002216.2	Inter-alpha  inhibitor H2	ITIH2	32.5	0.00000955	0.0005629
46	NM_005211.2	Colony stimulating factor 1 receptor, formerly mcdonough feline sarcoma viral  oncogene homolog	CSF1R	32.3	1.1E-09	0.00000169
47	NM_001671.2	Asialoglycoprotein receptor 1	ASGR1	32	0.000000758	0.000126
48	NR_002196.1	H19, imprinted maternally expressed untranslated mrna  on chromosome 11.	H19	31.8	0.0000668	0.0018295
49	NM_000029.2	Angiotensinogen	AGT	31.4	0.000000525	0.0001008
50	NM_000613.1	Hemopexin	HPX	31.4	0.00000659	0.0004448
51	NM_000893.2	Kininogen 1	KNG1	30.9	0.0000108	0.0006068
52	NM_004364.2	CCAAT/enhancer binding protein , alpha	CEBPA	30.6	3.4E-09	0.00000341
53	XM_942302.1	PREDICTED:  similar to Ig kappa chain V-I region HK102 precursor	LOC652694	30.3	0.0000589	0.001705
54	AK129542	Cdna FLJ26031 fis, clone PNC08078	Hs.223856	30.2	0.00000343	0.0003141
55	NM_000624.3	Serpin peptidase inhibitor, clade A , member 5	SERPINA5	29.4	0.0002427	0.0040882
56	NM_001872.2	Carboxypeptidase B2  , transcript variant 1	CPB2	29	0.000003	0.0002952
57	NM_021175.2	Hepcidin antimicrobial peptide	HAMP	28.5	0.0000635	0.0017915
58	NM_000030.1	Alanine-glyoxylate aminotransferase	AGXT	27.9	0.0000144	0.0007161
59	NM_000064.1	Complement component 3	C3	27.6	0.000000141	0.0000443
60	NM_000591.1	CD14 antigen	CD14	27.6	8.9E-09	0.00000683
61	NM_000354.3	Serpin peptidase inhibitor, clade A , member 7	SERPINA7	26.6	0.00000105	0.0001528
62	NM_001756.3	Serpin peptidase inhibitor, clade A , member 6	SERPINA6	25.9	0.00000456	0.0003573
63	NM_000582.2	Secreted phosphoprotein 1	SPP1	25.6	0.00000226	0.0002502
64	NM_001073.1	UDP glucuronosyltransferase 2 family, polypeptide B11	UGT2B11	24.9	0.00002	0.0008719
65	NM_000211.1	Integrin, beta 2 , lymphocyte function-associated antigen 1; macrophage antigen 1  beta subunit)	ITGB2	24.5	0.0000208	0.0008938
66	NM_001443.1	Fatty acid binding protein 1, liver	FABP1	24.2	0.0000249	0.0010067
67	XM_936120.1	PREDICTED:  major histocompatibility complex, class II, DQ alpha 1, transcript variant 2	HLA-DQA1	24.2	0.000000779	0.0001286
68	NM_000596.2	Insulin-like growth factor binding protein 1 , transcript variant 1	IGFBP1	23.8	0.0000228	0.0009553
69	NM_000773.3	Cytochrome P450, family 2, subfamily E, polypeptide 1	CYP2E1	23.5	0.0000874	0.0021694
70	NM_002922.3	Regulator of G-protein signalling 1	RGS1	23.5	0.000000101	0.0000334
71	NM_152889.1	Carbohydrate  sulfotransferase 13	CHST13	23.5	0.000000199	0.0000552
72	XM_939003.1	PREDICTED:  similar to Ig gamma-2 chain C region	LOC649923	23.4	0.0001052	0.0024457
73	NM_000667.2	Alcohol dehydrogenase 1A , alpha polypeptide	ADH1A	23.3	0.0012208	0.0116166
