Accession ID	Gene name	Index	Ratio
NM_006267	RAN binding protein 2	C- 6- 1-E	3.82
AF161415	HSPC297 protein	C- 7- 1-E	2.1
AK000826	Homo sapiens cDNA FLJ20819 fis, clone ADSE00511	C-11- 1-E	2.17
AL034380	Hypothetical protein FLJ12455	E-17- 1-E	5.56
L25080	GTP-binding protein (rhoA) mRNA	F- 8- 1-E	2.37
AI632545	ESTs	G- 7- 1-E	3.15
X57766	Matrix metalloproteinase 11	G- 8- 1-E	3.21
AW962820	ESTs	G- 9- 1-E	2.05
U83117	Ubiquitin-like 1	G-16- 1-E	2.21
X99585	SMT3 homolog 2	G-18- 1-E	2.14
AF049910	Transforming, acidic coiled-coil containing protein 1	H-19- 1-E	2.4
L37385	Homolog of mouse MAT-1 oncogene	I- 3- 1-E	2.83
NM_006718	Pleiomorphic adenoma gene-like 1	I- 8- 1-E	2.05
X81788	Immature colon carcinoma transcript 1	I-16- 1-E	2.14
AB040929	KIAA1496 protein	K- 7- 1-E	2.31
AK000299	Homo sapiens cDNA FLJ20292 fis, clone HEP05374	K- 9- 1-E	2.32
U20285	G protein pathway suppressor 1	K-14- 1-E	2.23
Z82248	Sequence from clone LL22NC03-44A4 on chromosome 22	L- 9- 1-E	2.66
D14889	RAB33A, member RAS oncogene family	L-11- 1-E	2.17
Z29090	Phosphoinositide-3-kinase, catalytic, alpha polypeptide	L-20- 1-E	2.17
AF092922	Retinoic acid receptor responder	L-22- 1-E	2.07
BE735759	ESTs	M-18- 1-E	3.27
AF026816	Inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	N- 6- 1-E	2.72
M14328	Enolase 1, (alpha)	N-17- 1-E	2.61
U53446	Disabled homolog 2 (mitogen-responsive phosphoprotein)	O- 2- 1-E	2.32
X64229	DEK oncogene (DNA binding)	O- 8- 1-E	2.07
NM_006811	Tumor differentially expressed 1	O-22- 1-E	2.19
AF040253	Suppressor of Ty (S.cerevisiae) 5 homolog	P- 3- 1-E	3.05
X66363	PCTAIRE protein kinase 1	A- 1- 1-D	3.78
AB037790	KIAA1369 protein, partial cds	A-22- 1-D	3.01
X15187	Tumor rejection antigen (gp96) 1	C-16- 1-D	2.46
D42047	KIAA0089 protein	E-19- 1-D	2.42
AA447056	ESTs	A-11- 1-C	3.05
Z47087	Transcription elongation factor B (SIII), polypeptide 1-like	A-18- 1-C	2.52
U66871	Enhancer of rudimentary (Drosophila) homolog	B- 9- 1-C	2.55
AK000346	Homo sapiens cDNA FLJ20339 fis, clone HEP12350	B-11- 1-C	2.09
AI815004	ESTs	C- 1- 1-C	2.59
U13896	Drosophila discs large protein, isoform 2 (hdlg-2)	C- 6- 1-C	2.94
M15796	Proliferating cell nuclear antigen	D-23- 1-C	2.85
AI500319	ESTs	E- 4- 1-C	2.22
L41870	Retinoblastoma 1 (including osteosarcoma)	F- 1- 1-C	2.17
D50918	Septin 2	F-22- 1-C	2.93
AF035582	Calcium/calmodulin-dependent serine protein kinase (MAGUK family)	G- 8- 1-C	2.51
AF114818	Siah binding protein 1; FBP interacting repressor; pyrimidine tract binding splicing factor; Ro ribonucleoprotein-binding protein 1	G-16- 1-C	2.06
M11353	H3 histone, family 3A	G-24- 1-C	2.26
J04164	Interferon induced transmembrane protein 1 (9-27)	H-10- 1-C	2.03
AF181850	Inhibitor of growth family, member 1	H-11- 1-C	2.83
NM_001951	E2F transcription factor 5, p130-binding	I- 9- 1-C	2.08
AF000652	Syndecan binding protein (syntenin)	I-20- 1-C	2.24
NM_014624	S100 calcium-binding protein A6 (calcyclin)	I-22- 1-C	4.14
AF045555	Williams-Beuren syndrome chromosome region 5	I-24- 1-C	3.76
U18291	CDC16 (cell division cycle 16, S. cerevisiae, homolog)	J- 5- 1-C	2.12
U51920	Signal recognition particle 54kD	J-11- 1-C	2.57
U90549	High-mobility group (nonhistone chromosomal) protein 17-like 3	J-13- 1-C	2.14
AF011468	Serine/threonine kinase 15	K- 2- 1-C	3.05
Z82244	Sequence from clone CTA-286B10 on chromosome 22	L-23- 1-C	4.54
AJ009770	PCAF associated factor 65 beta	N- 8- 1-C	2.87
L04658	Cyclin-dependent kinase 5	O-10- 1-C	2.59
NM_002634	Prohibitin	A- 9- 1-B	2.01
AW269335	ESTs	E-15- 1-A	2.18
AW972044	ESTs	G-11- 1-A	2.61
NM_016103	GTP-binding protein Sara	G-13- 1-A	2.52
AK001354	Putative G-protein coupled receptor	K- 9- 1-A	2.24
NM_015646	RAP1B, member of RAS oncogene family	K-23- 1-A	7.79
AV653358	ESTs	M- 3- 1-A	2.21
NM_018477	Uncharacterized hypothalamus protein HARP11	M- 9- 1-A	2.72
BE799244	Hypothetical protein	M-21- 1-A	2.84
AL138283	ESTs	N- 5- 1-A	3.28
AL110183	Homo sapiens mRNA; cDNA DKFZp566A221 (from clone DKFZp566A221); complete cds	B-21- 3-E	2.03
D26350	Inositol 1,4,5-triphosphate receptor, type 2	D- 7- 3-E	2.02
D45887	Calmodulin 2 (phosphorylase kinase, delta)	D- 9- 3-E	2.32
BE736166	Ribosomal protein S17	D-11- 3-E	2.43
U46751	Sequestosome 1	D-14- 3-E	9.24
X69391	Ribosomal protein L6	F- 8- 3-E	2.68
BE730376	ESTs	F-12- 3-E	2.15
W27031	19d6 Human retina cDNA randomly primed sublibrary Homo sapiens cDNA	G-18- 3-E	2.05
AF236056	Golgi phosphoprotein 2	G-24- 3-E	2.06
X67951	Peroxiredoxin 1	H- 8- 3-E	2.64
X57351	Interferon induced transmembrane protein 2 (1-8D)	H-12- 3-E	2.26
BE396752	Hypothetical protein MGC4251	I-20- 3-E	2.31
BE535523	Protein phosphatase 4 regulatory subunit 2	K-10- 3-E	2.2
L42176	Four and a half LIM domains 2	L- 7- 3-E	2.49
NM_004371	Coatomer protein complex, subunit alpha	L-18- 3-E	2.51
X80822	Ribosomal protein L18a	L-22- 3-E	2.65
X82456	LIM and SH3 protein 1	M- 6- 3-E	2.75
BE241620	ESTs	M- 9- 3-E	4.03
X15183	Heat shock 90kD protein 1, alpha	M-12- 3-E	2.08
X78947	Connective tissue growth factor	M-22- 3-E	2.88
AF119850	Homo sapiens PRO1608 mRNA, complete cds	N-11- 3-E	3.14
AL137638	Homo sapiens mRNA; cDNA DKFZp434J065 (from clone DKFZp434J065);	N-16- 3-E	2.07
AL031282	Human DNA sequence from clone 283E3 on chromosome 1p36.21-36.33.	N-19- 3-E	2.04
NM_018579	Mitochondrial solute carrier	O- 7- 3-E	2.71
M16102	Major histocompatibility complex, class I, B	P- 7- 3-E	2.03
U46024	Myotubular myopathy 1	B- 8- 3-D	3.4
U18914	Human 19.8 kDa protein mRNA, complete cds	C-20- 3-D	2.01
U43901	Homo sapiens 37 kD laminin receptor precursor/p40 ribosome associated protein (LAMR1) gene, complete cds; and E2 small nuclear RNA gene, complete sequence	D- 7- 3-D	2.34
U11292	Proteasome activator subunit 3 (PA28 gamma; Ki)	G- 3- 3-D	2.17
Z25749	Ribosomal protein S7	H- 2- 3-D	2.62
AF119297	Reticulon 3	H-18- 3-D	2.6
D00022	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	I- 3- 3-D	2.05
Z22551	Kinectin 1	I-21- 3-D	2.61
M69225	Bullous pemphigoid antigen 1 (230/240kD)	J-16- 3-D	2.12
AF077036	DKFZP586G1722 protein	K-10- 3-D	4.01
NM_005274	Guanine nucleotide binding protein (G protein), gamma 5	M-11- 3-D	2.28
U70451	Myeloid differentiation primary response gene	O-16- 3-D	3.05
AB037848	Synaptotagmin XIII	A-12- 3-C	2.27
NM_002928	Regulator of G-protein signalling 16	D-14- 3-C	3.27
X00264	Luteinizing hormone beta polypeptide	G-18- 3-C	4.11
AF016270	Thyroid hormone receptor coactivating protein	J-13- 3-C	2
AL022721	Peroxisome proliferative activated receptor, delta	I-10- 3-C	2.74
U14528	Solute carrier family 26 (sulfate transporter), member 2	K- 2- 3-C	2.24
U83460	Solute carrier family 31 (copper transporters), member 1	N-17- 3-C	2.23
M15330	Interleukin 1, beta	P-17- 3-C	3.9
L07765	Monocyte/macrophage serine esterase 1	C- 5- 3-B	2.83
M16967	Coagulation factor V (proaccelerin, labile factor)	D-22- 3-B	2.55
AF081195	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	G-17- 3-B	2.24
X76228	ATPase, H+ transporting, lysosomal (vacuolar proton pump) 31kD	I-19- 3-B	2
BE613025	ESTs	D- 4- 3-A	3.36
AB033093	DKFZP727C091 protein	D- 6- 3-A	2.41
NM_020198	GK001 protein	D-10- 3-A	2.98
AB040965	Hypothetical protein from EUROIMAGE 42353	D-22- 3-A	2.28
AL050005	Putative translation initiation factor	F- 3- 3-A	2.06
AF013758	Polyadenylate binding protein-interacting protein 1	F- 5- 3-A	4.3
X71973	Glutathione peroxidase 4 (phospholipid hydroperoxidase)	G-22- 3-A	2.13
AF054178	Homo sapiens CI-B14.5a homolog mRNA, complete cds	G-24- 3-A	2.95
X56997	Ubiquitin A-52 residue ribosomal protein fusion product 1	H- 1- 3-A	2.14
AL137694	Hypothetical protein FLJ11286	L-15- 3-A	2.18
AK001594	Homo sapiens cDNA FLJ10732 fis, clone NT2RP3001384, highly similar to Homo sapiens NAKAP95 mRNA for neighbor of A-kinase anchoring protein 95	N- 9- 3-A	4.58
NM_014220	TM4SF-1	D- 2- 1-E	9.67
M97287	SATB-1	F-13- 1-C	20.45
AK000269	Hypothetical protein FLJ20262	F-20- 1-A	8.73
AL080071	DKFZP564M082 protein	J-24- 1-A	5.9
U48959	Myosin, light polypeptide kinase	A-16- 3-D	6.14
U67171	Selenoprotein W, 1	D- 2- 3-D	8.13
NM_005778	RNA binding motif protein 5	E- 3- 1-E	0.33
AJ225028	Gamma-aminobutyric acid (GABA) B receptor, 1	F- 1- 1-E	0.46
AI018009	ESTs	I- 5- 1-E	0.4
D83032	Nuclear protein	J- 4- 1-E	0.27
D00017	Annexin A2	M- 4- 1-E	0.17
AF129756	G6B protein	N-18- 1-E	0.39
AB010419	Core-binding factor, runt domain, alpha subunit 2; translocated to, 3	P- 8- 1-E	0.38
Y11307	Cysteine-rich, angiogenic inducer, 61	P-12- 1-E	0.45
AF061749	DnaJ (Hsp40) homolog, subfamily A, member 3	P-14- 1-E	0.35
BC005826	ST-14	E- 3- 1-D	0.14
U03056	Hyaluronoglucosaminidase 1	I-13- 1-D	0.5
L33410	Thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor)	K- 5- 1-D	0.44
AF035811	Peanut (Drosophila)-like 2	E- 3- 1-C	0.4
L26953	Regulator of mitotic spindle assembly 1	J- 4- 1-C	0.42
AF123050	Diubiquitin	J-12- 1-C	0.42
AF067855	Geminin	K- 5- 1-C	0.3
U90551	H2A histone family, member L	L- 7- 1-C	0.47
AB011422	Serine/threonine kinase with Dbl- and pleckstrin homology domains	L-12- 1-C	0.41
M36820	GRO2 oncogene	M-20- 1-C	0.48
AF216965	Hypothetical protein FLJ20018	O- 3- 1-C	0.34
AF044588	Protein regulator of cytokinesis 1	P-10- 1-C	0.41
