Probe Set ID	Gene Symbol
36830_at	MIPEP
200757_s_at	CALU
200790_at	ODC1
200831_s_at	SCD
200848_at	AHCYL1
201014_s_at	PAICS
201025_at	EIF5B
201030_x_at	LDHB
201142_at	EIF2S1
201143_s_at	EIF2S1
201178_at	FBXO7
201199_s_at	PSMD1
201266_at	TXNRD1
201476_s_at	RRM1
201563_at	SORD
201589_at	SMC1A
201731_s_at	TPR
201761_at	MTHFD2
201829_at	NET1
201830_s_at	NET1
202070_s_at	IDH3A
202503_s_at	KIAA0101
202613_at	CTPS
202705_at	CCNB2
202706_s_at	UMPS
202759_s_at	AKAP2 /// PALM2 /// PALM2-AKAP2
203015_s_at	SSX2IP
203016_s_at	SSX2IP
203017_s_at	SSX2IP
203082_at	BMS1
203115_at	FECH
203212_s_at	MTMR2
203244_at	PEX5
203284_s_at	HS2ST1
203304_at	BAMBI
203327_at	IDE
203333_at	KIFAP3
203486_s_at	ARMC8
203544_s_at	STAM
203680_at	PRKAR2B
204026_s_at	ZWINT
204033_at	TRIP13
204127_at	RFC3
204162_at	NDC80
204165_at	WASF1
204720_s_at	DNAJC6
204835_at	POLA1
204887_s_at	PLK4
205389_s_at	ANK1
205393_s_at	CHEK1
205395_s_at	MRE11A
205504_at	BTK
205667_at	WRN
205767_at	EREG
205769_at	SLC27A2
205909_at	POLE2
205942_s_at	ACSM3
206075_s_at	CSNK2A1
206145_at	RHAG
206283_s_at	TAL1
206306_at	RYR3
206316_s_at	KNTC1
206698_at	XK
206937_at	SPTA1
207067_s_at	HDC
207071_s_at	ACO1
207125_at	ZNF225
207332_s_at	TFRC
208690_s_at	PDLIM1
208691_at	TFRC
208694_at	PRKDC
208765_s_at	HNRNPR
208955_at	DUT
209094_at	DDAH1
209122_at	ADFP
209128_s_at	SART3
209316_s_at	HBS1L
209520_s_at	NCBP1
209585_s_at	MINPP1
209757_s_at	MYCN
210139_s_at	PMP22
210416_s_at	CHEK2
210473_s_at	GPR125
210543_s_at	PRKDC
210947_s_at	MSH3
210987_x_at	TPM1
211297_s_at	CDK7
211615_s_at	LRPPRC
211952_at	IPO5
211953_s_at	IPO5
211954_s_at	IPO5
211971_s_at	LRPPRC
212073_at	CSNK2A1 /// CSNK2A1P
212281_s_at	TMEM97
212282_at	TMEM97
212472_at	MICAL2
212568_s_at	DLAT
212597_s_at	HMGXB4
212658_at	LHFPL2
212771_at	FAM171A1
212832_s_at	CKAP5
212896_at	SKIV2L2
213008_at	FANCI
213107_at	TNIK
214328_s_at	HSP90AA1
214938_x_at	HMGB1
214949_at
215165_x_at	UMPS
217427_s_at	HIRA
217735_s_at	EIF2AK1
217758_s_at	TM9SF3
217815_at	SUPT16H
218073_s_at	TMEM48
218219_s_at	LANCL2
218364_at	LRRFIP2
218424_s_at	STEAP3
218549_s_at	FAM82B
218585_s_at	DTL
218617_at	TRIT1
218676_s_at	PCTP
218883_s_at	MLF1IP
218890_x_at	MRPL35
218947_s_at	MTPAP
219094_at	ARMC8
219258_at	TIPIN
219470_x_at	CCNJ
220800_s_at	TMOD3
221021_s_at	CTNNBL1
221521_s_at	GINS2
221522_at	ANKRD27
221744_at	WDR68
221823_at	C5orf30
221853_s_at	NOMO1 /// NOMO2 /// NOMO3
222077_s_at	RACGAP1
222630_at	RFX7
222685_at	HAUS6
222764_at	ASRGL1
222794_x_at	MTPAP
223542_at	ANKRD32
223627_at	MEX3B
224822_at	DLC1
224847_at	CDK6
224848_at	CDK6
225501_at	PHF6
226394_at	5-Mar
226751_at	CNRIP1
227447_at	SKIV2L2
227601_at	METTL14
227993_at	METAP2
229304_s_at	MLF1IP
229305_at	MLF1IP
230082_at	LOC100133660
230416_at
230728_at
231925_at
233655_s_at	HAUS6
233873_x_at	MTPAP
238075_at	CHEK1
244623_at	KCNQ5
