miR	Gene Symbol	Gene name	ProbeID	Fold-change	p-value	Biological process and Molecular function
hsa-miR-128a	CAMTA1	calmodulin binding transcription activator 1	164871	1.426	0.045	Signal transduction/Calcium mediated signaling
hsa-miR-128a	CAST	calpastatin	222724	1.788	0.002	Cysteine protease inhibitor|Select regulatory molecule
hsa-miR-128a	CORO1C	coronin, actin binding protein, 1C	107201	1.402	0.027	Cytoskeletal protein|Actin binding cytoskeletal protein
hsa-miR-128a	PARK7	Parkinson disease (autosomal recessive, early onset) 7	136848	1.529	0.003	Nucleic acid binding
hsa-miR-128a	REPS1	RALBP1 associated Eps domain containing 1	147893	1.352	0.002	Intracellular protein traffic/Endocytosis
hsa-miR-128a	RND3	Rho family GTPase 3	129829	2.161	0.041	G-protein|Small GTPase|Select regulatory molecule
hsa-miR-128a	SAA4	serum amyloid A4, constitutive	214434	1.88	0.029	Apolipoprotein;Defense/immunity protein
hsa-miR-128a	TMCC1	transmembrane and coiled-coil domain family 1	112169	1.369	0.031	unclassified
hsa-miR-128a	TRAPPC4	trafficking protein particle complex 4	205369	1.502	0.012	Membrane traffic protein
hsa-miR-128a	UBE2E3	ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)	201108	1.505	0.03	Ligase|Other ligase
hsa-miR-128a	VAMP8	vesicle-associated membrane protein 8 (endobrevin)	226943	2.586	0.011	SNARE protein|Membrane traffic protein
hsa-miR-196a	ARMET	arginine-rich, mutated in early stage tumors	144765	1.816	0.029	unclassified
hsa-miR-196a	HADH2	hydroxyacyl-Coenzyme A dehydrogenase, type II	142475	1.421	0.031	Oxidoreductase|Reductase|Dehydrogenase;Oxidoreductase
hsa-miR-196a	HIST1H2BD	histone 1, H2bd	148940	2.656	0.02	DNA binding
hsa-miR-196a	HNMT	histamine N-methyltransferase	227509	1.423	0.039	unclassified|IRG
hsa-miR-196a	LAMA4	laminin, alpha 4	101059	2.66	0.033	Extracellular matrix|Extracellular matrix linker protein
hsa-miR-196a	LTB4DH	leukotriene B4 12-hydroxydehydrogenase	210882	1.961	0.001	Oxidoreductase|Reductase|Dehydrogenase;Oxidoreductase
hsa-miR-196a	PI3	peptidase inhibitor 3, skin-derived (SKALP)	128827	2.558	0.018	Proteolysis|Protein metabolism and modification
hsa-miR-196a	RIOK3	RIO kinase 3 (yeast)	142169	3.226	0.018	Protein metabolism and modification|Protein phosphorylation
hsa-miR-196a	RRAGA	Ras-related GTP binding A	105497	1.243	0.023	G-protein|Small GTPase|Select regulatory molecule
hsa-miR-196a	ZMYND11	zinc finger, MYND domain containing 11	161540	1.665	0.036	Transcription factor|Transcription cofactor
hsa-miR-128a/hsa-miR-196a	CENPE	centromere protein E, 312kDa	165425	1.436	0.018	Structural constituent of cytoskeleton
