Gene Name	References	Expression
‘SID W 50015, Erythropoietin receptor [50:H16867, 3 0:H16758]’	30	Up-Regulated
‘ELONGATION FACTOR TU, MITOCHONDRIAL PRECURSOR Chr.16 [429540, (IW), 5 0:AA011453, 3 0:AA011397]’	30	Up-Regulated
‘SID 489384, Human insulin-like growth factor binding protein 5 (IGFBP5) mRNA [50:, 30:AA054451]’	32	Up-Regulated
‘ICH-2 PROTEASE PRECURSOR Chr.11 [470160, (IW), 5 0:AA029875, 3 0:AA029111]’	30	Down-Regulated
‘TGFBR2 Transforming growth factor, beta receptor II (70–80 kDa) Chr.3 [510174, (IW), 5 0:AA053517, 3 0:AA053131]’	[26,30]	Down-Regulated
‘PROTEASOME COMPONENT C13 PRECURSOR Chr.6 [344774, (IW), 5 0:W74742, 3 0:W74705]’	30	Down-Regulated
‘SID W 509612, CLEAVAGE SIGNAL-1 PROTEIN [50:AA045603, 3 0:AA045604]’	30	Down-Regulated
‘ETS2 V-ets avian erythroblastosis virus E26 oncogene homolog 2 Chr.21 [132420, (DEW), 5 0:R25353, 3 0:R26543]’	30	Down-Regulated
‘SID W 509631, FK506-binding protein 1 (12 kDa) [50:AA056726, 3 0:AA056621]’	54	Up-Regulated
‘SID W 470947, Human scaffold protein Pbp1 mRNA, complete cds [50:AA032174, 3 0:AA032175]’	54	Up-Regulated
‘SID W 254428, Integrin, alpha 6 [50:N75624, 3 0:N22383]’	32	Up-Regulated
‘GLRX Glutaredoxin (thioltransferase) Chr.5 [471187, (IW), 5 0:AA033593, 3 0:AA033594]’	[30,54]	Up-Regulated
‘SID W 509612, CLEAVAGE SIGNAL-1 PROTEIN [50:AA045603, 3 0:AA045604]’	30	Up-Regulated
‘SID W 159512, Integrin, alpha 6 [50:H16046, 3 0:H15934] ’	32	Down-Regulated
‘EDN1 Endothelin 1 (alternative products) Chr.6 [47359, (DR), 5 0:, 30:H11003]’	26	Down-Regulated
‘SID W 345492, Midkine (neurite growth-promoting factor 2) [50:W76149, 3 0:W72586]’	32	Down-Regulated
‘SID 276915, ESTs [50:N48564, 3 0:N39452]’	51	Down-Regulated
‘SID 489384, Human insulin-like growth factor binding protein 5 (IGFBP5) mRNA [50:, 30:AA054451]’	32	Down-Regulated
‘SID 512307, Guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1 [50:, 30:AA057701] ’	30	Up-Regulated
‘PAI1 Plasminogen activator inhibitor, type I Chr.7 [487394, (DIW), 5 0:AA046572, 3 0:AA046659]’	26	Up-Regulated
‘HSD3B1 Hydroxy-delta-5-steroid dehydrogenase, 3 beta-and steroid delta-isomerase 1 Chr.1 [471125, (EW), 50:AA034358, 30:AA03387...’ <Preview truncated at 128 characters>	26	Down-Regulated
‘Human D53 (hD53) mRNA, partial cds Chr.6 [510461, (IW), 5 0:AA055718, 3 0:AA055661]’	32	Down-Regulated
‘ANTILEUKOPROTEINASE 1 PRECURSOR Chr.20 [366950, (IW), 5 0:AA026192, 3 0:AA026264]’	[26,30]	Down-Regulated
‘SID 469842, Homo sapiens mRNA for fatty acid binding protein, complete cds [50:AA029794, 3 0:AA029795]’	54	Down-Regulated
‘H.sapiens HE4 mRNA for extracellular proteinase inhibitor homologue Chr.20 [366323, (IW), 5 0:AA025902, 3 0:AA025750]’	26	Down-Regulated
‘ANTILEUKOPROTEINASE 1 PRECURSOR Chr.20 [366950, (IW), 5 0:AA026192, 3 0:AA026264]’	26	Up-Regulated
‘SID 263360, ESTs [50:, 30:N20008]’	31	Up-Regulated
