Ratio (C3/C5)	Gene ID	Accession Number	Expression
12.46	Beta 2-microglobulin.	S82300	up
9.73	coxsackievirus and adenovirus receptor (CAR) protein.	Y07593	up
8.5	SSR2 mRNA for beta-signal sequence receptor.	D37991	up
6.29	Androgen receptor associated protein 24 (ARA24).	AF052578	up
5.84	Beta 2- mu, beta 2-microglobulin.	S54761	up
5.25	mRNA for neuropeptide Y-like receptor.	X71635	up
4.23	mRNA for GABA-A receptor, gamma 2 subunit.	X15376	up
4.06	67 kda laminin receptor.	S37431	up
0.3	mRNA for receptor of retinoic acid.	X06614	down
0.3	mRNA for key subunit of N-methyl-D-aspartate receptor.	D13515	down
0.3	Endothelial cell protein C/APC receptor (EPCR).	L35545	down
0.28	Receptor protein-tyrosine kinase (HEK8).	L36645	down
0.28	Cation-dependent mannose 6-phosphate-specific receptor.	M16985	down
0.28	GM-CSF receptor (GM-CSF receptor).	M73832	down
0.27	Protein tyrosine phosphatase receptor pi (PTPRP).	U81561	down
0.26	N-methyl-D-aspartate receptor 2A subunit precursor.	U90277	down
0.26	Serotonin 1D receptor (5-HT1D~).	M81590	down
0.25	mRNA for steroid receptor coactivator 1e.	AJ000882	down
0.25	Insulin receptor substrate-1.	S62539	down
0.25	mRNA for LDL-receptor related protein.	X13916	down
0.24	Transforming growth factor-beta type III receptor (TGF-beta).	L07594	down
0.24	Glucocorticoid receptor repression factor 1 (GRF-1).	M73077	down
0.24	Leukocyte-associated Ig-like receptor-1 (LAIR-1).	AF013249	down
0.24	Putative EPH-related PTK receptor ligand LERK-8 (Eplg8).	U66406	down
0.23	TRAIL receptor 2.	AF016266	down
0.23	Steroid receptor coactivator-1.	U90661	down
0.22	mRNA for apolipoprotein E receptor 2.	D50678	down
0.22	Leptin receptor splice variant form 12.1.	U66496	down
0.21	vasopressin activated calcium mobilizing receptor-like.	X81882	down
0.21	Insulin receptor.	M10051	down
0.21	docking protein (signal recognition particle receptor).	X06272	down
0.21	mRNA for fibronectin receptor alpha subunit.	X06256	down
0.21	GRB2 (EGFRBP-GRB2) mRNA sequence.	M96995	down
0.21	mRNA for urokinase plasminogen activator receptor.	X74039	down
0.2	Glycine receptor beta subunit (GLRB).	U33267	down
0.19	mRNA for endothelin receptor (ETR).	D90402	down
0.19	mRNA for A1 adenosine receptor.	X68485	down
0.19	mRNA for EHK-1 receptor tyrosine kinase.	X95425	down
0.18	alpha-2-macroglobulin receptor-associated protein.	M63959	down
0.18	Glutamate receptor type 1 (HBGR1).	M81886	down
0.18	Sigma receptor.	U75283	down
0.18	mRNA for type 1 inositol 1,4,5-trisphosphate receptor.	D26070	down
0.18	GABA-benzodiazepine receptor alpha-5-subunit (GABRA5).	L08485	down
0.18	Glutamate receptor flop isoform (GluR3-flop).	U10302	down
0.18	mRNA for insuline-like growth factor II receptor.	Y00285	down
0.17	N-methyl-D-aspartate receptor subunit 2A (hNR2A).	U09002	down
0.17	mRNA for type 3 inositol 1,4,5-trisphosphate receptor.	D26351	down
0.17	Beta-adrenergic receptor kinase 1.	M80776	down
0.17	Receptor tyrosine kinase (DTK).	U18934	down
0.16	mRNA for brain ryanodine receptor.	AB001025	down
0.15	Nicotinic acetylcholine receptor aloha3 subunit precursor.	U62432	down
0.15	mRNA for steroid hormone receptor hERR1.	X51416	down
0.15	mRNA for leukotriene b4 receptor.	D89078	down
0.15	IgG Fc receptor hFcRn.	U12255	down
0.14	Putative endothelin receptor type B-like protein.	U87460	down
0.14	Peroxisome proliferator activated receptor.	L07592	down
0.13	mRNA for a presumptive KDEL receptor.	X55885	down
0.13	GM-CSF receptor.	M64445	down
0.11	Hap mRNA encoding a DNA-binding hormone receptor.	Y00291	down
0.09	mRNA for leukemia inhibitory factor (LIF) receptor.	X61615	down
0.09	mRNA for metabotropic glutamate receptor subtype 5a.	D28538	down
