Symbol	Description	Fold change	Ref Seq
Stom	stomatin	2.48	NM_013515;NP_038543
BC004728	cDNA sequence BC004728	2.47	XM_001004565;NP_778157
Car9	carbonic anhydrase 9	2.46	NM_139305;NP_647466
Arf2	ADP-ribosylation factor 2	2.45	NM_007477;NP_031503
Tmem45b	transmembrane protein 45b	2.4	NM_144936;NP_659185
Herpud1	homocysteine-inducible	2.39	NM_022331;NP_071726
Ugt1a6a	UDP glucuronosyltransferase 1 family	2.38	NM_145079;NP_659545
Ugt1a6b	UDP glucuronosyltransferase 1 family	2.37	NM_201410;NP_958812
Lcn2	lipocalin 2	2.34	NM_008491;NP_032517
BC065085	cDNA sequence BC065085	2.33	NM_177628;NP_808296
Trp53inp1	transformation related protein 53 inducible nuclear protein 1	2.32	NM_021897;NP_068697
Serpinb1a	serine (or cysteine) peptidase inhibitor, clade B, member 1a	2.3	NM_025429;NP_079705
Jam2	junction adhesion molecule 2	2.27	NM_023844;NP_076333
Ctse	cathepsin E	2.26	NM_007799;NP_031825
Mal	myelin and lymphocyte protein, T-cell differentiation protein	2.25	NM_010762;NP_034892
Ndrg4	N-myc downstream regulated gene 4	2.24	NM_145602;NP_663577
Try4	trypsin 4	2.24	NM_011646;NP_035776
AA467197	expressed sequence AA467197	2.23	NM_001004174;NP_001004174
Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	2.23	NM_011400;NP_035530
Gdf15	growth differentiation factor 15	2.22	NM_011819;NP_035949
Npy	neuropeptide Y	2.22	NM_023456;NP_075945
Gtpbp2	GTP binding protein 2	2.21	NM_019581;NP_062527
Vegfa	vascular endothelial growth factor A	2.19	NM_001025250;NP_033531
Smox	spermine oxidase	2.15	NM_145533;NP_663508
Chac1	ChaC, cation transport regulator-like 1 (E. coli)	2.15	NM_026929;NP_081205
Krt23	keratin 23	2.14	XM_994630;NP_203537
Upp1	uridine phosphorylase 1	2.13	NM_009477;NP_033503
Rab25	RAB25, member RAS oncogene family	2.11	NM_016899;NP_058595
Cd55	CD55 antigen	2.09	NM_010016;NP_034146
Stc1	stanniocalcin 1	2.08	NM_009285;NP_033311
Hist1h2bc	histone cluster 1, H2bc	2.08	NM_023422;NP_075911
Ndg2	Nur77 downstream gene 2	2.08	NM_175329;NP_780538
Slc1a4	solute carrier family 1	2.07	NM_018861;NP_061349
Mospd1	motile sperm domain containing 1	2.07	NM_027409;NP_081685
Gstp1	glutathione S-transferase, pi 1	2.07	NM_013541;NP_038569
Mal	myelin and lymphocyte protein, T-cell differentiation protein	2.04	NM_010762;NP_034892
Rnf11	ring finger protein 11	2.04	NM_013876;NP_038904
Rhob	ras homolog gene family, member B	2.03	NM_007483;NP_031509
Wars	tryptophanyl-tRNA synthetase	2.03	XM_985874;NP_035840
Cln8	ceroid-lipofuscinosis, neuronal 8	2.03	NM_012000;NP_036130
Akr1b7	aldo-keto reductase family 1, member B7	2.02	NM_009731;NP_033861
Aldh1l2	aldehyde dehydrogenase 1 family, member L2	2.02	NM_153543;NP_705771
Wars	tryptophanyl-tRNA synthetase	2.01	XM_985874;NP_035840
Cbr3	carbonyl reductase 3	2.01	NM_173047;NP_766635
Iah1	isoamyl acetate-hydrolyzing esterase 1 homolog	2	NM_026347;NP_080623
Ostf1	osteoclast stimulating factor 1	2	NM_017375;NP_059071
