GB acc#	Unigene ID	Ration diabetic vs. control	Name
AA290390	Mm.10737	0.743437	cell death-inducing DNA fragmentation factor, alpha subunit-like effector B
W41358	Mm.449	0.469885	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A
AA047966	Mm.3126	0.617073	four and a half LIM domains 1
AA175692	Mm.28719	1.502435	RIKEN cDNA 2700038M07 gene
AA473904	Mm.29884	0.726922	signal transducer and activator of transcription 5A
W15888	Mm.16898	1.36288	3-phosphoglycerate dehydrogenase
W61383	Mm.16898	1.464205	3-phosphoglycerate dehydrogenase
AA110896	Mm.29902	1.876365	phosphoserine aminotransferase
AA274533	Mm.29902	1.872991	phosphoserine aminotransferase
AA108928	Mm.321	2.237594	secreted phosphoprotein 1
W36940	Mm.4592	0.609776	cytokine inducible SH2-containing protein
AA261582	Mm.5087	0.518365	fibroblast growth factor 1
AA003078	Mm.5045	0.703787	solute carrier family 16 (monocarboxylic acid transporters), member 2
AA030193	Mm.31239	0.573774	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7
AA276085	Mm.31239	0.628306	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7
W16221	Mm.2509	0.71054	procollagen, type VI, alpha 1
W62360	Mm.35774	0.756565	dual specificity phosphatase 19
W83904	Mm.4587	0.669605	peptidylprolyl isomerase C
AA067045	Mm.9638	0.746686	WD repeat domain 10
AA208883	Mm.4053	0.744888	talin
W17813	Mm.4053	0.748819	talin
AA471960	Mm.2735	0.692736	cubilin (intrinsic factor-cobalamin receptor)
W12478	Mm.1528	0.661772	glypican 4
W63981	Mm.41573	0.716756	fibromodulin
AA145784	Mm.4871	0.602295	tissue inhibitor of metalloproteinase 3
AA198560	Mm.29254	0.535071	insulin-like growth factor binding protein 3
AA061055	Mm.1992	0.573976	alpha-2-macroglobulin
AA276440	Mm.22699	0.365712	selenoprotein P, plasma, 1
AA189999	Mm.1585	0.74686	transmembrane 7 superfamily member 1
AA008001	Mm.22753	1.328863	cathepsin B
AA289542	Mm.22753	1.30132	cathepsin B
AA064011	Mm.10660	0.668105	aquaporin 1
W89964	Mm.5238	1.834593	guanine nucleotide binding protein, alpha 13
W82406		0.698005	laminin, gamma 1
W83988	Mm.1327	0.715668	decay accelerating factor 1
W11889	Mm.2681	1.364812	hemochromatosis
AA458178	Mm.498	0.187391	CD36 antigen
AA511931		1.344692	cholecystokinin A receptor
AA212435	Mm.12838	0.600177	cytochrome P450, 2j5
AA238492	Mm.12838	0.567653	cytochrome P450, 2j5
AA473629	Mm.12838	0.528495	cytochrome P450, 2j5
W12874	Mm.6444	0.458499	cytochrome P450, 2b20
AA014194	Mm.24765	1.312456	transforming growth factor, beta receptor I
AA286506	Mm.1009	1.29334	interleukin 4 receptor, alpha
AA016940	Mm.4411	0.541212	glucosaminyl (N-acetyl) transferase 1, core 2
AA213167	Mm.635	3.213555	heme oxygenase (decycling) 1
AA238875	Mm.4210	0.649322	aldehyde dehydrogenase family 3, subfamily A2
AA237178	Mm.1668	0.538083	flavin containing monooxygenase 5
AA222216	Mm.7420	1.399505	tubulin, beta 4
AA259342	Mm.35820	0.711383	coproporphyrinogen oxidase
AA274685	Mm.7513	0.238442	hydroxysteroid dehydrogenase-4, delta<5>-3-beta
AA276254	Mm.7513	0.214932	hydroxysteroid dehydrogenase-4, delta<5>-3-beta
AA175547	Mm.28708	1.509263	stress induced protein
AA271223	Mm.34537	1.353603	CCAAT/enhancer binding protein (C/EBP), alpha
AA014643	Mm.3948	1.64735	signal transducer and activator of transcription 3
AA178118	Mm.28444	0.748656	RIKEN cDNA 2810418J22 gene
AA153004	Mm.99942	0.771115	G protein-coupled receptor kinase-interactor 2
AA271551	Mm.18789	1.77853	SRY-box containing gene 4
