Curated Gene Symbol	Order	Parametric p-value	t-value	% CV support	Geom mean of intensities in class 1	Geom mean of intensities in class 2	Geom mean of intensities in class 3	Geom mean of intensities in class 4	Unique id	Description	GB acc	Gene symbol
POLH	1	< 1e-07	44.063	100	119.74	170.34	276.88	458.28	A_32_P69492	Homo sapiens cDNA: FLJ21978 fis, clone HEP06046, highly similar to AF158185 Homo sapiens xeroderma pigmentosum variant RAD30 (RAD30) mRNA. [AK025631]	AK025631	POLH
MAMDC4	2	< 1e-07	46.88	100	181.74	224.71	334.74	533.43	A_23_P71790	Homo sapiens MAM domain containing 4 (MAMDC4), mRNA [NM_206920]	NM_206920	MAMDC4
AEN	3	< 1e-07	159.596	100	102.57	271.53	544.18	865.78	A_23_P206077	Homo sapiens interferon stimulated exonuclease gene 20kDa-like 1 (ISG20L1), mRNA [NM_022767]	NM_022767	ISG20L1
PCNA	4	< 1e-07	109.733	100	771	1057.71	2026.61	3835.73	A_23_P28886	Homo sapiens proliferating cell nuclear antigen (PCNA), transcript variant 1, mRNA [NM_002592]	NM_002592	PCNA
	5	< 1e-07	104.143	100	235.55	344.38	613.26	998.64	A_32_P96692	Q9BX12_HUMAN (Q9BX12) GTP binding protein 2 (Fragment), partial (26%) [THC2532504]	THC2532504	THC2532504
TRIAP1	6	< 1e-07	47.333	100	345.58	492.79	843.95	1279.55	A_23_P128408	Homo sapiens TP53 regulated inhibitor of apoptosis 1 (TRIAP1), mRNA [NM_016399]	NM_016399	TRIAP1
PHPT1	7	< 1e-07	88.114	100	1696.24	2522.8	4790.75	7525.25	A_23_P83192	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	NM_014172	PHPT1
TNFRSF10B	8	< 1e-07	62.997	100	3916.03	5064.45	7570.39	9966.85	A_24_P218265	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	NM_003842	TNFRSF10B
	9	< 1e-07	42.116	100	111.06	207.02	501.7	993.74	A_32_P347617	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H (APOBEC3H), mRNA [NM_181773]	NM_181773	RP4-742C19.3
ASCC3	10	< 1e-07	33.194	100	186.66	263.23	446.3	619.29	A_23_P382654	Homo sapiens activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 2, mRNA [NM_022091]	NM_022091	ASCC3
	11	< 1e-07	39.788	100	238.41	433.46	936.16	1488.95	A_24_P916853	Unknown	A_24_P916853	A_24_P916853
CDKN1A	12	< 1e-07	52.892	100	57.36	87.55	192.97	288.52	A_24_P89457	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 2, mRNA [NM_078467]	NM_078467	CDKN1A
