Gene Bank ID	HUGO_Symbol	Cytoband	Cell Line	2log Ratio	SAM q-value
NM_005688	ABCC5	3q27	PC346Flu1	20.7	0.282
AK026288	ATHL1	11p15.5	PC346Flu1	21	0.008
NM_012342	BAMBI	10p12.3-p11.2	PC346Flu1	21	0
NM_001197	BIK	22q13.31	PC346Flu1	20.8	0.112
AF075110	C14orf4	14q24.3	PC346Flu1	21.3	0
NM_017766	CASZ1	1p36.22	PC346Flu1	21	0.112
NM_001305	CLDN4	7q11.23	PC346Flu1	20.6	0.282
AK024378	FAM131A	3q27.1	PC346Flu1	20.7	0.052
NM_004480	FUT8	14q24.3	PC346Flu1	21	0.316
NM_002165	ID1	20q11	PC346Flu1 / PC346Flu2	20.8 / 21.1	0.018 / 1.087
X69111	ID3	1p36.13-p36.12	PC346Flu1	21.3	0
NM_006769	LMO4	1p22.3	PC346Flu1	20.8	0
NM_017572	MKNK2	19p13.3	PC346Flu1	20.7	0.088
NM_005377	MYCL2	Xq22-q23	PC346C	21	0.116
NM_006312	NCOR2	12q24	PC346Flu1	20.6	0.052
U90907	PIK3R3	1p34.1	PC346Flu1	21	0.008
AF113132	PSAT1	9q21.2	PC346Flu1	20.8	0
NM_004577	PSPH	7p15.2-p15.1	PC346Flu1	20.9	0.041
NM_015923	SLC3A2	11q13	PC346Flu1	20.6	0.263
NM_003943	STBD1	4q24-q25	PC346Flu1	20.8	0.022
NM_003714	STC2	5q35.1	PC346Flu1	20.6	0.088
AK000401	TANC1	2q24.2	PC346Flu2	20.7	1.087
AL133074	TP53INP1	8q22	PC346Flu1	21.3	0
NM_003287	TPD52L1	6q22-q23	PC346Flu1	20.7	0.402
AF205437	TRIB1	8q24.13	PC346Flu1	21.6	0
U55055			PC346Flu2	21	1.087
NM_018588			PC346C / PC346Flu1	20.6 / 20.6	0.194 / 0.422
AK022971			PC346Flu1	20.7	0.45
AK022971			PC346Flu2	20.7	1.087
