Genes up-regulated by TNF-á in a p38 MAP kinase-dependent manner	Accession number	Fold-change after exposure to TNF-á in wildtype HUVEC	Fold-change after exposure to TNF-á in the presence of SB202190 in wildtype HUVEC	Inhibition (%)	p-value	Function
IL-8	AF043337.1	17.3	8.1	53.1	< 0.05	Chemokines/cytokines
Bone morphogenetic protein 2 (BMP2)	AA583044	4.8	2.4	50.9	< 0.001	Chemokines/cytokines
Inhibin, beta A (activin beta-A chain)	M13436:1	3.1	1.7	44.7	< 0.05	Chemokines/cytokines
VCAM-1	NM_001078.1	38.1	18	52.7	< 0.001	Cell surface receptors
Cyclooxygenase 2 (Cox2, Prostaglandin-endoperoxidase synthase 2)	NM_000963.1	2.9	-1.6	100	< 0.00001	Inflammation/immune response
Nuclear receptor interacting protein-1 (NRIP-1)	AI824012	2.9	1.6	44	< 0.05	Signaling/transcription
TRAIL (Tumor necrosis factor (ligand) superfamily, member 10)	NM_003810.1	4	2.26	46.4	< 0.05	Apoptosis/cell proliferation
guanylate binding protein 1, interferon-inducible, 67 kD	NM_002053.1	3.6	1.8	49.3	< 0.05	Metabolism
ATP-binding cassette, sub-family G (white), member 1	NM_004915.2	4	2.2	45	< 0.05	Transporters/channels
Solute carrier family 12, member 2	NM_001046.1	2.6	1.4	45.6	< 0.05	Transporters/channels
Chromosome 8 open reading frame 4 (thyroid cancer-1)	NM_020130.1	3	-1.2	100	< 0.05	Others
