Description	GenBank accession no.	FC Ad1	FC Ad2	FC Ad3	Function
Thy-1	X03151	4	1.3	5	Immune function
Ob/Ob haptoglobin	M96827	10.2	2.2	1.2	Immune function
MRP8	M83218	107	3.7	1.3	Immune function
Clon B6 myeloid second. granule prot	L37297	105.1	2.2	1.7	Immune function
Interferon inducible protein 1-8U	W12941	-2.25	-2.7	-3.3	Immune function
VCAM-1	X67783	32.6	3.7	4.1	Immune function
Il-6 receptor	X51975	-3.7	-2.6	-4.3	Immune function
Ig-? chain (HyHEL-10)	M35667	3.2	7.5	1.9	Immune function
G protein-? 3 subunit	AA049022	-2.5	-1.5	-7.9	Immune function
GM-CSF	X03019	-4.1	-4.9	-5	Immune function
Myelopeptide-2	M23236	9.2	10.6	9.5	Immune function
IFN-?	AA015168	-7.5	-10.2	-13	Immune function
Antigen pB7	M55561	5.5	-5.2	-5.6	Immune function
?-Enolase	W33721	-1.5	-2.2	-1.3	Cell proliferation
CAD protein	AA466758	2.1	3	5.3	Cell proliferation
dUTPase	AA110424	1.1	1.4	5.2	Cell proliferation
Galectin-3	W10936	14.3	8.2	6.3	Cell proliferation
PKC-?	M25811	2	1.8	6.6	Signal transduction
FKBP65 binding protein	L07063	6.3	8.3	12.2	Signal transduction
mR-PTP?	X58287	2.7	2.8	4	Signal transduction
GTP-binding protein Gb4	M63658	2.4	3.7	6.8	Signal transduction
p36	D10024	-4	-4.4	-11	Signal transduction
AEBP1	X80478	-12.6	-3.3	-36.9	Signal transduction
AP-2	NM_011547	8.4	12.5	4.4	Signal transduction
A-RAF	AA060840	-11.5	-11.7	-12.2	Signal transduction
Vitronectin	m77123	21.7	10.5	6.1	Signal transduction
STEP61	U28217	-5.4	-9.9	-18.2	Signal transduction
CycD3	AA266783	4.4	6.1	3.5	Cell cycle
CycB2	X66032	5.6	8	6.1	Cell cycle
CycB	X58708	4.5	6.3	4.4	Cell cycle
cdc2	U58633	4	11.2	3.6	Cell cycle
GADD-45	l28177	-2.6	-5.9	-3.9	Cell cycle
SSAV provirus polygene	C76668	2.1	1.6	5.1	Antigens
(Emv-3) gag gene	U63133	-1.1	-1.4	-2	Antigens
Heme oxygenase	M33203	30.5	3.2	2	Mitochondrial proteins
Fosfadilserine decarb. Proenzime	AA162205	23.9	40.8	36	Mitochondrial proteins
Creatine kinase	W50891	8	6.8	9.3	Mitochondrial proteins
HMGA1	AA290110	2.3	1.2	5.6	HMG proteins
HMG2	Z46757	10.7	4.4	23.1	HMG proteins
Argininosuccinate synthetase	M31690	-5.6	-4.5	-6	Enzymes
PAF-acetylhydrolase	U34277	-5.9	-6.7	-8.6	Enzymes
Transglutaminase Tgase	M55154	-1.1	-5.8	-5.3	Enzymes
Aldehyde dehydrogenase ALDH2	U07235	-1.3	-3.2	-5.3	Enzymes
Rib-1	X60103	-16	-16.9	-18.5	Enzymes
Dipeptidase	D13139	-4	-3.8	-3.9	Enzymes
Aldolase 3, isoform C	W53351	-11.5	-5.5	-9.4	Enzymes
Cytochrome P-450 Naphthalene Hydrox.	M77497	-13	-21	-12.2	Enzymes
11? HSDH	X83202	-5.5	-7.2	-7.9	Enzymes
Ubiquitin-conjugating enzyme E2	W99019	5.6	8.6	3.1	Enzymes
Retinaldehyde-specific dehydrogenase	X99273	-7.2	-6.7	-6.2	Enzymes
Membrane-type matrix metalloproteinase 1	U54984	-1.8	-3.1	-6	Enzymes
CAMK2 ? subunit	X63615	-22.6	-22.7	-31.1	Enzymes
Acetylcholinesterase	X56518	18.1	4.3	9.6	Enzymes
DNA topoisomerase II	d12513	6	9.1	5.1	Enzymes
Ribonucleotide reductase M2 subunit	m14223	4.4	7.9	5	Enzymes
ID4	X75018	1.4	1.6	1.9	Transcriptional factors
ID1	M31885	-4.5	-6.6	-7.5	Transcriptional factors
Zif 268	M22326	-8.3	-1.4	-14.1	Transcriptional factors
SOX-2	U31967	-8.8	-7	-10.6	Transcriptional factors
?-like 1 protein	X80903	4.3	6.7	6	Transcriptional factors
MLZ4 zinc protein	AA015118	6.4	4.6	9.1	Transcriptional factors
SOX-11	AF009414	7.4	9.3	11.2	Transcriptional factors
FSH-?	U12932	-9.6	-5.3	-7.9	Hormones
LH-?	U25145	-14	-2	-1.2	Hormones
GH	Z46663	15.3	18.7	22.1	Hormones
Pituitary glycoprotein hormone	M22992	-1.7	-1.1	-10.6	Hormones
Thyroid-stimulating hormone	M54943	-7.1	-7.7	-7.3	Hormones
PTTG	AA711028	-1.2	-5.6	-2.4	Oncogenes and oncoproteins
GARG-16	U43084	-3.6	-5.6	-10.4	Oncogenes and oncoproteins
Bcl3	W62846	9.1	8.3	6.1	Oncogenes and oncoproteins
IFC oncogene	U28495	11.2	11	10.3	Oncogenes and oncoproteins
Choline Chinase	AK078101	1.3	1.9	4.4	Lipidic metabolism
APOBEC-1	W29206	4.2	1.6	4.6	Lipidic metabolism
ALBP (adipocyte lipid-binding protein)	K02109	10.8	6.1	9.6	Lipidic metabolism
IgE receptor	W41745	9.2	1.2	-1.1	Allergic disease and inflammation
Extensin precursor	AA031158	34	12.2	3.8	Allergic disease and inflammation
Mouse complement component C3	k02782	9.6	5.8	4.6	Allergic disease and inflammation
Laminin ?-3	U43298	-3.8	-9.2	-14.3	Extracellular matrix and cellular-structure
Decorin	X53929	-4.6	-4.6	-5.4	Extracellular matrix and cellular-structure
Tubulin ?2	AA030364	7.1	9.3	11.3	Extracellular matrix and cellular-structure
