GenBank accession no.	Gene names	Cy3:Cy5 ratio B 31wk	Cy3:Cy5 ratio E 32wk	Validation by RT-PCR
NM_011575	Trefoil factor 3, intestinal (Tff3)	3.24	13.58	A
NM_008341	Insulin-like growth factor binding protein 1 (Igfbp1)	8.96	7.99	A
NM_009205	Solute carrier family 3, member 1 (Slc3a1)	2.67	5.79	A
NM_011016	Orosomucoid 2 (Orm2)	8.30	5.18	A
NM_007657	CD9 antigen (Cd9)	3.50	4.09	A
NM_009984	Cathepsin L (Ctsl)	2.53	3.50	A
BC011246	Hemopexin (Hpxn)	4.21	3.01	A
NM_008489	Lipopolysaccharide binding protein (Lbp)	2.89	2.59	A
NM_013888	J domain protein 1 (Jdp1-pending)	4.30	2.16	A
NM_010664	Keratin complex 1, acidic, gene 18 (Krt1-18)	6.56	2.07	A
NM_008877	Plasminogen (Plg)	2.11	2.11	A
NM_008768	Orosomucoid 1 (Orm1)	6.17	3.11	D
NM_031170	Keratin complex 2, basic, gene 8 (Krt2-8)	4.85	2.56	D
NM_133977	Transferrin (Trf)	2.97	2.54	D
AB055781	GlcAT-P mRNA for UDP-glucuronyltransferase-P	2.17	2.47	D
NM_007752	Ceruloplasmin (Cp),	2.92	2.43	D
NM_008498	LIM homeobox protein 1 (Lhx1)	2.24	2.18	D
NM_007449	Angiogenin related protein (Angrp)	2.93	2.15	D
BC026388	Similar to CL1BA protein, clone IMAGE:4188730	14.04	2.10	D
NM_008342	Insulin-like growth factor binding protein 2 (Igfbp2)	2.04	2.08	D
NM_009864	Cadherin 1 (Cdh1)	2.41	7.18	N
NM_007906	Eukaryotic translation elongation factor 1 ·2 (Eef1a2)	2.99	3.36	N
NM_013623	Orosomucoid 3 (Orm3)	5.92	3.15	N
X68881	Emx1	2.26	2.83	N
NM_146818.1	Olfactory receptor MOR233-12 (MOR233-12)	2.19	2.45	N
M29546	MOD-1 null malic enzyme mRNA	0.34	0.50	A
BC006692	Clone MGC:7898 IMAGE:3582717	0.23	0.45	A
BC006887	Hypothetical Glycerophosphoryl diester phosphodiesterase/Glycosyl hydrolase, starch-binding domain containing protein	0.34	0.45	A
NM_013467	Aldehyde dehydrogenase family 1, subfamily A1 (Aldh1a1)	0.45	0.33	A
NM_009381	Thyroid hormone responsive SPOT14 homolog (Rattus) (Thrsp)	0.33	0.25	A
NM_031197	Solute carrier family 2 (facilitated glucose transporter), member 2 (Slc2a2)	0.23	0.24	A
NM_012006	Cytosolic acyl-CoA thioesterase 1 (Cte1)	0.12	0.22	A
NM_009349	Thioether S-methyltransferase (Temt)	0.15	0.21	A
NM_007606	Carbonic anhydrase 3 (Car3)	0.22	0.19	A
NM_007437	Aldehyde dehydrogenase family 3, subfamily A2 (Aldh3a2)	0.15	0.48	D
NM_146718.1	Olfactory receptor MOR105-5P (MOR105-5P)	0.41	0.47	D
NM_007757	Coproporphyrinogen oxidase (Cpo)	0.42	0.44	D
NM_007377	Apoptosis-associated tyrosine kinase (Aatk)	0.39	0.38	D
M61737	Adipocyte-specific mRNA	0.36	0.36	D
AK038845	Hypothetical protein	0.31	0.35	D
AK002528	Cytochrome P450, 4a10	0.42	0.32	D
NM_007822	Cytochrome P450, 4a14 (Cyp4a14)	0.27	0.23	D
BU526246	cDNA, 5 end	0.48	0.43	N
NM_008059	G0/G1 switch gene 2 (G0s2)	0.46	0.43	N
NM_010596	Potassium voltage-gated channel, shaker-related subfamily, member 7 (Kcna7)	0.37	0.37	N
