Refseq	Symbol	Description	
NM_000314 	PTEN 	Phosphatase and tensin homolog (mutated in multiple advanced cancers 	 
NM_014748 	SNX17 	Sorting nexin 17 	 
NM_017974 	ATG16L1 	ATG16 autophagy related 16-like 1 (Saccharomyces cerevisiae) 	 
NM_018043 	TMEM16A 	Transmembrane protein 16A 	 
NM_018084 	CCDC88A 	Coiled-coil domain containing 88A 	 
NM_018263 	ASXL2 	Additional sex combs like 2 (Drosophila) 	 
NM_018900 	PCDHA1 	Protocadherin alpha 1 	 
NM_018901 	PCDHA10 	Protocadherin alpha 10 	 
NM_018905 	PCDHA2 	Protocadherin alpha 2 	 
NM_018906 	PCDHA3 	Protocadherin alpha 3 	 
NM_018907 	PCDHA4 	Protocadherin alpha 4 	 
NM_018908 	PCDHA5 	Protocadherin alpha 5 	 
NM_018909 	PCDHA6 	Protocadherin alpha 6 	 
NM_018999 	KIAA1128 	KIAA1128 	 
NM_019613 	WDR45L 	WDR45-like 	 
NM_020168 	PAK6 	p21 protein (Cdc42/Rac)-activated kinase 6 	 
NM_020182 	PMEPA1 	"Prostate transmembrane protein, androgen induced 1 "	 
NM_017880 	C2orf42 	Chromosome 2 open reading frame 42 	 
NM_017789 	SEMA4C 	"Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C "	 
NM_017786 	GOLSYN 	Golgi-localized protein 	 
NM_014810 	CEP350 	Centrosomal protein 350 kDa 	 
NM_014924 	KIAA0831 	KIAA0831 	 
NM_014991 	WDFY3 	WD repeat and FYVE domain containing 3 	 
NM_015017 	USP33 	Ubiquitin specific peptidase 33 	 
NM_015049 	TRAK2 	"Trafficking protein, kinesin binding 2 "	 
NM_015170 	SULF1 	Sulfatase 1 	 
NM_015447 	CAMSAP1 	Calmodulin regulated spectrin-associated protein 1 	 
NM_015955 	MEMO1 	Mediator of cell motility 1 	 
NM_015995 	KLF13 	Kruppel-like factor 13 	 
NM_016258 	YTHDF2 	"YTH domain family, member 2 "	 
NM_016315 	GULP1 	"GULP, engulfment adaptor PTB domain containing 1 "	 
NM_016472 	C14orf129 	Chromosome 14 open reading frame 129 	 
