# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_000266.1|NM_000266	hgnc_symbol|NDP|NDP
refseq_dna|NM_181803.1|NM_181803	hgnc_symbol|UBE2C|UBE2C
refseq_dna|NM_003318.3|NM_003318	hgnc_symbol|TTK|TTK
refseq_dna|NM_006845.2|NM_006845	hgnc_symbol|KIF2C|KIF2C
refseq_dna|NM_020242.1|NM_020242	hgnc_symbol|KIF15|KIF15
refseq_dna|NM_005030.3|NM_005030	hgnc_symbol|PLK1|PLK1
refseq_dna|NM_002975.2|NM_002975	hgnc_symbol|CLEC11A|CLEC11A
refseq_dna|NM_004494.1|NM_004494	hgnc_symbol|HDGF|HDGF
refseq_dna|NM_006494.1|NM_006494	hgnc_symbol|ERF|ERF
refseq_dna|NM_001255.1|NM_001255	hgnc_symbol|CDC20|CDC20
refseq_dna|NM_016195.2|NM_016195	hgnc_symbol|KIF20B|KIF20B
refseq_dna|NM_016343.3|NM_016343	hgnc_symbol|CENPF|CENPF
refseq_dna|NM_014264.2|NM_014264	hgnc_symbol|PLK4|PLK4
refseq_dna|NM_001798.2|NM_001798	hgnc_symbol|CDK2|CDK2
refseq_dna|NM_182776.1|NM_182776	hgnc_symbol|MCM7|MCM7
refseq_dna|NM_012090.3|NM_012090	hgnc_symbol|MACF1|MACF1
refseq_dna|NM_002105.2|NM_002105	hgnc_symbol|H2AFX|H2AFX
refseq_dna|NM_002575.1|NM_002575	hgnc_symbol|SERPINB2|SERPINB2
refseq_dna|NM_005483.2|NM_005483	hgnc_symbol|CHAF1A|CHAF1A
refseq_dna|NM_002157.1|NM_002157	hgnc_symbol|HSPE1|HSPE1
refseq_dna|NM_002250.2|NM_002250	hgnc_symbol|KCNN4|KCNN4
refseq_dna|NM_182826.1|NM_182826	hgnc_symbol|SCARA3|SCARA3
refseq_dna|NM_138444.2|NM_138444	hgnc_symbol|KCTD12|KCTD12
refseq_dna|NM_001024211.1|NM_001024211
refseq_dna|NM_024060.2|NM_024060	hgnc_symbol|CRYZ|CRYZ
refseq_dna|NM_001889.2|NM_001889	hgnc_symbol|SCN2A|SCN2A
refseq_dna|NM_021007.1|NM_021007	hgnc_symbol|CACNA1A|CACNA1A
refseq_dna|NM_023035.1|NM_023035
refseq_dna|NM_006426.1|NM_006426	hgnc_symbol|DPYSL4|DPYSL4
