CpG ID	Gene Transcript	Transcript ID	Correlation1	P value
cg14167596	APOE	ILMN_1740938	0.76	< 0.001
cg11930592	ATP6AP1	ILMN_1697694	0.32	0.03
cg15755084			0.32	0.03
cg20891301a			-0.302	0.04
cg26615830			0.32	0.03
cg15696627			0.44	0.002
cg03717979			0.51	< 0.001
cg15755084	PRSS21	ILMN_2382964	-0.38	0.01
cg15696627			-0.37	0.01
cg20588069			-0.42	0.003
cg06677140			-0.29	0.04
cg09573795		ILMN_1774256	-0.34	0.02
cg03199651			-0.3	0.04
cg20588069			-0.36	0.01
cg22609784			-0.31	0.03
cg15696627	RCOR1	ILMN_1743421	-0.28	0.05
cg03717979		ILMN_1743421	-0.29	0.04
cg06677140		ILMN_1743421	-0.38	0.01
cg09106999	GRB10	ILMN_1667771	-0.323	0.03
cg00129774		ILMN_1669617	0.51	< 0.001
cg00129774		ILMN_2340919	0.46	0.001
cg04108502			0.37	0.01
cg09304040	PGRMC1	ILMN_1684771	-0.34	0.02
cg09106999	RGS14	ILMN_1696828	-0.31	0.03
cg24697031	EVPL	ILMN_1727288	-0.3	0.04
cg20651681	CDK2	ILMN_1653443	-0.29	0.04
cg15774495			-0.28	0.05
cg06790324			-0.36	0.01
cg06386517	GRB10	ILMN_1669617	0.34	0.02
cg20651681			0.39	0.01
cg06790324			0.29	0.04
cg03104936			0.29	0.05
cg03104936		ILMN_1652662	0.37	0.01
cg06386517		ILMN_2340919	0.33	0.02
cg20651681			0.34	0.02
cg24183958			0.38	0.01
cg06790324			0.39	0.01
cg20651681	PGRMC1	ILMN_1684771	-0.3	0.04
cg03104936			-0.29	0.05
cg20651681	RGS14	ILMN_1696828	-0.34	0.02
cg08211091	GRB10	ILMN_1669617	-0.31	0.03
