Gene Symbol	Gene Description	logFC	Adjusted P-value
CD36	CD36 molecule (thrombospondin receptor)	24.9	3.20E-03
FIGF	C-fos induced growth factor (vascular endothelial growth factor D)	24.8	1.00E-02
KLF4	Kruppel-like factor 4 (gut)	23.9	2.40E-02
MATN2	Matrilin 2	23.7	2.50E-02
LIFR	Leukemia inhibitory factor receptor alpha	23.5	1.20E-02
EMCN	Endomucin	23.3	2.70E-02
GPC3	Glypican 3	23.2	1.10E-02
FOSB	FBJ murine osteosarcoma viral oncogene homolog B	23.2	1.90E-02
IL33	Interleukin 33	23.1	4.90E-02
MEG3	Maternally expressed 3	23.1	7.40E-03
TGFBR3	Transforming growth factor, beta receptor III	23.1	6.10E-03
RHOJ	Ras homolog gene family, member J	23.1	2.60E-02
DLC1	Deleted in liver cancer 1	23	3.10E-02
TNXB	Tenascin XB	22.9	5.00E-03
ANK2	Ankyrin 2, neuronal	22.8	4.30E-02
NOVA1	neuro-oncological ventral antigen 1	22.6	1.60E-02
ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	22.6	3.80E-02
LEPR	Leptin receptor	22.6	6.00E-03
