# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|AY724483|690163	mgi_symbol|Oxct1|Oxct1
entrezgene|AW916730|366698	mgi_symbol|Adck1|Adck1
refseq_dna|NM_212524|NM_212524	mgi_symbol|Abhd5|Abhd5
refseq_dna|NM_139090|NM_139090	mgi_symbol|Acvr1c|Acvr1c
refseq_dna|XM_236582|XM_236582	mgi_symbol|Acad11|Acad11
refseq_dna|XM_341456|XM_341456	mgi_symbol|Adam18|Adam18
entrezgene|AJ131563|361170	mgi_symbol|Adam32|Adam32
refseq_dna|NM_012491|NM_012491	mgi_symbol|Add2|Add2
refseq_dna|NM_012894|NM_012894	mgi_symbol|Adarb1|Adarb1
refseq_dna|NM_031007|NM_031007	mgi_symbol|Adcy2|Adcy2
refseq_dna|NM_024349|NM_024349	mgi_symbol|Ak1|Ak1
refseq_dna|XM_236306|XM_236306	mgi_symbol|Adpgk|Adpgk
refseq_dna|NM_053979|NM_053979	mgi_symbol|Arl5a|Arl5a
refseq_dna|NM_001015031|NM_001015031	mgi_symbol|Arl5b|Arl5b
embl|AJ297708|AJ297708	mgi_symbol|Art2b|Art2b
refseq_dna|NM_016991|NM_016991	mgi_symbol|Adra1b|Adra1b
refseq_dna|NM_013108|NM_013108	mgi_symbol|Adrb3|Adrb3
refseq_dna|NM_012715|NM_012715	mgi_symbol|Adm|Adm
refseq_dna|NM_031057|NM_031057	mgi_symbol|Aldh6a1|Aldh6a1
refseq_dna|NM_001008342|NM_001008342	mgi_symbol|Akr1cl2|Akr1cl2
refseq_dna|NM_012495|NM_012495	mgi_symbol|Aldoa|Aldoa
refseq_dna|NM_013197|NM_013197	mgi_symbol|Alas2|Alas2
refseq_dna|NM_012502|NM_012502	mgi_symbol|Ar|Ar
entrezgene|CB544326|362765	mgi_symbol|Angel1|Angel1
entrezgene|AW920282|296269	mgi_symbol|Angpt4|Angpt4
refseq_dna|XM_215854|XM_215854	mgi_symbol|Ankrd5|Ankrd5
refseq_dna|NM_012904|NM_012904	mgi_symbol|Anxa1|Anxa1
refseq_dna|NM_031612|NM_031612	mgi_symbol|Apln|Apln
refseq_dna|XM_213336|XM_213336	mgi_symbol|Aloxe3|Aloxe3
refseq_dna|XM_343796|XM_343796	mgi_symbol|Arr3|Arr3
refseq_dna|NM_024362|NM_024362	mgi_symbol|Arntl|Arntl
entrezgene|CB545903|307404	mgi_symbol|Arsi|Arsi
refseq_dna|NM_024399|NM_024399	mgi_symbol|Aspa|Aspa
entrezgene|CB544926|313510	mgi_symbol|Atpaf1|Atpaf1
refseq_dna|NM_053756|NM_053756	mgi_symbol|Atp5g3|Atp5g3
refseq_dna|NM_017290|NM_017290	mgi_symbol|Atp2a2|Atp2a2
refseq_dna|XM_341209|XM_341209	mgi_symbol|Atp10d|Atp10d
refseq_dna|NM_012505|NM_012505	mgi_symbol|Atp1a2|Atp1a2
refseq_dna|NM_207598|NM_207598	mgi_symbol|Abca7|Abca7
refseq_dna|XM_221074|XM_221074	mgi_symbol|Abca8|Abca8
entrezgene|BF564460|303638	mgi_symbol|Abca8a|Abca8a
refseq_dna|NM_033352|NM_033352	mgi_symbol|Abcd2|Abcd2
refseq_dna|XM_236186|XM_236186	mgi_symbol|Abcg4|Abcg4
refseq_dna|NM_053420|NM_053420	mgi_symbol|Bnip3|Bnip3
refseq_dna|NM_001025130|NM_001025130	mgi_symbol|Bag4|Bag4
refseq_dna|NM_030849|NM_030849	mgi_symbol|Bmpr1a|Bmpr1a
entrezgene|BF567204|298267	mgi_symbol|Cachd1|Cachd1
refseq_dna|NM_024139|NM_024139	mgi_symbol|Chp|Chp
refseq_dna|XM_226204|XM_226204	mgi_symbol|Car7|Car7
refseq_dna|NM_133586|NM_133586	mgi_symbol|Ces2l|Ces2l
refseq_dna|NM_133295|NM_133295	mgi_symbol|Ces3|Ces3
refseq_dna|NM_001008770|NM_001008770	mgi_symbol|Cmbl|Cmbl
refseq_dna|NM_016998|NM_016998	mgi_symbol|Cpa1|Cpa1
refseq_dna|NM_031987|NM_031987	mgi_symbol|Crot|Crot
refseq_dna|NM_013200|NM_013200	mgi_symbol|Cpt1b|Cpt1b
refseq_dna|NM_001007687|NM_001007687	mgi_symbol|Cndp1|Cndp1
refseq_dna|NM_022597|NM_022597	mgi_symbol|Ctsb|Ctsb
entrezgene|X64403|25301	mgi_symbol|Cebpg|Cebpg
refseq_dna|NM_022523|NM_022523	mgi_symbol|Cd151|Cd151
refseq_dna|NM_031561|NM_031561	mgi_symbol|Cd36|Cd36
refseq_dna|NM_053383|NM_053383	mgi_symbol|Cd93|Cd93
refseq_dna|XM_341157|XM_341157	mgi_symbol|Cadm3|Cadm3
refseq_dna|XM_214551|XM_214551	mgi_symbol|Cidea|Cidea
refseq_dna|XM_214106|XM_214106	mgi_symbol|Cep68|Cep68
refseq_dna|XM_217737|XM_217737	mgi_symbol|Cep72|Cep72
entrezgene|BF287551|306128	mgi_symbol|Cln5|Cln5
refseq_dna|NM_012832|NM_012832	mgi_symbol|Chrna7|Chrna7
entrezgene|BF559843|306375	mgi_symbol|Csgalnact1|Csgalnact1
refseq_dna|NM_053835|NM_053835	mgi_symbol|Cltb|Cltb
refseq_dna|NM_183331|NM_183331	mgi_symbol|F8|F8
refseq_dna|NM_021698|NM_021698	mgi_symbol|F13a1|F13a1
refseq_dna|NM_019187|NM_019187	mgi_symbol|Coq3|Coq3
refseq_dna|XM_345674|XM_345674	mgi_symbol|Cfl2|Cfl2
refseq_dna|XM_573284|XM_573284	mgi_symbol|Ccdc80|Ccdc80
refseq_dna|XM_238346|XM_238346	mgi_symbol|Chchd3|Chchd3
refseq_dna|NM_053356|NM_053356	mgi_symbol|Col1a2|Col1a2
refseq_dna|NM_023981|NM_023981	mgi_symbol|Csf1|Csf1
refseq_dna|NM_012516|NM_012516	mgi_symbol|C4bpa|C4bpa
refseq_dna|NM_031504|NM_031504	mgi_symbol|C4b|C4b
refseq_dna|XM_343169|XM_343169	mgi_symbol|Cfd|Cfd
refseq_dna|XM_213433|XM_213433	mgi_symbol|Cox11|Cox11
refseq_dna|NM_012935|NM_012935	mgi_symbol|Cryab|Cryab
entrezgene|AI070955|364996	mgi_symbol|Chtf8|Chtf8
entrezgene|AW917696|619580	mgi_symbol|Ctps2|Ctps2
refseq_dna|NM_001012459|NM_001012459	mgi_symbol|Clec11a|Clec11a
