TargetID	ProbeID	ACCESSION	GID	SYMBOL	SYNONYM	DEFINITION
ILMN_9058	2900639	NM_014508.2	22907038	APOBEC3C	PBI; ARP5; ARDC2; ARDC4; APOBEC1L; MGC19485; bK150C2.3	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C (APOBEC3C), mRNA.
ILMN_11560	780600	NM_002774.3	61744422	KLK6	hK6; Bssp; Klk7; SP59; ZYME; PRSS9; PRSS18; MGC9355; NEUROSIN	Homo sapiens kallikrein 6 (neurosin, zyme) (KLK6), transcript variant A, mRNA.
ILMN_13613	4780452	NM_024505.2	20127623	NOX5	NOX5A; NOX5B	Homo sapiens NADPH oxidase, EF-hand calcium binding domain 5 (NOX5), mRNA.
ILMN_10700	2570129	NM_021965.3	68299819	PGM5	PGMRP	Homo sapiens phosphoglucomutase 5 (PGM5), mRNA.
ILMN_138502	4670717	XM_936702.1	89030374	PGM5		PREDICTED: Homo sapiens phosphoglucomutase 5 (PGM5), mRNA.
ILMN_18055	3400360	NM_004169.3	22547185	SHMT1	SHMT; CSHMT; MGC15229; MGC24556	Homo sapiens serine hydroxymethyltransferase 1 (soluble) (SHMT1), transcript variant 1, mRNA.
ILMN_2485	7150132	NM_001151.2	55749576	SLC25A4	T1; ANT; ANT1; PEO2; PEO3	Homo sapiens solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4 (SLC25A4), nuclear gene encoding mitochondrial protein, mRNA.
ILMN_23116	7150470	NM_018476.3	68533248	BEX1	BEX2; HBEX2; HGR74-h	Homo sapiens brain expressed, X-linked 1 (BEX1), mRNA.
ILMN_15043	7210315	NM_017791.1	8923349	C14orf58	FLJ20371	Homo sapiens chromosome 14 open reading frame 58 (C14orf58), mRNA.
ILMN_14218	5720685	NM_206837.1	45643130	C1orf102	NOR1; OSCP1; MGC26685	Homo sapiens chromosome 1 open reading frame 102 (C1orf102), transcript variant 2, mRNA.
ILMN_26136	4920594	NM_022774.1	12232456	C1orf176	FLJ11445; FLJ13183; FLJ21144	Homo sapiens chromosome 1 open reading frame 176 (C1orf176), mRNA.
