Gene name	Description
ACBD6	Acyl-CoA-binding domain-containing protein 6
RUSC1	RUN and SH3 domain-containing protein 1
TACC3	Transforming acidic coiled-coil-containing protein 3 (ERIC-1)
ACO2	Aconitate hydratase, mitochondrial precursor
SLC7A3	Cationic amino acid transporter 3 (CAT-3) (solute carrier family 7 member 3)
CBS	Cystathionine beta-synthase
CYP2F1	Cytochrome P450 2F1
LAIR2	Leukocyte-associated immunoglobulin-like receptor 2 precursor (LAIR-2) (CD306 antigen)
CCDC9	Coiled-coil domain-containing protein 9
PHOX2A	Paired mesoderm homeobox protein 2A (paired-like homeobox 2A)
