PID	SYMBOL	NAME	CHR	RefSeq	Score.Cox.PFS	corrected p-value	Expression in early progressive samples
3872817	A1BG	alpha-1-B glycoprotein	19q13.4	NM_130786	142.48	0.002488707	up
3221800	AMBP	alpha-1-microglobulin/bikunin precursor	9q32-q33	NM_001633	35.69	0.005098721	up
4017056	SERPINA7	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7	Xq22.2	NM_000354	26.09	0.00317127	up
3468473	PAH	phenylalanine hydroxylase	12q22-q24.2	NM_000277	20.25	0.000678008	up
3838556	FLT3LG	fms-related tyrosine kinase 3 ligand	19q13.3	U03858	15.64	0.006869269	up
3742400	PFN1	profilin 1	17p13.3	NM_005022	13.37	0.009852645	up
3866106	GNG8	guanine nucleotide binding protein (G protein), gamma 8	19q13.2-q13.3	NM_033258	6.93	0.00936549	up
2635998	TAGLN3	transgelin 3	3q13.2	NM_013259	5.03	0.00342418	up
2574646	BIN1	bridging integrator 1	2q14	NM_139343	2.97	0.007161334	up
3349719	ZBTB16	zinc finger and BTB domain containing 16	11q23.1	NM_006006	2.34	0.004105728	up
2435989	S100A8	S100 calcium binding protein A8	1q21	NM_002964	1.79	0.007153094	up
2397898	HSPB7	heat shock 27kDa protein family, member 7 (cardiovascular)	1p36.23-p34.3	NM_014424	1.71	0.007484111	up
2493858	MAL	mal, T-cell differentiation protein	2cen-q13	NM_002371	1.46	0.00975546	up
2607568	CHL1	cell adhesion molecule with homology to L1CAM (close homolog of L1)	3p26.1	NM_006614	0.68	0.004297235	down
2893794	DSP	desmoplakin	6p24	NM_004415	0.65	0.008308833	down
3087659	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	8p22-p21.3	NM_003046	0.63	0.008659707	down
2371139	LAMC2	laminin, gamma 2	1q25-q31	NM_005562	0.57	0.002309823	down
2634494	ALCAM	activated leukocyte cell adhesion molecule	3q13.1	NM_001627	0.54	0.007726029	down
3109687	GRHL2	grainyhead-like 2 (Drosophila)	8q22.3	BC069633	0.52	0.007325191	down
3333443	ASRGL1	asparaginase like 1	11q12.3	NM_001083926	0.52	0.009599421	down
2741236	USP53	ubiquitin specific peptidase 53	4q26	NM_019050	0.51	0.005952428	down
3933566	TMPRSS3	transmembrane protease, serine 3	21q22.3	NM_024022	0.49	0.001724432	down
3135567	LYPLA1	lysophospholipase I	8q11.23	NM_006330	0.49	0.008897652	down
2783473	LOC401152	HCV F-transactivated protein 1	4q26	NM_001001701	0.47	0.002804437	down
2420832	DDAH1	dimethylarginine dimethylaminohydrolase 1	1p22	NM_012137	0.44	0.007238696	down
2742224	SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila)	4q28.1	NM_005841	0.43	0.005516501	down
3390195	EXPH5	exophilin 5	11q22.3	NM_015065	0.41	0.007780602	down
3096545	FLJ23356	hypothetical protein FLJ23356	8p11.21	NM_032237	0.41	0.00937423	down
3322958	ZDHHC13	zinc finger, DHHC-type containing 13	11p15.1	NM_019028	0.4	0.007820452	down
4022106	MBNL3	muscleblind-like 3 (Drosophila)	Xq26.2	NM_018388	0.4	0.007978798	down
3775808	CLUL1	clusterin-like 1 (retinal)	18p11.32	NM_014410	0.38	0.008889298	down
3142519	ZFAND1	zinc finger, AN1-type domain 1	8q21.13	NM_024699	0.36	0.002581136	down
3096271	C8orf40	chromosome 8 open reading frame 40	8p11.21	NM_138436	0.36	0.006813873	down
2669157	EPM2AIP1	EPM2A (laforin) interacting protein 1	3p22.1	NM_014805	0.35	0.00319045	down
4009560	FAM120C	family with sequence similarity 120C	Xp11.22	NM_017848	0.35	0.00893333	down
3686080	NSMCE1	non-SMC element 1 homolog (S. cerevisiae)	16p12.1	NM_145080	0.35	0.009327393	down
3178611	SECISBP2	SECIS binding protein 2	9q22.2	NM_024077	0.33	0.009403487	down
2427688	C1orf103	chromosome 1 open reading frame 103	1p13.3	NM_018372	0.32	0.002794509	down
2667809	OSBPL10	oxysterol binding protein-like 10	3p22.3	NM_017784	0.32	0.003519435	down
3589570	EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4	15q15.1	NM_001013703	0.32	0.006602779	down
3362468	SBF2	SET binding factor 2	11p15.4	NM_030962	0.32	0.006998316	down
3096092	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	8p11.2	NM_001556	0.32	0.007221307	down
3096428	FNTA	farnesyltransferase, CAAX box, alpha	8p11	NM_002027	0.31	0.004190017	down
3029030	CASP2	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)	7q34-q35	NM_032982	0.3	0.00894395	down
4015397	TSPAN6	tetraspanin 6	Xq22	NM_003270	0.29	0.000281816	down
3621140	LCMT2	leucine carboxyl methyltransferase 2	15q15.3	NM_014793	0.29	0.008199571	down
3775686	USP14	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)	18p11.32	NM_005151	0.28	0.00962896	down
3645947	CLUAP1	clusterin associated protein 1	16p13.3	NM_015041	0.27	0.001657682	down
2449619	ZBTB41	zinc finger and BTB domain containing 41	1q31.3	NM_194314	0.26	0.001484317	down
2617041	GOLGA4	golgi autoantigen, golgin subfamily a, 4	3p22-p21.3	NM_002078	0.26	0.002859493	down
3180263	HIATL1	hippocampus abundant transcript-like 1	9q22.32	NM_032558	0.26	0.008457399	down
3133135	MYST3	MYST histone acetyltransferase (monocytic leukemia) 3	8p11	NM_001099412	0.25	0.002682523	down
2789266	LRBA	LPS-responsive vesicle trafficking, beach and anchor containing	4q31.3	NM_006726	0.25	0.003914258	down
3527418	PARP2	poly (ADP-ribose) polymerase family, member 2	14q11.2-q12	NM_005484	0.25	0.004288478	down
3191273	GPR107	G protein-coupled receptor 107	9q34.11	NM_020960	0.25	0.005435944	down
3567391	SIX4	SIX homeobox 4	14q23	NM_017420	0.24	0.00435375	down
3779817	CEP192	centrosomal protein 192kDa	18p11.21	NM_032142	0.24	0.007236232	down
2468920	CPSF3	cleavage and polyadenylation specific factor 3, 73kDa	2p25.1	BC011654	0.24	0.007265836	down
3365487	UEVLD	UEV and lactate/malate dehyrogenase domains	11p15.1	NM_001040697	0.24	0.008898745	down
3439305	ZNF84	zinc finger protein 84	12q24.33	NM_003428	0.23	0.002497891	down
2672532	SETD2	SET domain containing 2	3p21.31	NM_014159	0.23	0.005031266	down
3540091	ZBTB1	zinc finger and BTB domain containing 1	14q23.3	BC050719	0.23	0.009127223	down
2375810	ZC3H11A	zinc finger CCCH-type containing 11A	1q32.1	NM_014827	0.23	0.009567853	down
3932148	BRWD1	bromodomain and WD repeat domain containing 1	21q22.2	NM_033656	0.22	0.007765765	down
3919952	MORC3	MORC family CW-type zinc finger 3	21q22.13	NM_015358	0.22	0.008706567	down
3556418	METTL3	methyltransferase like 3	14q11.1	NM_019852	0.22	0.008789811	down
4011889	ZMYM3	zinc finger, MYM-type 3	Xq13.1	NM_201599	0.22	0.009240085	down
2664891	TBC1D5	TBC1 domain family, member 5	3p24.3	NM_014744	0.21	0.003165421	down
2541944	SMC6	structural maintenance of chromosomes 6	2p24.2	NM_024624	0.21	0.005901473	down
2629693	PPP4R2	protein phosphatase 4, regulatory subunit 2	3p13	BC110889	0.21	0.007614893	down
2452637	NUCKS1	nuclear casein kinase and cyclin-dependent kinase substrate 1	1q32.1	NM_022731	0.21	0.009546217	down
3739108	FN3KRP	fructosamine-3-kinase-related protein	17q25.3	NM_024619	0.2	0.00729049	down
2618940	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	3p21	NM_001904	0.2	0.008539227	down
2619344	NKTR	natural killer-tumor recognition sequence	3p23-p21	NM_005385	0.19	0.00085738	down
3971768	PRDX4	peroxiredoxin 4	Xp22.11	NM_006406	0.19	0.00246081	down
2418000	ZRANB2	zinc finger, RAN-binding domain containing 2	1p31	NM_005455	0.18	0.001124829	down
2428855	AP4B1	adaptor-related protein complex 4, beta 1 subunit	1p13.2	NM_006594	0.18	0.003638734	down
3774593	DUS1L	dihydrouridine synthase 1-like (S. cerevisiae)	17q25.3	BC062566	0.18	0.006744294	down
3537264	C14orf101	chromosome 14 open reading frame 101	14q23.1	NM_017799	0.17	0.000731759	down
2537290	TMEM18	transmembrane protein 18	2p25.3	NM_152834	0.17	0.000991724	down
2833924	SH3RF2	SH3 domain containing ring finger 2	5q32	NM_152550	0.17	0.001554946	down
3136015	TMEM68	transmembrane protein 68	8q12.1	NM_152417	0.17	0.001783593	down
3556966	C14orf94	chromosome 14 open reading frame 94	14q11.2	NM_017815	0.15	0.000776726	down
2741083	KIAA1627	KIAA1627 protein	4q26	NM_020961	0.15	0.00246247	down
2622469	RBM5	RNA binding motif protein 5	3p21.3	NM_005778	0.15	0.00861332	down
3527493	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	14q11.2-q12	NM_001641	0.14	0.001616404	down
2616317	PDCD6IP	programmed cell death 6 interacting protein	3p22.3	NM_013374	0.14	0.00843144	down
2834093	TCERG1	transcription elongation regulator 1	5q31	NM_006706	0.13	0.000610101	down
2769539	CHIC2	cysteine-rich hydrophobic domain 2	4q11	NM_012110	0.13	0.001420469	down
2621917	WDR6	WD repeat domain 6	3p21.31	NM_018031	0.13	0.001910619	down
2538480	TSSC1	tumor suppressing subtransferable candidate 1	2p25.3	NM_003310	0.11	0.002174745	down
3568310	ZBTB25	zinc finger and BTB domain containing 25	14q23-q24	NM_006977	0.11	0.004152274	down
3557017	C14orf93	chromosome 14 open reading frame 93	14q11.2	NM_021944	0.11	0.004483768	down
3249788	CCAR1	cell division cycle and apoptosis regulator 1	10q21.3	NM_018237	0.06	0.00088745	down
