Gene description	Common abbreviation	Accession no.	Control-tamoxifen ratio	Intensity Tamoxifen	Control	Expression
Reelin	Rein	U72343	0.0623	5 574	279	Upregulated genes
Erythroid-associated factor	Eraf; AHSP;EDRF	AF060220	0.088	61 187	7 499	Upregulated genes
Mitochondrial glutathione S-transferase	Mgst3	NM_025569	0.128	21 710	2 879	Upregulated genes
Endothelin 2	Edn2	NM_007902	0.148	3 069	486	Upregulated genes
Sparc/osteonectin	Spock1	NM_009262	0.155	1 769	329	Upregulated genes
Lipocalin 5	Lcn5	NM_007947	0.171	3 445	602	Upregulated genes
GLI pathogenesis-related 2	Glipr2; GAPR-1	AK017557	0.172	1 607	273	Upregulated genes
Erythrocyte protein band 4.9		NM_013514	0.202	3 279	723	Upregulated genes
Ubiquilin 1	Ubqln1; DA41	AK007651	0.206	4 783	974	Upregulated genes
Annexin A8	Anxa8	NM_013473	0.21	1 628	354	Upregulated genes
Ephrin A2	Efna2	NM_007909	0.148	3 069	486	Upregulated genes
Solute carrier family 22, member 16	Slc22a16	AK014809	0.172	1 607	273	Upregulated genes
Embryonic zeta-globin	zeta-globin	NM_010405	0.172	1 607	273	Upregulated genes
Adult beta-globin	beta-maj globin	AF071431	0.202	3 279	723	Upregulated genes
Erythroblast membrane-associated protein	Ermap	NM_013848	0.235	23 792	5 788	Upregulated genes
G protein, gamma 2 subunit	Gng2	NM_010315	0.24	3 272	762	Upregulated genes
TGFB-inducible early growth response 1	Tieg1	NM_013692	0.374	2 823	1 138	Upregulated genes
Duffy blood group	Dfy	NM_010045	0.432	1 525	673	Upregulated genes
Diacylglycerol O-acyltransferase 2	Dgat2; DGAT-2	AF384160	0.447	1 957	883	Upregulated genes
Benzodiazepine receptor, peripheral	Bzrp	NM_009775	0.451	26 957	12 685	Upregulated genes
Decay accelerating factor 2	Daf2	NM_007827	0.452	510	233	Upregulated genes
Aminolevulinic acid synthase 2, erythroid	ALAS-E; ALAS2	M63244	0.47	36 257	17 574	Upregulated genes
Transferrin receptor	Tfrc; CD71	AK011596	0.483	31 429	15 360	Upregulated genes
Interferon-stimulated protein	Isg20	NM_020583	0.484	6 661	3 293	Upregulated genes
Nuclear factor, erythroid derived 2	Nfe2	L09600	0.486	5 562	2 760	Upregulated genes
Glycophorin C	Gypc	AK002769	0.5	11 440	5 777	Upregulated genes
Rhesus blood group CE and D	Rhced	NM_011270	0.579	20 406	12 047	Upregulated genes
Zinc finger and BTB domain containing 7	Zbtb7; Pokemon	AK018596	0.58	3 943	2 313	Upregulated genes
Zinc finger protein 297	Zfp297	NM_020625	0.652	1 772	1 220	Upregulated genes
Embryonic epsilon-y globin	epsilon-y globin	NM_008221	0.627	61 768	39 553	Upregulated genes
Embryonic betah1 globin	Hbb-betah1	NM_008219	0.593	58 027	37 087	Upregulated genes
Porphobilinogen deaminase	PBDG	BC003861	0.706	42 501	28 006	Upregulated genes
RIKEN cDNA 1200008O12 gene	1200008O12Rik	AK004655	7.189	106	438	Downregulated genes
RIKEN cDNA 1110032E23 gene	11100032E23Rik	AF285091	2.729	1 759	4 777	Downregulated genes
RIKEN cDNA 1700029M23 gene	1700029M23Rik	AK006511	2.364	4 188	9 591	Downregulated genes
RIKEN cDNA 9530027K23 gene	9530027K23Rik	AK020578	2.347	156	302	Downregulated genes
RIKEN cDNA 2600013N14 gene	2600013N14Rik	AK011203	2.223	364	775	Downregulated genes
Tumor protein p53-inducible protein 5	Tp53i5	AK017334	2.138	7 662	16 485	Downregulated genes
