Affy Platform	32 Probe sets of the Miller signature	Gene Symbol	Gene description	ER negative versus ER positive t test p value
U133 A	201710_at	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	0.0047
U133 A	203438_at	STC2	Stanniocalcin 2	2.60E-05
U133 A	204623_at	TFF3	Trefoil factor 3 (intestinal)	0.0074
U133 A	205009_at	TFF1	Trefoil factor 1 (breast cancer, est rogeninducible sequence expressed in)	0.00041
U133 A	205186_at	DNALI1	Dynein, anonemal, light intermediate polypeptide 1	0.00035
U133 A	205440_s_at	NPY1R	Neuropeptide Y receptor Y1	0.00083
U133 A	205472_s_at	DACH	Dachshund homolog (Drosophila)	0.0071
U133 A	205734_s_at	LAF4	Lymphoid nuclear protein related to AF4	5.20E-05
U133 A	206869_at	CHAD	Chondroadherin	1.30E-06
U133 A	212949_at	BRRN1	Barren homolog (Drosophila)	0.0041
U133 A	214079_at	DHRS2	Deshydrogenase/reductase (SDR family) member 2	0.083
U133 A	215014_at	MRNA; Cdna DKFZp547P042	(from clone DKFZp547P042)	0.0333
U133 A	215047_at	Not available	Not available	0.00206
U133 A	217889_s_at	CYBRD1	Cytochrome b reductase 1	0.0018
U133 A	221275_s_at	Not available	Not available	2.10E-05
U133 A	221520_s_at	CDCA8	Cell division cycle associated 8	0.0061
U133 A	221585_at	CACNG4	Calcium channel, voltage-dependent, gamma subunit 4	0.0205
