Unique id	Location	Gene symbol	Genome mean of intensities in T	Genome mean of intensities in N	Ratio of genome means	Expression
NM_000077	9p21	CDKN2A	900.72	260.36	3.46	Up
J04152	1p32-p31	TACSTD2	5,482.24	1,734.52	3.16	Up
NM_000526	17q12-q21	KRT14	6,332.15	1,610.40	3.93	Up
NM_002353	1p32-p31	TACSTD2	4,584.28	1,472.30	3.11	Up
NM_021103	2p11.2	TMSB10	9,920.56	5,085.61	1.95	Up
NM_000636	6q25.3	SOD2	1,186.11	573.14	2.07	Up
NM_002654	15q22	PKM2	3,293.80	1,708.03	1.93	Up
NM_002266	17q24.2	KPNA2	709.71	236.22	3	Up
NM_147780	8p22	CTSB	2,777.50	1,352.97	2.05	Up
NM_015925	19q13.12	LSR	384.21	181.82	2.11	Up
NM_005566	11p15.4	LDHA	2,762.96	1,373.51	2.01	Up
BE561479	12p13	GAPDH	5,107.29	2,842.84	1.8	Up
NM_006739	22q13.1	MCM5	261.3	104.38	2.5	Up
NM_002276	17q21.2	KRT19	491.36	224.85	2.19	Up
NM_007209	9q34.1	RPL35	2,824.01	1,665.60	1.7	Up
NM_002948	3p24.2	RPL15	1,511.96	4,433.24	0.34	Down
NM_002477	4p16.3	MYL5	534.03	1,072.63	0.5	Down
NM_001401	9q31.3	LPAR1	239.04	472.36	0.51	Down
NM_004398	11q22-q23	DDX10	2,144.89	3,853.70	0.56	Down
