Probe.NuID	EntrezID	Symbol	Description	LNCaP Fold change	LNCaP P value	LNCaP FDR	MCF-7 Fold change	MCF-7 P value	MCF-7 FDR
rkdrpLRTAEETXkXoHo	3909	LAMA3	Laminin, alpha 3	2.6	7.05E-10	2.86E-07	1.67	6.96E-07	1.72E-04
rXn6YfSwnEnCVNpaAI	1646	AKR1C2	Aldo–keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase,type III)	2.32	6.75E-07	3.10E-05	1.52	4.81E-04	9.93E-03
upHrr.53YSzUQyeGno	1728	NQO1	NAD(P)H dehydrogenase, quinone 1	2.3	3.13E-07	1.79E-05	1.52	2.58E-04	6.60E-03
9Vyi_DX3V5cXkk3X9U	83759	RBM4B	RNA binding motif protein 4B	2.08	2.66E-08	3.11E-06	1.69	9.95E-07	2.13E-04
osj1QiH8ktFJfDk7Eo	3899	AFF3	AF4/FMR2 family, member 3	1.88	2.65E-05	4.35E-04	1.62	2.78E-04	6.94E-03
Nd8wBK_mNP1Qj6.V_I	6451	SH3BGRL	SH3 domain binding glutamic acid-rich protein-like	1.83	9.81E-06	2.16E-04	1.57	1.45E-04	4.41E-03
35QRHIUd.o9CJHuzh4	493869	GPX8	Glutathione peroxidase 8	1.81	6.42E-06	1.59E-04	1.78	8.42E-06	6.72E-04
3TXj7nnrbf3V0iS4SQ	10791	VAMP5	Vesicle-associated membrane protein 5 (myobrevin)	1.77	1.53E-07	1.08E-05	1.51	4.33E-06	4.37E-04
0jp6I4T81KtH_0pXKE	56892	C8orf4	Chromosome 8 open reading frame 4	1.56	5.44E-04	4.21E-03	1.68	1.52E-04	4.57E-03
HdUm8EQDU6ks46Std4	467	ATF3	Activating transcription factor 3	1.53	4.04E-05	5.92E-04	1.6	1.45E-05	9.57E-04
ccp.nyzTtTv19F0uic	51203	NUSAP1	Nucleolar and spindle associated protein 1	-9.8	1.76E-10	1.39E-07	-1.99	5.85E-05	2.29E-03
iKKgVb_bmVB1QukAKA	9768	KIAA0101	KIAA0101	-8.32	1.66E-10	1.39E-07	-2.03	2.15E-05	1.25E-03
HClLklAJJdNRQpNZ4I	991	CDC20	Cell division cycle 20 homolog (S. cerevisiae)	-7.95	1.46E-10	1.29E-07	-2.29	3.36E-06	3.90E-04
x.Sd_F7Vd6eXeLeDdU	7153	TOP2A	Topoisomerase (DNA) II alpha 170 kDa	-7.8	4.54E-13	7.18E-09	-1.67	2.62E-06	3.55E-04
clyu1_J4FkeCB37XR4	113130	CDCA5	Cell division cycle associated 5	-6.9	2.09E-11	4.05E-08	-1.59	8.50E-05	3.01E-03
rSTjV0ngdAJbQIX5dU	9133	CCNB2	Cyclin B2	-6.62	1.39E-12	1.10E-08	-2.26	2.10E-08	3.58E-05
ZqR1Qw4LulILoN.Eoc	983	CDC2	Cell division cycle 2, G1 to S and G2 to M	-6.2	1.37E-10	1.27E-07	-2.01	5.12E-06	4.97E-04
o.fSL_0zHn7TeTx0k	3161	HMMR	Hyaluronan-mediated motility receptor (RHAMM)	-5.84	1.01E-09	3.71E-07	-2.19	6.29E-06	5.60E-04
