ProbeID	Gene Name	Gene Symbol
207163_s_at	v-akt murine thymoma viral oncogene homolog 1	AKT1
203809_s_at	v-akt murine thymoma viral oncogene homolog 2	AKT2
211453_s_at	v-akt murine thymoma viral oncogene homolog 2	AKT2
212607_at	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3
212609_s_at	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3
219393_s_at	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3
206607_at	Cas-Br-M (murine) ecotropic retroviral transforming sequence	CBL
208727_s_at	cell division cycle 42 (GTP binding protein, 25kDa)	CDC42
208728_s_at	cell division cycle 42 (GTP binding protein, 25kDa)	CDC42
210232_at	cell division cycle 42 (GTP binding protein, 25kDa)	CDC42
214230_at	cell division cycle 42 (GTP binding protein, 25kDa)	CDC42
209666_s_at	conserved helix-loop-helix ubiquitous kinase	CHUK
202789_at	copine family member IX	CPNE9
202224_at	v-crk sarcoma virus CT10 oncogene homolog (avian)	CRK
202226_s_at	v-crk sarcoma virus CT10 oncogene homolog (avian)	CRK
206184_at	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	CRKL
212180_at	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	CRKL
203666_at	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	CXCL12
209687_at	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	CXCL12
209201_x_at	chemokine (C-X-C motif) receptor 4	CXCR4
211919_s_at	chemokine (C-X-C motif) receptor 4	CXCR4
217028_at	chemokine (C-X-C motif) receptor 4	CXCR4
211121_s_at	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	DOK1
216835_s_at	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	DOK1
203617_x_at	ELK1, member of ETS oncogene family	ELK1
210376_x_at	ELK1, member of ETS oncogene family	ELK1
210850_s_at	ELK1, member of ETS oncogene family	ELK1
210105_s_at	FYN oncogene related to SRC, FGR, YES	FYN
212486_s_at	FYN oncogene related to SRC, FGR, YES	FYN
216033_s_at	FYN oncogene related to SRC, FGR, YES	FYN
204248_at	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	GNA11
214679_x_at	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	GNA11
40562_at	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	GNA11
564_at	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	GNA11
209576_at	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	GNAI1
201040_at	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	GNAI2
201179_s_at	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	GNAI3
201180_s_at	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	GNAI3
201181_at	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	GNAI3
204762_s_at	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	GNAO1
204763_s_at	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	GNAO1
215912_at	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	GNAO1
202615_at	guanine nucleotide binding protein (G protein), q polypeptide	GNAQ
211426_x_at	guanine nucleotide binding protein (G protein), q polypeptide	GNAQ
204993_at	guanine nucleotide binding protein (G protein), alpha z polypeptide	GNAZ
200744_s_at	guanine nucleotide binding protein (G protein), beta polypeptide 1	GNB1
200745_s_at	guanine nucleotide binding protein (G protein), beta polypeptide 1	GNB1
200746_s_at	guanine nucleotide binding protein (G protein), beta polypeptide 1	GNB1
200852_x_at	guanine nucleotide binding protein (G protein), beta polypeptide 2	GNB2
206047_at	guanine nucleotide binding protein (G protein), beta polypeptide 3	GNB3
204000_at	guanine nucleotide binding protein (G protein), beta 5	GNB5
207124_s_at	guanine nucleotide binding protein (G protein), beta 5	GNB5
211871_x_at	guanine nucleotide binding protein (G protein), beta 5	GNB5
204115_at	guanine nucleotide binding protein (G protein), gamma 11	GNG11
212294_at	guanine nucleotide binding protein (G protein), gamma 12	GNG12
220806_x_at	guanine nucleotide binding protein (G protein), gamma 13	GNG13
222005_s_at	guanine nucleotide binding protein (G protein), gamma 3	GNG3
205184_at	guanine nucleotide binding protein (G protein), gamma 4	GNG4
207157_s_at	guanine nucleotide binding protein (G protein), gamma 5	GNG5
206896_s_at	guanine nucleotide binding protein (G protein), gamma 7	GNG7
214227_at	guanine nucleotide binding protein (G protein), gamma 7	GNG7
207166_at	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1	GNGT1
209341_s_at	golgi autoantigen, golgin subfamily a, 7	GOLGA7
215075_s_at	growth factor receptor-bound protein 2	GRB2
212983_at	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	HRAS
209342_s_at	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	IKBKB
211027_s_at	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	IKBKB
214916_x_at	interleukin 8	IL8
211339_s_at	IL2-inducible T-cell kinase	ITK
203710_at	inositol 1,4,5-triphosphate receptor, type 1	ITPR1
211323_s_at	inositol 1,4,5-triphosphate receptor, type 1	ITPR1
216944_s_at	inositol 1,4,5-triphosphate receptor, type 1	ITPR1
202660_at	inositol 1,4,5-triphosphate receptor, type 2	ITPR2
202661_at	inositol 1,4,5-triphosphate receptor, type 2	ITPR2
202662_s_at	inositol 1,4,5-triphosphate receptor, type 2	ITPR2
211360_s_at	inositol 1,4,5-triphosphate receptor, type 2	ITPR2
201187_s_at	inositol 1,4,5-triphosphate receptor, type 3	ITPR3
201188_s_at	inositol 1,4,5-triphosphate receptor, type 3	ITPR3
