Probe set ID	Gene symbol	Probe set locationa	Transcript ID	Comparisonb	Exon array Adjusted P	Probe set fold changec	Gene fold changed	RT-PCR validatione Training set	Test set
3464995	ATP2B1	Exon 20	ENST00000359142	MB vs. CB	0.003	-3.73	1.44	<0.001	<0.001
3329783	MADD	Exon 34	ENST00000311027	MB vs. CB	>0.01f	1.57	-1.74	0.01	<0.001
2680306	MAGI1	Exon 24	ENST00000330909	MB vs. CB	<0.001	-3.61	-1.09	<0.001	<0.001
3323129	NAV2	Exon 6	ENST00000360655	MB vs. CB	0.009	-5.5	-3.42	0.02	0.008
2507435	R3HDM1	Exon 15	ENST00000264160	MB vs. CB	0.004	-1.86	-1.12	0.04	<0.001
3615612	TJP1	Exon 20	ENST00000346128	MB vs. CB	0.002	-5.13	1.15	0.007	<0.001
3789479	WDR7	Exon 17	ENST00000254442	MB vs. CB	<0.001	-5.46	-1.14	<0.001	<0.001
2680331	MAGI1	Exon 15	ENST00000330909	SHH vs. CB	>0.01f	-1.7	-1.56	0.03	0.004
3538263	DAAM1	Exon 16	ENST00000351081	SHH vs. CB and MB2	0.009	-5.17	1.96	0.01	<0.001
2485003	EHBP1	Exon 8	ENST00000263991	SHH vs. CB and MB2	0.005	-8.88	1.11	0.003	0.006
3014461	TRRAP	Exons 22/23	ENST00000456197	SHH vs. CB and MB2	0.003	-2.62	-1.1	0.004	<0.001
