Top Genes	ID	M	A	t	P.Value
50743	241493_at	0.478421129	7.073486532	3.668018016	0.00321911
40310	231055_at	0.426188835	4.405906751	3.612418778	0.0035643
43668	234418_x_at	-0.533430753	5.099582318	-3.552336262	0.003980079
49153	239903_at	0.447715426	4.187709085	3.543414714	0.00404591
35645	226388_at	-0.605497987	5.596979167	-3.5268403	0.004171174
37178	227923_at	-0.455570471	6.081051699	-3.515133797	0.004262025
21296	211988_at	-0.408672228	4.435245796	-3.513404855	0.004275613
33886	224626_at	-0.447857251	6.111029331	-3.470936319	0.004623593
52034	242784_at	0.3426711	4.187462343	3.440260811	0.004892762
36059	226803_at	-0.407558001	5.068723923	-3.412265732	0.005152305
43762	234512_x_at	-0.644295887	6.869985304	-3.374398194	0.005525785
5612	1560883_s_at	-0.413771692	6.873362895	-3.37375433	0.005532367
31282	222001_x_at	0.568529721	5.409205933	3.373302325	0.005536993
18702	209287_s_at	-0.445943511	6.748131565	-3.324429983	0.006061008
33275	224000_at	-0.644952493	6.810899179	-3.307233542	0.006257111
50262	241012_at	0.410713112	6.264707806	3.293960692	0.006412852
10166	200717_x_at	0.441202392	5.841859885	3.265737408	0.00675718
41442	232187_at	-0.666136911	6.339476758	-3.259449244	0.006836407
14664	205216_s_at	-0.392522256	4.67776763	-3.257074414	0.006866573
28008	218723_s_at	-0.435847933	4.874892961	-3.224208724	0.007298106
34252	224993_at	-0.587220503	6.949045072	-3.217856681	0.007384615
9257	1569496_s_at	-0.606266937	5.965382396	-3.206999426	0.007534882
44646	235396_at	-0.428962768	5.606960293	-3.192944783	0.007733989
42471	233218_at	0.397094049	5.084092208	3.183993663	0.007863552
19975	210587_at	0.380919007	4.354862078	3.179865821	0.007924035
22133	212827_at	-0.448903322	4.511684265	-3.170698804	0.008060035
5648	1560932_at	-0.361567902	4.424260127	-3.160721352	0.008210731
12940	203492_x_at	-0.346162475	4.659111534	-3.149425093	0.008384771
21505	212198_s_at	-0.419021664	6.394820731	-3.120165983	0.00885301
27130	217844_at	0.44638334	7.52351634	3.118328461	0.008883279
40254	230999_at	0.498804512	4.43586568	3.114856878	0.008940748
20521	211157_at	-0.443160826	6.950598351	-3.107191708	0.009068965
41121	231866_at	0.416561092	4.232571825	3.090034571	0.009362688
28828	219543_at	0.319084905	4.677244374	3.074296406	0.009640505
