# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|AI848623|21366	mgi_symbol|Slc6a6|Slc6a6
entrezgene|AV087550|12946	mgi_symbol|Crry|Crry
entrezgene|AW060684|67760	mgi_symbol|Slc38a1|Slc38a1
entrezgene|X66084|12505	mgi_symbol|Cd44|Cd44
entrezgene|AW047616|224727	mgi_symbol|Bat3|Bat3
entrezgene|AI852765|14733	mgi_symbol|Gpc1|Gpc1
entrezgene|AI561567|100986	mgi_symbol|Akap9|Akap9
embl|U42384|U42384	mgi_symbol|Fin15|Fin15
entrezgene|AA189389|16401	mgi_symbol|Itga4|Itga4
embl|AV319920|AV319920	mgi_symbol|Prkwnk1 |Prkwnk1	mgi_symbol|WNK1|WNK1
entrezgene|X53176|16401	mgi_symbol|Itga4|Itga4
entrezgene|AW047476|55932	mgi_symbol|Gbp3|Gbp3
embl|AF031127|AF031127	mgi_symbol|Itpr2|Itpr2
entrezgene|M63660|14674	mgi_symbol|Gna13|Gna13
entrezgene|AW125442|18767	mgi_symbol|Pkia|Pkia
entrezgene|AI845935|14688	mgi_symbol|Gnb1|Gnb1
entrezgene|L12367|12331	mgi_symbol|Cap1|Cap1
entrezgene|U29055|14688	mgi_symbol|Gnb1|Gnb1
entrezgene|M89802|22422	mgi_symbol|Wnt7b|Wnt7b
entrezgene|AW048468|98415	mgi_symbol|Nucks|Nucks
entrezgene|D83037|22631	mgi_symbol|Ywhaz|Ywhaz
entrezgene|AF104358|67903	mgi_symbol|Rgs19ip1|Rgs19ip1
entrezgene|AB006036|20817	mgi_symbol|Srpk2|Srpk2
entrezgene|U09816|14667	mgi_symbol|Gm2a|Gm2a
entrezgene|U50413|18708	mgi_symbol|Pik3r1|Pik3r1
entrezgene|Y17343|11431	mgi_symbol|Acp1|Acp1
entrezgene|AI846289|104318	mgi_symbol|Csnk1d|Csnk1d
entrezgene|X56906|12162	mgi_symbol|Bmp7|Bmp7
entrezgene|U69491|16158	mgi_symbol|Il11ra2|Il11ra2
entrezgene|U46854|20418	mgi_symbol|Shc3|Shc3
entrezgene|AF018262|19060	mgi_symbol|Ppp5c|Ppp5c
entrezgene|Y17345|11431	mgi_symbol|Acp1|Acp1
entrezgene|AJ006584|26908	mgi_symbol|Eif2s3y|Eif2s3y
embl|AI847906|AI847906	mgi_symbol|Tcf20|Tcf20
embl|Y00203|Y00203	mgi_symbol|En2|En2
entrezgene|AW107922|20666	mgi_symbol|Sox11|Sox11
embl|AI152867|AI152867	mgi_symbol|Eif2c2|Eif2c2
entrezgene|D32167|22771	mgi_symbol|Zic1|Zic1
entrezgene|AF009414|20664	mgi_symbol|Sox11|Sox11
embl|AV374287|AV374287	mgi_symbol|Notch1|Notch1
embl|AI553024|AI553024	mgi_symbol|PLZF|PLZF
entrezgene|AW213866|66724	mgi_symbol|Phf12|Phf12
entrezgene|AI844532|81898	mgi_symbol|Sf3b1|Sf3b1
entrezgene|AI449034|19712	mgi_symbol|Rest|Rest
embl|AI849566|AI849566	mgi_symbol|SET7|SET7
entrezgene|U41739|14199	mgi_symbol|Fhl1|Fhl1
entrezgene|U16322|21413	mgi_symbol|Tcf4|Tcf4
embl|X94125|X94125	mgi_symbol|Sox-3|Sox-3
entrezgene|AI854006|56086	mgi_symbol|Set|Set
entrezgene|AI595996|17260	mgi_symbol|Mef2c|Mef2c
entrezgene|M60523|15903	mgi_symbol|Idb3|Idb3
embl|AI849356|AI849356	mgi_symbol|Cbx3|Cbx3
entrezgene|U32395|17122	mgi_symbol|Mad4|Mad4
embl|M88299|M88299	mgi_symbol|Brn-1|Brn-1
entrezgene|U92702|13593	mgi_symbol|Ebf3|Ebf3
entrezgene|M61007|12608	mgi_symbol|Cebpb|Cebpb
entrezgene|D90174|18027	mgi_symbol|Nfia|Nfia
embl|U65316|U65316	mgi_symbol|Hnrpa1|Hnrpa1
entrezgene|AA866668|20675	mgi_symbol|Sox3|Sox3
entrezgene|AI172920|230753	mgi_symbol|Thrap3|Thrap3
embl|Y00203|Y00203	mgi_symbol|En2|En2
entrezgene|AW107922|20666	mgi_symbol|Sox11|Sox11
entrezgene|D32167|22771	mgi_symbol|Zic1|Zic1
entrezgene|AF009414|20664	mgi_symbol|Sox11|Sox11
embl|AV374287|AV374287	mgi_symbol|Notch1|Notch1
entrezgene|U92437|19211	mgi_symbol|Pten|Pten
entrezgene|U41739|14199	mgi_symbol|Fhl1|Fhl1
embl|X94125|X94125	mgi_symbol|Sox-3|Sox-3
entrezgene|M60523|15903	mgi_symbol|Idb3 |Idb3	mgi_symbol|Id3|Id3
embl|M88299|M88299	mgi_symbol|Brn-1|Brn-1
entrezgene|U92702|13593	mgi_symbol|Ebf3|Ebf3
entrezgene|AA866668|20675	mgi_symbol|Sox3|Sox3
entrezgene|M61007|12608	mgi_symbol|Cebpb|Cebpb
entrezgene|AW121776|54371	mgi_symbol|Gn6st-1|Gn6st-1
entrezgene|AJ001633|11745	mgi_symbol|Anxa3|Anxa3
embl|U56724|U56724	mgi_symbol|Dmd|Dmd
entrezgene|X13297|11475	mgi_symbol|Acta2|Acta2
entrezgene|AI846668|11848	mgi_symbol|RhoA|RhoA
embl|AI505453|AI505453	mgi_symbol|Myh9|Myh9
entrezgene|AA791742|66713	mgi_symbol|Actr2 |Actr2	mgi_symbol|Arp2|Arp2
entrezgene|U58882|16796	mgi_symbol|Lasp1|Lasp1
embl|AW214159|AW214159	mgi_symbol|Actr2 |Actr2	mgi_symbol|Arp2|Arp2
entrezgene|X14425|18643	mgi_symbol|Pfn1|Pfn1
entrezgene|Y17393|18637	mgi_symbol|Pfdn2|Pfdn2
entrezgene|AA266467|20352	mgi_symbol|Sema4b|Sema4b
entrezgene|AW260482|74838	mgi_symbol|Narg1-pending|Narg1-pending
entrezgene|D86214|27062	mgi_symbol|Cadps|Cadps
entrezgene|AI854293|94043	mgi_symbol|Bbp|Bbp
entrezgene|U65418|18208	mgi_symbol|Ntn1|Ntn1
entrezgene|D50621|13385	mgi_symbol|Dlgh4|Dlgh4
embl|M21041|M21041	mgi_symbol|Mtap2 |Mtap2	mgi_symbol|Map2|Map2
entrezgene|AJ250406|54633	mgi_symbol|Pqbp1|Pqbp1
entrezgene|AF038995|13209	mgi_symbol|Ddx6|Ddx6
entrezgene|AV299153|72162	mgi_symbol|Dhx36|Dhx36
entrezgene|AF038995|13209	mgi_symbol|Ddx6|Ddx6
entrezgene|AI837786|70097	mgi_symbol|SASH1|SASH1
entrezgene|AI849416|50523	mgi_symbol|Lats2|Lats2
entrezgene|AI854614|27965	mgi_symbol|Brd4|Brd4
entrezgene|AB033921|29811	mgi_symbol|Ndr2|Ndr2
embl|U20735|U20735	mgi_symbol|JunB|JunB
entrezgene|AW124337|56615	mgi_symbol|Mgst1|Mgst1
entrezgene|AI843448|66447	mgi_symbol|Mgst3|Mgst3
entrezgene|M35725|20655	mgi_symbol|Sod1|Sod1
entrezgene|AF038939|18616	mgi_symbol|Peg3|Peg3
entrezgene|U44088|21664	mgi_symbol|Phlda1 |Phlda1	mgi_symbol|TDAG51|TDAG51
entrezgene|AJ007376|26900	mgi_symbol|Ddx3y |Ddx3y	mgi_symbol|Dby|Dby
entrezgene|X91617|24127	mgi_symbol|Xrn1|Xrn1
entrezgene|AB016248|235293	mgi_symbol|Sc5d|Sc5d
entrezgene|AI849082|67702	mgi_symbol|Rnf149|Rnf149
entrezgene|AI840981|76273	mgi_symbol|Ndfip2|Ndfip2
embl|AI551087|AI551087	mgi_symbol|Prkdc|Prkdc
entrezgene|AI842849|100206	mgi_symbol|Adprhl2|Adprhl2
entrezgene|AI852184|68209	mgi_symbol|AYP1|AYP1
entrezgene|AI853523|66594	mgi_symbol|Uqcr|Uqcr
entrezgene|AB025313|22223	mgi_symbol|Uchl1|Uchl1
embl|Z84471|Z84471	mgi_symbol|G6pdx|G6pdx
entrezgene|AI841733|30052	mgi_symbol|Pcsk1n|Pcsk1n
embl|AF039021|AF039021	mgi_symbol|Pcm1|Pcm1
entrezgene|AA981257|360216	mgi_symbol|ZRANB1|ZRANB1
entrezgene|U85614|20588	mgi_symbol|Smarcc1|Smarcc1
embl|AW122059|AW122059	mgi_symbol|Ap1gbp1|Ap1gbp1
embl|AV308245|AV308245	mgi_symbol|Epb4|Epb4	mgi_symbol|1l4a|1l4a
entrezgene|AW048037|20402	mgi_symbol|Sh3bp3|Sh3bp3
entrezgene|AJ005350|22651	mgi_symbol|Zfp125|Zfp125
entrezgene|AI595322|77022	mgi_symbol|KNTC2|KNTC2
entrezgene|AW123553|320938	mgi_symbol|Tnpo3|Tnpo3
entrezgene|AI850558|232345	mgi_symbol|A2m|A2m
entrezgene|AA816121|229900	mgi_symbol|Dnr12|Dnr12
entrezgene|AI642048|18035	mgi_symbol|Nfkbia|Nfkbia
entrezgene|AI931876|73124	mgi_symbol|Golph4|Golph4
entrezgene|AI838669|66997	mgi_symbol|Psmd12|Psmd12
entrezgene|AW122337|56438	mgi_symbol|Rbx1|Rbx1
entrezgene|L00993|20823	mgi_symbol|Ssb|Ssb
embl|X16672|X16672	mgi_symbol|IAP|IAP
entrezgene|S78454|17765	mgi_symbol|Mtf2|Mtf2
entrezgene|L04961|213742	mgi_symbol|Xist|Xist
entrezgene|AA796831|67332	mgi_symbol|Snrpd3|Snrpd3
entrezgene|X76653|11819	mgi_symbol|Nr2f2|Nr2f2
embl|X00686|X00686	mgi_symbol|Rn18s|Rn18s
embl|AW050268|AW050268	mgi_symbol|Bat2|Bat2
entrezgene|AW060657|67037	mgi_symbol|Pmf1|Pmf1
entrezgene|AI325802|67459	mgi_symbol|NVL|NVL
entrezgene|AA606878|30791	mgi_symbol|Slc39a1|Slc39a1
entrezgene|AB009392|15388	mgi_symbol|Hnrpl|Hnrpl
entrezgene|AB021491|56463	mgi_symbol|Snd1-pending|Snd1-pending
entrezgene|AI835709|75617	mgi_symbol|Rps25|Rps25
embl|AW125311|AW125311	mgi_symbol|Gga1|Gga1
embl|AI153421|AI153421	mgi_symbol|EDR|EDR
entrezgene|AI841858|66425	mgi_symbol|Pcp4l1|Pcp4l1
embl|AW122807|AW122807	mgi_symbol|Ap2a2|Ap2a2
embl|M17327|M17327	mgi_symbol|MUSMLVPB|MUSMLVPB
embl|L39879|L39879	mgi_symbol|Ftl1|Ftl1
entrezgene|AA864065|235442	mgi_symbol|Rab8b|Rab8b
embl|U20857|U20857	mgi_symbol|Rangap1|Rangap1
