UID	NAME	EH2	EH6	EH1	EH3	EH5	EH4
A_01_P011624	||  || A_01_P011624 ||  || Homo sapiens homeo box B6 (HOXB6), transcript variant 3, mRNA [NM_156036] ||  ||  || 6288905	-0.97	-0.99	-1.03	-2.09	-2.09	-2.17
A_01_P017790	||  || A_01_P017790 ||  || Homo sapiens zinc finger protein 18 (KOX 11) (ZNF18), mRNA. [NM_144680] ||  ||  || 6276549	-0.84	-0.95	-0.92	-0.23	-0.32	-0.31
A_01_P017510	||  || A_01_P017510 ||  || Homo sapiens ribosomal protein L10-like (RPL10L), mRNA. [NM_080746] ||  ||  || 6267478	0.44	0.47	0.51	0.96	0.87	0.93
A_01_P019395	||  || A_01_P019395 ||  || ILLUMIGEN_MCQ_27376 Katze_MMBR Macaca mulatta cDNA clone IBIUW:8139 5 similar to Bases 231 to 775 highly similar to human DOCK1 (Hs.437620), mRNA sequence [CN646906] ||  ||  || 6289778	0.1	0.24	0.11	-0.65	-0.61	-0.55
A_01_P000958	||  || A_01_P000958 ||  || Homo sapiens hypothetical protein SB153 (SB153), transcript variant 1, mRNA [NM_201400] ||  ||  || 6286090	-0.74	-0.73	-0.5	0.6	0.57	0.35
A_01_P002683	||  || A_01_P002683 ||  || Homo sapiens adrenergic, beta-1-, receptor (ADRB1), mRNA [NM_000684] ||  ||  || 6290490	1.29	1.44	1.6	0.15	-0.04	0.01
A_01_P005543	||  || A_01_P005543 ||  || Homo sapiens dystrophin related protein 2 (DRP2), mRNA. [NM_001939] ||  ||  || 6278931	0.6	0.48	0.59	-0.13	0	0
A_01_P011338	||  || A_01_P011338 ||  || Homo sapiens KIAA1387 protein (KIAA1387), mRNA [NM_020463] ||  ||  || 6285594	0.16	0.09	0.16	0.45	0.48	0.42
A_01_P005441	||  || A_01_P005441 ||  || Homo sapiens laeverin (FLJ90650), mRNA. [NM_173800] ||  ||  || 6285045	0.3	0.45	0.36	1.39	1.31	1.56
A_01_P010676	||  || A_01_P010676 ||  || Homo sapiens family with sequence similarity 31, member B (FAM31B), mRNA [NM_144977] ||  ||  || 6283422	0	-0.01	0	-0.24	-0.21	-0.21
A_01_P018006	||  || A_01_P018006 ||  || ILLUMIGEN_MCQ_5020 Katze_MMPL2 Macaca mulatta cDNA clone IBIUW:5844 5 similar to Bases 115 to 265 highly similar to human Unigene Hs.515463, mRNA sequence [CN641561] ||  ||  || 6269431	-0.42	-0.51	-0.38	-0.86	-0.8	-0.91
A_01_P006910	||  || A_01_P006910 ||  || Homo sapiens WD repeat domain 76 (WDR76), mRNA. [NM_024908] ||  ||  || 6268260	0.6	0	-0.08	2.29	3.08	2.6
A_01_P000072	||  || A_01_P000072 ||  || Homo sapiens TBC1 domain family, member 7 (TBC1D7), mRNA [NM_016495] ||  ||  || 6285773	0.36	0.19	0.24	0.98	0.96	0.78
A_01_P019701	||  || A_01_P019701 ||  || Homo sapiens chromosome 6 open reading frame 69 (C6orf69), mRNA. [NM_173562] ||  ||  || 6278891	0.52	0.45	0.4	1.15	1.1	0.96
A_01_P008539	||  || A_01_P008539 ||  || Homo sapiens similar to hepatocellular carcinoma-associated antigen HCA557b (LOC151194), mRNA. [NM_145280] ||  ||  || 6293974	0.89	0.78	0.67	2.03	2.09	1.74
A_01_P015341	||  || A_01_P015341 ||  || Homo sapiens retinoic acid receptor, gamma (RARG), mRNA [NM_000966] ||  ||  || 6279108	-0.16	-0.32	-0.33	0.31	0.41	0.37
A_01_P008941	||  || A_01_P008941 ||  || Homo sapiens NPC1 (Niemann-Pick disease, type C1, gene)-like 1 (NPC1L1), mRNA [NM_013389] ||  ||  || 6285636	-0.56	-0.07	-0.4	1.44	1.41	0.91
A_01_P014284	||  || A_01_P014284 ||  || Homo sapiens cystatin D (CST5), mRNA [NM_001900] ||  ||  || 6273686	0.5	0.72	0.66	-1.5	-2.13	-1.84
A_01_P015517	||  || A_01_P015517 ||  || Homo sapiens Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) (MDM2), transcript variant MDM2, mRNA. [NM_002392] ||  ||  || 6272531	1.16	1.4	1.35	2.4	2.21	2.05
A_01_P010700	||  || A_01_P010700 ||  || Homo sapiens olfactory receptor, family 8, subfamily D, member 1 (OR8D1), mRNA. [NM_001002917] ||  ||  || 6289656	0	0	-0.14	0.96	1.31	1.08
A_01_P019487	||  || A_01_P019487 ||  || Homo sapiens hypothetical protein MGC45840 (MGC45840), mRNA. [NM_173584] ||  ||  || 6285631	-0.37	-0.58	-0.48	-0.01	0.14	0.07
A_01_P002788	||  || A_01_P002788 ||  || Homo sapiens kallikrein 3, (prostate specific antigen) (KLK3), transcript variant 1, mRNA [NM_001648] ||  ||  || 6290652	0.39	0.04	0.46	-0.81	-1.05	-0.75
A_01_P009304	||  || A_01_P009304 ||  || Homo sapiens bone morphogenetic protein 10 (BMP10), mRNA [NM_014482] ||  ||  || 6291360	-0.06	-0.11	-0.38	-1.38	-1.47	-1.34
A_01_P000643	||  || A_01_P000643 ||  || Homo sapiens solute carrier family 7 (cationic amino acid transporter, y+ system), member 6 (SLC7A6), mRNA. [NM_003983] ||  ||  || 6284081	-0.45	-0.31	-0.04	-1.15	-1.43	-1.37
A_01_P004511	||  || A_01_P004511 ||  || Homo sapiens hyaluronoglucosaminidase 3 (HYAL3), mRNA [NM_003549] ||  ||  || 6271768	1.04	0.91	0.91	1.46	1.4	1.45
A_01_P010897	||  || A_01_P010897 ||  || Homo sapiens epiplakin 1 (EPPK1), mRNA. [NM_031308] ||  ||  || 6285997	-0.13	-0.55	-0.44	1.29	1.17	1.16
A_01_P014503	||  || A_01_P014503 ||  || ILLUMIGEN_MCQ_8662 Katze_MMBR Macaca mulatta cDNA clone IBIUW:22997 5 similar to Bases 209 to 532 highly similar to human Unigene Hs.525079, mRNA sequence [CO645152] ||  ||  || 6281879	-0.16	-0.1	-0.11	-0.4	-0.33	-0.43
A_01_P002667	||  || A_01_P002667 ||  ||  ||  ||  || 6270088	-0.2	-0.01	-0.05	-0.66	-0.74	-0.66
A_01_P002229	||  || A_01_P002229 ||  || Homo sapiens BCL2-like 11 (apoptosis facilitator) (BCL2L11), transcript variant 2, mRNA [NM_138622] ||  ||  || 6269563	0.85	0.82	0.67	0.19	0.35	0.35
A_01_P003447	||  || A_01_P003447 ||  || Homo sapiens COMM domain containing 3 (COMMD3), mRNA [NM_012071] ||  ||  || 6276134	0.08	0.11	-0.19	0.91	0.83	0.62
A_01_P010432	||  || A_01_P010432 ||  || Homo sapiens ubiquitin-conjugating enzyme E2 variant 2 (UBE2V2), mRNA. [NM_003350] ||  ||  || 6293363	0.01	-0.04	-0.06	-0.19	-0.28	-0.26
A_01_P015058	||  || A_01_P015058 ||  || PREDICTED: Macaca mulatta similar to spectrin repeat containing, nuclear envelope 2 isoform e (LOC706759), mRNA [XR_012522] ||  ||  || 6287085	-0.28	-0.48	-0.41	-0.78	-0.98	-0.85
A_01_P019273	||  || A_01_P019273 ||  || Homo sapiens phosphatidylethanolamine N-methyltransferase (PEMT), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA [NM_007169] ||  ||  || 6274931	0.01	-0.15	-0.04	0.4	0.52	0.31
A_01_P015967	||  || A_01_P015967 ||  || Homo sapiens neuronal protein (NP25), mRNA [NM_013259] ||  ||  || 6270258	-1.79	-1.22	-1.33	-0.03	0.46	-0.19
A_01_P012317	||  || A_01_P012317 ||  || Homo sapiens KIAA0863 protein (KIAA0863), mRNA. [NM_014913] ||  ||  || 6292520	-0.82	-0.87	-1.05	-0.49	-0.28	-0.32
A_01_P011251	||  || A_01_P011251 ||  || Homo sapiens ring finger and WD repeat domain 2 (RFWD2), transcript variant 1, mRNA [NM_022457] ||  ||  || 6267668	0.25	0.19	0.1	0.51	0.59	0.52
A_01_P003867	||  || A_01_P003867 ||  || Homo sapiens synaptogyrin 4 (SYNGR4), mRNA [NM_012451] ||  ||  || 6293783	-0.73	-0.4	-0.66	0.32	0.51	0.1
A_01_P012276	||  || A_01_P012276 ||  || Homo sapiens late cornified envelope 3A (LCE3A), mRNA. [NM_178431] ||  ||  || 6284830	0.49	0.19	0.29	0.87	0.97	1.13
A_01_P012368	||  || A_01_P012368 ||  || PREDICTED: Homo sapiens hypothetical protein LOC219854 (LOC219854), mRNA [XM_166164] ||  ||  || 6267699	0.33	0	0.01	1.06	0.94	0.78
A_01_P013807	||  || A_01_P013807 ||  || Homo sapiens orthodenticle homolog 1 (Drosophila) (OTX1), mRNA. [NM_014562] ||  ||  || 6269196	-0.17	0	-0.22	-0.72	-0.52	-0.67
A_01_P007373	||  || A_01_P007373 ||  || PREDICTED: Macaca mulatta heat shock transcription factor 4 (HSF4), mRNA [XR_010449] ||  ||  || 6286007	-0.46	-0.55	-0.47	0.35	0.29	0.1
A_01_P019998	||  || A_01_P019998 ||  || ILLUMIGEN_MCQ_33838 Katze_MMPL1 Macaca mulatta cDNA clone IBIUW:12712 5 similar to Bases 1 to 709 highly similar to human MFTC (Hs.196270), mRNA sequence [CN803849] ||  ||  || 6275376	-0.08	-0.08	0.08	0.39	0.45	0.34
A_01_P007340	||  || A_01_P007340 ||  || ILLUMIGEN_MCQ_24884 Katze_MMBR Macaca mulatta cDNA clone IBIUW:10607 5 similar to Bases 254 to 768 highly similar to human Unigene Hs.25892, mRNA sequence [CN645791] ||  ||  || 6291513	-0.04	-0.77	-0.74	2.55	1.39	1.96
A_01_P009899	||  || A_01_P009899 ||  || Homo sapiens synovial sarcoma, X breakpoint 8 (SSX8), mRNA. [NM_174961] ||  ||  || 6268477	-0.01	0	-0.16	-0.69	-0.49	-0.75
A_01_P000066	||  || A_01_P000066 ||  || Homo sapiens suppressor of variegation 4-20 homolog 2 (Drosophila) (SUV420H2), mRNA. [NM_032701] ||  ||  || 6283258	0	-0.02	-0.21	-0.79	-0.52	-0.62
A_01_P017809	||  || A_01_P017809 ||  || Homo sapiens testis nuclear RNA-binding protein (Tenr), mRNA [NM_139243] ||  ||  || 6275851	0.56	0	0.76	2.22	1.86	2.73
A_01_P014254	||  || A_01_P014254 ||  || Homo sapiens ubiquitin-like 4 (UBL4), mRNA [NM_014235] ||  ||  || 6289838	-0.48	-0.64	-0.5	-0.13	0.11	-0.07
A_01_P004607	||  || A_01_P004607 ||  || Homo sapiens hypothetical protein FLJ25477 (FLJ25477), transcript variant 1, mRNA. [NM_152704] ||  ||  || 6277896	0	0	0	0.97	0.74	0.92
A_01_P018983	||  || A_01_P018983 ||  || Homo sapiens seryl-tRNA synthetase (SARS), mRNA. [NM_006513] ||  ||  || 6290722	-0.2	-0.34	-0.18	-0.7	-0.7	-0.75
A_01_P016774	||  || A_01_P016774 ||  || ILLUMIGEN_MCQ_40301 Katze_MMPB2 Macaca mulatta cDNA clone IBIUW:21538 5 similar to Bases 5 to 827 highly similar to human TXNDC (Hs.125221), mRNA sequence [CO647301] ||  ||  || 6284529	0.71	0.49	0.83	1.28	1.59	1.32
A_01_P018736	||  || A_01_P018736 ||  ||  ||  ||  || 6268860	1.52	1.04	1.79	3.4	2.9	2.71
A_01_P003785	||  || A_01_P003785 ||  || Homo sapiens asparagine-linked glycosylation 2 homolog (yeast, alpha-1,3-mannosyltransferase) (ALG2), transcript variant 1, mRNA. [NM_033087] ||  ||  || 6273942	0.07	0.08	-0.02	0.35	0.41	0.26
A_01_P017198	||  || A_01_P017198 ||  || Homo sapiens chromosome 9 open reading frame 89 (C9orf89), mRNA. [NM_032310] ||  ||  || 6280385	0.43	0.34	0.5	0.95	0.95	0.93
A_01_P017925	||  || A_01_P017925 ||  || Homo sapiens hypothetical protein MGC34648 (MGC34648), mRNA. [NM_152660] ||  ||  || 6270180	-0.47	-0.3	-0.21	0.27	0.19	0.51
A_01_P014470	||  || A_01_P014470 ||  || Homo sapiens nuclear distribution gene C homolog (A. nidulans) (NUDC), mRNA [NM_006600] ||  ||  || 6284783	-0.43	-0.41	-0.56	-0.71	-0.83	-0.81
A_01_P011787	||  || A_01_P011787 ||  || Macaca mulatta proton-dependent dipeptide transporter PEPT1 mRNA, complete cds [AY289934] ||  ||  || 6293547	0.63	0.9	1.77	-1.57	-1.33	-0.73
A_01_P013693	||  || A_01_P013693 ||  || Homo sapiens eukaryotic translation initiation factor 4E (EIF4E), mRNA. [NM_001968] ||  ||  || 6277034	0.66	0.54	0.48	1.22	1.14	0.95
A_01_P015664	||  || A_01_P015664 ||  || Homo sapiens surfeit 6 (SURF6), mRNA. [NM_006753] ||  ||  || 6293683	0.05	0.09	-0.06	-0.48	-0.65	-0.79
A_01_P015793	||  || A_01_P015793 ||  || Homo sapiens adaptor-related protein complex 3, sigma 1 subunit (AP3S1), mRNA [NM_001284] ||  ||  || 6283912	0.32	0.47	0.27	1.07	0.89	0.78
A_01_P012357	||  || A_01_P012357 ||  || Homo sapiens solute carrier family 25, member 35 (SLC25A35), mRNA. [NM_201520] ||  ||  || 6283085	-0.35	-0.32	-0.59	-0.88	-1.17	-1
A_01_P016903	||  || A_01_P016903 ||  || Homo sapiens a disintegrin and metalloproteinase domain 29 (ADAM29), transcript variant 2, mRNA. [NM_021780] ||  ||  || 6267537	0	0	0.11	-0.39	-0.24	-0.43
