Curated Gene Symbol	Correlation	Weight	Oligo ID	Gene Name	Full Name
GCGR	negative	-0.00221849	A_23_P15751	GCGR	Glucagon receptor
SYN3	negative	-0.00169694	A_32_P424973	SYN3	Synapsin III
PTN	negative	-0.0016072	A_23_P303087	PTN	Pleiotrophin
EBF1	negative	-0.0015712	A_24_P156501	EBF	Early B-cell factor 1
NXPH1	negative	-0.00140416	A_23_P111604	NXPH1	Neurexophilin 1
B3GALT1	negative	-0.00098866	A_32_P154361	B3GALT1	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypep.1
ZFP36	negative	-0.00097943	A_23_P39237	ZFP36	Zinc finger protein 36
	negative	-0.00094051			Transcribed locus
VSTM2A	negative	-0.00093836	A_23_P157027	VSTM2A	V-set and transmembrane domain containing 2A
MEIS2	negative	-0.00085168	A_24_P82200	MEIS2	Meis homeobox 2
NR2F1	negative	-0.00083004	A_23_P348737	NR2F1	Nuclear receptor subfamily 2, group F, member 1
	negative	-0.00082707	A_32_P197561	CDNA FLJ39389fis
SOWAHA	negative	-0.00077276	A_23_P304110	ANKRD43	Ankyrin repeat domain 43
	negative	-0.00077171	A_32_P134756	BC013657.1	Transcribed Locus
RPS4Y1	negative	-0.00077099	A_23_P259314	RPS4Y	Ribosomal protein S4, Y-linked 1
CEBPD	negative	-0.00076906	A_23_P31810	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta
CBLN2	negative	-0.00075677	A_23_P15889	CBLN2	Cerebellin 2 precursor
XKR4	negative	-0.00074804	A_32_P134007	XKR4	XK, Kell blood group complex subunit-related family, member 4
CNTNAP2	negative	-0.00074105	A_23_P84399	CNTNAP2	Contactin associated protein-like 2
ARHGAP36	negative	-0.00073515	A_23_P72968	FLJ30058	Hypothetical protein FLJ30058
PDE4DIP	negative	-0.00072842	A_32_P110550	PDE4DIP	Phosphodiesterase 4D interacting protein (myomegalin)
PCP4	negative	-0.00072187	A_23_P109322	PCP4	Purkinje cell protein 4
ALCAM	negative	-0.00071677	A_23_P41227	ALCAM	Activated leukocyte cell adhesion molecule
NPFF	negative	-0.00071137	A_23_P204079	NPFF	Neuropeptide FF-amide peptide precursor
PRKCB	negative	-0.00070953	A_23_P206585	PRKCB1	protein kinase C, beta 1
TMSB4XP4	positive	0.00154154	A_24_P374516	TMSL4	Thymosin-like 4
RGS5	positive	0.00141718	A_23_P51518	RGS5	Regulator of G-protein signaling 5
RET	positive	0.0012393	A_23_P202245	RET	Ret proto-oncogene
MND1	positive	0.00121536	A_23_P133123	MND1	Meiotic nuclear divisions 1 homolog (S. cerevisiae)
ACTG2	positive	0.00115029	A_23_P39955	ACTG2	Actin, gamma 2, smooth muscle, enteric
NPY2R	positive	0.00114435	A_23_P58169	NPY2R	Neuropeptide Y receptor Y2
	positive	0.00112732	A_32_P73903	cDNA cloneIMAGp998N123519
MAD2L1	positive	0.00111062	A_23_P92441	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
S100A6	positive	0.00105032	A_23_P201711	S100A6	S100 calcium binding protein A6
CENPA	positive	0.00099041	A_24_P413884	CENPA	Centromere protein A
NCAN	positive	0.00098769	A_23_P153797	NCAN	Neurocan
UBD	positive	0.0009448	A_23_P81898	UBD	Ubiquitin D
LY6H	positive	0.00091857	A_23_P134914	LY6H	Lymphocyte antigen 6 complex, locus H
HIST1H1C	positive	0.00090004	A_23_P122443	HIST1H1C	Histone cluster 1, H1c
LGALS1	positive	0.0008601	A_23_P166459	LGALS1	Lectin, galactoside-binding, soluble, 1 (galectin 1)
DDX1	positive	0.00084656	A_23_P108554	DDX1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1
RGS5	positive	0.00084585	A_23_P46045	RGS5	Regulator of G-protein signaling 5
NDC80	positive	0.00084415	A_23_P50108	NDC80	NDC80 homolog, kinetochore complex component
MUC15	positive	0.00082246	A_23_P24332	MUC15	Mucin 15, cell surface associated
RPL22L1	positive	0.00074805	A_23_P143958	RPL22L1	Ribosomal protein L22-like 1
DLK1	positive	0.00074776	A_24_P236251	DLK1	Delta-like 1 homolog (Drosophila)
CDCA5	positive	0.00074638	A_23_P104651	CDCA5	Cell division cycle associated 5
CCNB2	positive	0.00073887	A_23_P65757	CCNB2	Cyclin B2
HP	positive	0.00073445	A_23_P206760	HP	Haptoglobin
GAL	positive	0.00072287	A_23_P374844	GAL	Galanin
