Gene	Gene Annotation	Alternative Exon Usage (P value)
CHD2	chromodomain helicase DNA binding protein 2	7.61E-21
MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	1.62E-17
NBPF11	neuroblastoma breakpoint family member 11	1.21E-16
PARG	poly (ADP-ribose) glycohydrolase	4.34E-15
FOXK2	forkhead box K2	8.88E-14
ANKRD10	ankyrin repeat domain 10	8.45E-13
PLEC1	plectin 1 intermediate filament binding protein 500kDa	9.89E-13
FLJ12120	hypothetical LOC388439	7.04E-12
UTY	ubiquitously transcribed tetratricopeptide repeat gene Y-linked	8.95E-12
NFYA	nuclear transcription factor Y alpha	2.08E-11
GNB2L1	guanine nucleotide binding protein (G protein) beta polypeptide 2-like 1	1.45E-09
ZDHHC11	zinc finger DHHC-type containing 11	1.64E-09
MDN1	MDN1 midasin homolog (yeast)	3.24E-09
GPATCH2	G patch domain containing 2	3.96E-09
GABRE	gamma-aminobutyric acid (GABA) A receptor epsilon	1.25E-08
MCM5	minichromosome maintenance complex component 5	1.63E-08
CTGLF10P	centaurin gamma-like family member 10 pseudogene	1.92E-08
MYH9	myosin heavy chain 9 non-muscle	2.31E-08
CTGLF4	centaurin gamma-like family member 4	4.44E-08
RNF31	ring finger protein 31	0.000000053
CD44	CD44 molecule (Indian blood group)	0.000000055
ADPGK	ADP-dependent glucokinase	5.73E-08
DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	5.77E-08
LOC729096	similar to BMS1-like ribosome assembly protein	7.53E-08
SNORA71B	small nucleolar RNA H/ACA box 71B	0.000000089
PTBP2	polypyrimidine tract binding protein 2	0.000000092
C20orf199	chromosome 20 open reading frame 199	0.000000115
RPL24	ribosomal protein L24	0.000000122
CHKB	choline kinase beta	0.000000137
CLK2	CDC-like kinase 2	0.000000175
DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	0.000000192
TMEM33	transmembrane protein 33	0.000000231
CBWD5	COBW domain containing 5	0.000000293
CROP	cisplatin resistance-associated overexpressed protein	0.000000301
PRKXP1	protein kinase X-linked pseudogene 1	0.000000342
NDEL1	nudE nuclear distribution gene E homolog (A. nidulans)-like 1	0.00000035
SETX	senataxin	0.000000359
T1560	T1560 protein	0.000000403
ERCC6	excision repair cross-complementing rodent repair deficiency complementation group 6	0.000000409
RANBP5	RAN binding protein 5	0.000000422
NUPL2	nucleoporin like 2	0.000000492
SFRS8	splicing factor arginine/serine-rich 8 (suppressor-of-white-apricot homolog Drosophila)	0.000000613
SNRPN	small nuclear ribonucleoprotein polypeptide N	0.000000655
LOC728888	similar to Protein KIAA0220	0.000000693
RPL4	ribosomal protein L4	0.000000743
NOL5A	nucleolar protein 5A (56kDa with KKE/D repeat)	0.00000089
COPA	coatomer protein complex subunit alpha	0.00000102
UHRF2	ubiquitin-like containing PHD and RING finger domains 2	0.00000102
C2orf3	chromosome 2 open reading frame 3	0.00000103
NBPF9	neuroblastoma breakpoint family member 9	0.00000108
LOC51233	hypothetical protein LOC51233	0.00000163
NFS1	NFS1 nitrogen fixation 1 homolog (S. cerevisiae)	0.00000183
NUP155	nucleoporin 155kDa	0.00000228
C6orf48	chromosome 6 open reading frame 48	0.00000277
