miR	Gene Symbol	Gene name	ProbeID	Fold-change	p-value	Biological process and Molecular function
hsa-miR-142-3p	ZCCHC14	zinc finger, CCHC domain containing 14	200292	0.759	0.035	unclassified
hsa-miR-142-3p	XPO1	exportin 1 (CRM1 homolog, yeast)	105030	0.748	0.002	Intracellular protein transport|IRG
hsa-miR-142-3p	ATAD2	ATPase family, AAA domain containing 2	114584	0.745	0.007	Hydrolase activity
hsa-miR-142-3p	TRIM33	tripartite motif-containing 33	134526	0.714	0.004	Transcription cofactor;Nucleic acid binding|Transcription factor
hsa-miR-142-3p	RAB1A	RAB1A, member RAS oncogene family	122650	0.704	0.045	G-protein|Small GTPase|Select regulatory molecule
hsa-miR-142-3p	TFG	TRK-fused gene	210281	0.686	0.026	unclassified
hsa-miR-142-3p	PMPCB	peptidase (mitochondrial processing) beta	210046	0.684	0.015	Oxidoreductase activity|IRG
hsa-miR-142-3p	ZNF226	zinc finger protein 226	178824	0.682	0.043	Zinc finger transcription factor
hsa-miR-142-3p	ANKHD1	ankyrin repeat and KH domain containing 1	224628	0.658	0.006	unclassified
hsa-miR-142-3p	CXADR	coxsackie virus and adenovirus receptor	108284	0.62	0.025	Other receptor|Receptor
hsa-miR-142-3p	CHAF1B	chromatin assembly factor 1, subunit B (p60)	174351	0.586	0.017	Nucleic acid binding|Chromatin/chromatin-binding protein
hsa-miR-142-3p	HMGB1	high-mobility group box 1	151074	0.586	0.011	Proinflammatory cytokine|IRG
hsa-miR-142-3p	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	109165	0.551	0	unclassified
hsa-miR-142-3p	COG4	component of oligomeric golgi complex 4	151150	0.394	0.042	Other RNA-binding protein|Nucleic acid binding
hsa-miR-142-3p	USH1C	Usher syndrome 1C (autosomal recessive, severe)	195953	0.367	0.016	Cytoskeletal protein
