Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	INTERPRO Domain	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_24_P196704	chr7:104715141-104715200	MLL5	NM_182931	Myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)	molecular function|enzyme binding|IPI|GO:0019899|GOA|19377461//molecular function|histone methyltransferase activity (H3-K4 specific)|IDA|GO:0042800|GOA|19377461//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|methyltransferase activity|IEA|GO:0008168|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|19377461//molecular function|transcription coactivator activity|IMP|GO:0003713|GOA|19377461//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|DNA methylation|ISS|GO:0006306|GOA|na//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|cell cycle arrest|IEA|GO:0007050|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|erythrocyte differentiation|ISS|GO:0030218|GOA|na//biological process|histone methylation|IDA|GO:0016571|GOA|19377461//biological process|neutrophil activation|ISS|GO:0042119|GOA|na//biological process|neutrophil mediated immunity|ISS|GO:0002446|GOA|na//biological process|positive regulation of transcription, DNA-dependent|IMP|GO:0045893|GOA|19377461//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|response to retinoic acid|IMP|GO:0032526|GOA|19377461//biological process|retinoic acid receptor signaling pathway|IMP|GO:0048384|GOA|19377461//cellular component|MLL5-L complex|IDA|GO:0070688|GOA|19377461//cellular component|nuclear speck|IEA|GO:0016607|GOA|na//cellular component|nucleus|TAS|GO:0005634|GOA|19377461	IPR001214:SET,IPR001965:Zinc finger, PHD-type,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,	F	16	0.8324	-1.2013	0.0012	1245.8109	1021.6635
A_32_P841049	chr7:19036657-19036716	HDAC9	NM_178425	Histone deacetylase 9	molecular function|histone deacetylase activity|IDA|GO:0004407|GOA|11535832//molecular function|histone deacetylase binding|IPI|GO:0042826|GOA|12590135//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|12590135//molecular function|protein deacetylase activity|IDA|GO:0033558|GOA|11535832//molecular function|specific transcriptional repressor activity|IDA|GO:0016566|GOA|11535832//molecular function|transcription corepressor activity|ISS|GO:0003714|GOA|na//molecular function|transcription factor binding|IDA|GO:0008134|GOA|11535832//molecular function|transcription factor binding|IPI|GO:0008134|GOA|ARRAY(0x19fbc98)//molecular function|transcription repressor binding|IDA|GO:0070491|GOA|12590135//molecular function|transcription repressor binding|IPI|GO:0070491|GOA|17360565//molecular function|transcription repressor binding|ISS|GO:0070491|GOA|na//biological process|B cell activation|TAS|GO:0042113|GOA|12711221//biological process|B cell differentiation|TAS|GO:0030183|GOA|12711221//biological process|cellular response to insulin stimulus|IDA|GO:0032869|GOA|19303849//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|heart development|ISS|GO:0007507|GOA|na//biological process|histone deacetylation|IDA|GO:0016575|GOA|11535832//biological process|inflammatory response|TAS|GO:0006954|GOA|12711221//biological process|negative regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010553|GOA|11535832//biological process|negative regulation of transcription from RNA polymerase II promoter|IDA|GO:0000122|GOA|10655483//biological process|peptidyl-lysine deacetylation|IDA|GO:0034983|GOA|11535832//biological process|positive regulation of cell migration involved in sprouting angiogenesis|IMP|GO:0090050|GOA|19351956//biological process|regulation of skeletal muscle fiber development|ISS|GO:0048742|GOA|na//biological process|regulation of striated muscle cell differentiation|ISS|GO:0051153|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|12590135//cellular component|cytoplasm|TAS|GO:0005737|GOA|12711221//cellular component|histone deacetylase complex|TAS|GO:0000118|GOA|12711221//cellular component|histone methyltransferase complex|ISS|GO:0035097|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|12590135//cellular component|nucleus|NAS|GO:0005634|GOA|na//cellular component|transcription factor complex|IDA|GO:0005667|GOA|ARRAY(0x15d75a0)	IPR000286:Histone deacetylase superfamily,IPR017320:Histone deacetylase class II, eukaryotic,	F	15	0.7368	-1.3572	0.0006	16.0846	11.8369
A_24_P759314	chr9:6723652-6723711	KDM4C	BC042976	Lysine (K)-specific demethylase 4C	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR001965:Zinc finger, PHD-type,IPR002999:Tudor domain,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR003349:Transcription factor jumonji, JmjN,IPR013129:Transcription factor jumonji,IPR019786:Zinc finger, PHD-type, conserved site,	M	14	1.2998	1.2998	0.0004	10.0519	12.7634
A_24_P102512	chr22:24452654-24452705	CABIN1	NM_012295	Calcineurin binding protein 1	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|phosphoprotein phosphatase inhibitor activity|NAS|GO:0004864|GOA|9655484//molecular function|protein phosphatase 2B binding|IEA|GO:0030346|GOA|na//biological process|cell surface receptor linked signaling pathway|NAS|GO:0007166|GOA|9655484//biological process|chromatin modification|IEA|GO:0016568|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|na	IPR001440:Tetratricopeptide TPR-1,IPR011990:Tetratricopeptide-like helical,IPR013026:Tetratricopeptide region,IPR015134:MEF2 binding,IPR019734:Tetratricopeptide repeat,	F	15	0.8095	-1.2353	3.7684E-06	383.7133	310.7003
A_24_P196298	chr11:118354935-118354994	MLL	NM_005933	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	molecular function|AT DNA binding|NAS|GO:0003680|GOA|1423624//molecular function|RNA polymerase II transcription factor activity|TAS|GO:0003702|GOA|10821850//molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|histone acetyl-lysine binding|IDA|GO:0070577|GOA|19187761//molecular function|histone methyltransferase activity (H3-K4 specific)|IDA|GO:0042800|GOA|ARRAY(0xf4a990)//molecular function|histone methyltransferase activity (H3-K4 specific)|IMP|GO:0042800|GOA|15960975//molecular function|identical protein binding|IPI|GO:0042802|GOA|11313484//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|methyltransferase activity|IEA|GO:0008168|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xb98e18)//molecular function|protein homodimerization activity|IDA|GO:0042803|GOA|11313484//molecular function|transcription factor activity|NAS|GO:0003700|GOA|10821850//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|unmethylated CpG binding|IDA|GO:0045322|GOA|16990798//molecular function|zinc ion binding|IDA|GO:0008270|GOA|ARRAY(0x1a5a0f4)//biological process|DNA methylation|IEA|GO:0006306|GOA|na//biological process|anterior/posterior pattern formation|IEA|GO:0009952|GOA|na//biological process|apoptosis|IEA|GO:0006915|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|embryonic hemopoiesis|TAS|GO:0035162|GOA|15618964//biological process|histone H3-K4 methylation|IDA|GO:0051568|GOA|19556245//biological process|histone H3-K4 methylation|IMP|GO:0051568|GOA|15960975//biological process|histone H4-K16 acetylation|IMP|GO:0043984|GOA|15960975//biological process|negative regulation of cell proliferation|IEA|GO:0008285|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|positive regulation of transcription, DNA-dependent|IMP|GO:0045893|GOA|15960975//biological process|protein complex assembly|IDA|GO:0006461|GOA|15199122//biological process|regulation of histone H3-K4 methylation|IEA|GO:0051569|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|10821850//cellular component|MLL1 complex|IDA|GO:0071339|GOA|15960975//cellular component|histone methyltransferase complex|IDA|GO:0035097|GOA|19556245//cellular component|nuclear part|IEA|GO:0044428|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xe5378c)//cellular component|nucleus|NAS|GO:0005634|GOA|1423624	IPR000038:Cell division/GTP binding protein,IPR000637:HMG-I and HMG-Y, DNA-binding, conserved site,IPR001214:SET,IPR001487:Bromodomain,IPR001965:Zinc finger, PHD-type,IPR002857:Zinc finger, CXXC-type,IPR003616:Post-SET zinc-binding region,IPR003888:FY-ric	F	14	0.7124	-1.4037	0.000001743	41.6574	28.9759
A_24_P840688	chr7:151917785-151919110	MLL3	NM_170606	Myeloid/lymphoid or mixed-lineage leukemia 3	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|histone-lysine N-methyltransferase activity|IEA|GO:0018024|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|methyltransferase activity|IEA|GO:0008168|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|intracellular signaling cascade|IEA|GO:0007242|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR000637:HMG-I and HMG-Y, DNA-binding, conserved site,IPR000910:High mobility group, HMG1/HMG2,IPR001214:SET,IPR001594:Zinc finger, DHHC-type,IPR001841:Zinc finger, RING-type,IPR001965:Zinc finger, PHD-type,IPR002219:Protein kinase C-like, phorbol ester/	F	15	0.7538	-1.3266	7.1829E-07	327.8291	243.7043
A_24_P367666	chr1:155448859-155448918	ASH1L	NM_018489	Ash1 (absent, small, or homeotic)-like (Drosophila)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|RNA polymerase II transcription factor activity|TAS|GO:0003702|GOA|10860993//molecular function|histone-lysine N-methyltransferase activity|IEA|GO:0018024|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|methyltransferase activity|IEA|GO:0008168|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|DNA packaging|TAS|GO:0006323|GOA|10860993//biological process|cell-cell signaling|TAS|GO:0007267|GOA|10860993//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|10860993//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|tight junction|IEA|GO:0005923|GOA|na	IPR001025:Bromo adjacent region,IPR001214:SET,IPR001487:Bromodomain,IPR001965:Zinc finger, PHD-type,IPR003616:Post-SET zinc-binding region,IPR006560:AWS,IPR017956:AT hook, DNA-binding, conserved site,IPR018359:Bromodomain, conserved site,IPR019786:Zinc fi	F	15	0.7078	-1.4129	6.6498E-07	240.5105	165.2097
A_23_P142872	chr2:85536678-85536737	TCF7L1	NM_031283	Transcription factor 7-like 1 (T-cell specific, HMG-box)	molecular function|DNA binding|NAS|GO:0003677|GOA|ARRAY(0x4a8ea68)//molecular function|beta-catenin binding|IEA|GO:0008013|GOA|na//molecular function|transcription factor activity|NAS|GO:0003700|GOA|ARRAY(0x1c89e54)//biological process|anterior/posterior axis specification, embryo|IEA|GO:0008595|GOA|na//biological process|axial mesoderm morphogenesis|IEA|GO:0048319|GOA|na//biological process|chromatin organization|NAS|GO:0006325|GOA|ARRAY(0x1c0a528)//biological process|negative regulation of transcription, DNA-dependent|IEA|GO:0045892|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter, mitotic|IEA|GO:0046022|GOA|na//biological process|regulation of Wnt receptor signaling pathway|NAS|GO:0030111|GOA|ARRAY(0x1806864)//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|ARRAY(0x18e2f50)//biological process|stem cell differentiation|IEA|GO:0048863|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|ARRAY(0xd556cc)	IPR000910:High mobility group, HMG1/HMG2,IPR013558:CTNNB1 binding, N-teminal,	F	14	0.805	-1.2422	5.361E-07	665.2993	529.9811
A_23_P4014	chr17:2203709-2203767	SMG6	NM_017575	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|endonuclease activity|IEA|GO:0004519|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|12699629//molecular function|telomeric DNA binding|IDA|GO:0042162|GOA|12699629//biological process|mRNA export from nucleus|TAS|GO:0006406|GOA|16488880//biological process|nuclear-transcribed mRNA catabolic process, nonsense-mediated decay|TAS|GO:0000184|GOA|16488880//biological process|regulation of dephosphorylation|TAS|GO:0035303|GOA|15721257//biological process|telomere maintenance|IMP|GO:0000723|GOA|12699629//cellular component|chromosome|IEA|GO:0005694|GOA|na//cellular component|chromosome, telomeric region|IEA|GO:0000781|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|14636577//cellular component|nucleolus|IEA|GO:0005730|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|14636577//cellular component|telomerase holoenzyme complex|TAS|GO:0005697|GOA|12699629	IPR006596:Nucleotide binding protein, PINc,IPR019458:Telomerase activating protein Est1,	F	15	0.6927	-1.4436	3.1078E-07	99.017	66.7443
A_23_P117515	chr14:58838770-58838829	ARID4A	NM_023001	AT rich interactive domain 4A (RBP1-like)	molecular function|DNA binding|IDA|GO:0003677|GOA|15640446//molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|12724404//molecular function|protein binding|TAS|GO:0005515|GOA|1857421//molecular function|transcription factor activity|TAS|GO:0003700|GOA|8414517//molecular function|transcription repressor activity|IDA|GO:0016564|GOA|12724404//biological process|chromatin assembly or disassembly|IEA|GO:0006333|GOA|na//biological process|negative regulation of transcription, DNA-dependent|IDA|GO:0045892|GOA|12724404//biological process|negative regulation of transcription, DNA-dependent|IPI|GO:0045892|GOA|11283269//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|8414517//cellular component|chromatin|IEA|GO:0000785|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|transcriptional repressor complex|IDA|GO:0017053|GOA|11283269//cellular component|transcriptional repressor complex|IPI|GO:0017053|GOA|12724404	IPR000953:Chromo domain,IPR001606:AT-rich interaction region,IPR002999:Tudor domain,IPR012603:RBB1NT,	F	15	0.8665	-1.1541	2.7665E-07	1093.0765	946.4949
