hg18.refGene.name	chrom	strand	start	end	gene symbol	E3Diff	E6Diff	E9Diff	E12Diff	E24Diff	E48Diff	?with RNAPII peaks +/- 1Kb around TSS
NM_017436	chr22	-	41418070	41446820	A4GALT	0.3279	0.405	0.4179	0.4188	-0.2968	-0.0208	Yes
NM_001040876	chr4	+	146238605	146270126	ABCE1	0.2488	0.3669	0.6249	0.7393	0.9009	0.326	Yes
NM_000017	chr12	+	119647953	119662194	ACADS	0.3146	0.3611	0.1925	-0.6946	-0.5681	-0.0115	Yes
NM_022914	chr16	-	66248915	66252219	ACD	0.1461	0.2712	0.391	0.0229	0.129	-0.0115	Yes
NM_152331	chr14	+	73128162	73132223	ACOT4	0.3654	0.3463	0.3891	0.0154	-0.124	0.3812	Yes
NM_001111036	chr19	-	11546474	11550801	ACP5	0.1453	0.5581	0.0959	-0.0155	-0.0937	-0.131	No
NM_001097	chr22	+	49523517	49530593	ACR	-0.037	0.6413	0.2256	0.1163	-0.006	0.1398	No
NM_030812	chr1	+	17954394	18026143	ACTL8	0.4294	0.3388	0.3992	0.1749	0.1512	0.1093	No
NM_080722	chr10	+	72102564	72192201	ADAMTS14	0.702	0.3448	0.1153	0.0033	-0.3153	-0.0552	No
NM_004036	chr2	-	24895541	24995559	ADCY3	0.2172	0.4846	0.5466	0.8933	0.217	0.2097	Yes
NM_001048230	chr1	+	201363458	201403156	ADORA1	0.5716	0.2006	0.1324	-0.1043	-0.1028	-0.1234	Yes
NM_000026	chr22	+	39072449	39092521	ADSL	-0.0404	0.4274	0.5164	0.3663	0.352	0.5255	Yes
NM_176813	chr7	-	16865554	16888138	AGR3	0.8195	1.4153	1.4241	1.8062	2.5418	2.7575	No
NM_031900	chr5	-	35033962	35083833	AGXT2	0.5388	0.114	0.2226	-0.0804	-0.4167	0.1741	No
NM_203464	chr1	+	65385819	65465763	AK3L1	-0.1644	0.5344	0.4831	0.7198	0.5522	0.9339	Yes
NM_003488	chr17	+	52517551	52553709	AKAP1	0.4948	0.1325	0.1893	0.4013	0.404	-3.00E-04	Yes
NM_004857	chr14	+	64001969	64010974	AKAP5	0.2592	0.3678	0.2192	-0.0942	0.1173	-0.1771	Yes
NM_030767	chr9	-	116136254	116196506	AKNA	0.4671	0.2569	0.1808	-0.0154	0.4555	0.2196	No
NM_001001655	chr12	-	108010375	108015676	ALKBH2	0.2765	0.6417	0.213	0.2445	0.1856	0.1775	Yes
NM_032878	chr19	-	41191861	41196981	ALKBH6	0.2978	0.3289	0.1798	-0.481	0.0026	-0.057	Yes
NM_001634	chr6	+	111302679	111323606	AMD1	0.6502	0.3177	0.5983	0.7701	1.1553	0.7308	Yes
NM_139156	chr1	+	109963981	109976200	AMPD2	0.1777	0.9732	0.3012	0.6205	-0.1333	-0.5132	Yes
NM_133463	chr7	+	2685688	2721595	AMZ1	0.217	0.3224	0.2954	0.2329	0.332	0.1847	Yes
NM_054027	chr5	-	14757908	14924887	ANKH	0.236	0.3663	0.2282	0.3348	0.2667	0.2539	Yes
NM_152345	chr17	+	24944652	24965905	ANKRD13B	-0.1156	0.6284	0.4771	0.4156	0.0625	-0.0687	Yes
NM_019046	chr10	-	5943696	5971866	ANKRD16	0.4345	0.6009	0.2869	0.0176	0.0541	0.0399	Yes
NM_020349	chr10	+	99322245	99333631	ANKRD2	0.4474	0.6185	0.3407	0.0356	-0.1843	0.0595	Yes
NM_001003954	chr8	-	124762214	124818828	ANXA13	-0.0271	0.611	0.283	-0.0181	-0.3367	0.2933	No
NM_009590	chr17	+	38250134	38256251	AOC2	0.6841	0.4731	0.1131	0.2557	-0.145	-0.0428	No
NM_145730	chr22	-	28053668	28114569	AP1B1	0.3447	0.4718	0.0668	0.3708	0.1314	0.2678	Yes
NM_003491	chrX	-	152848570	152853662	ARD1A	0.2604	0.3569	0.4116	0.2339	0.2238	-0.1309	Yes
NM_001657	chr4	+	75529716	75539590	AREG	0.0894	0.4988	0.7254	0.5168	1.459	1.3939	Yes
NM_173728	chr17	+	8154314	8166554	ARHGEF15	0.2392	0.4436	0.1076	0.007	0.0508	0.0103	No
NM_057091	chr1	+	44171578	44175498	ARTN	0.2775	0.0762	0.4612	0.1404	0.1864	0.4794	Yes
NM_024769	chr11	-	122448242	122571217	ASAM	0.3153	0.462	0.0121	-0.087	-0.0892	-0.0079	No
NM_024701	chr10	-	5720825	5748564	ASB13	0.9315	0.5349	-0.0133	0.5816	0.3699	0.3155	Yes
NM_024083	chr17	+	77528714	77568571	ASPSCR1	0.2148	0.5186	0.1767	0.0593	-0.3077	-0.5471	Yes
NM_018188	chr1	+	1437417	1459927	ATAD3A	0.1246	0.4245	0.3159	0.4847	0.3501	-0.0936	Yes
NM_001678	chr17	+	7494978	7501814	ATP1B2	0.4935	0.5027	0.0935	-0.0781	-0.0288	0.0761	No
NM_144583	chr2	+	10779225	10842687	ATP6V1C2	0.0494	0.5672	0.3934	0.3407	0.1147	0.4177	Yes
NM_032166	chr3	+	48463221	48482058	ATRIP	0.1153	0.1091	0.5872	0.469	0.61	0.801	Yes
NM_153340	chr1	+	109828083	109836941	ATXN7L2	0.1863	0.6574	-0.01	0.0436	-0.002	-0.4905	Yes
NM_181575	chr2	-	74607282	74610482	AUP1	0.1577	0.5794	0.2094	0.0818	0.0429	0.0018	Yes
NM_181050	chr16	-	277440	342465	AXIN1	0.5959	0.2174	0.3959	0.5641	0.2008	-0.244	Yes
NM_030765	chr12	+	121254180	121258037	B3GNT4	0.3359	0.3118	0.1637	0.0051	0.399	-0.073	Yes
NM_003780	chr1	+	44217452	44229427	B4GALT2	-0.1066	0.494	0.4019	0.1782	0.176	-0.2747	Yes
NM_007255	chr5	+	176959777	176969937	B4GALT7	0.2706	0.435	0.337	0.0134	-0.0679	-0.1586	Yes
NM_033177	chr6	-	31737840	31741142	BAT4	0.1272	0.3753	0.3013	-0.0519	-0.0529	0.1024	No
NM_020396	chr15	-	50189113	50192264	BCL2L10	0.3819	0.269	0.1977	-0.0138	-0.1472	0.2804	Yes
NM_004328	chr2	+	219232622	219236410	BCS1L	0.2352	0.5414	0.645	0.3867	0.5211	0.2495	Yes
NM_182962	chr11	+	101693403	101713675	BIRC3	0.4519	0.3571	0.0741	0.1305	0.1024	-0.0469	Yes
NM_000713	chr19	-	45645530	45663565	BLVRB	0.2204	0.3695	0.2456	-0.1256	-0.0326	0.5298	Yes
NM_015201	chr8	-	145456863	145485928	BOP1	0.1709	0.8344	0.5111	0.6132	0.5501	0.1898	Yes
NM_080626	chr12	+	124044146	124076302	BRI3BP	0.6866	0.0157	0.1515	0.4898	1.2137	1.1853	Yes
NM_032194	chr6	+	111409983	111453487	BXDC1	0.2354	0.726	0.6033	0.7298	0.6663	-0.034	Yes
NM_004053	chr6	+	41996942	42008762	BYSL	0.4548	0.6616	0.3987	0.507	0.4536	0.0734	Yes
NM_173573	chr11	-	544856	550779	C11orf35	0.4438	0.4919	0.2958	-0.0031	-0.1763	-0.542	Yes
NM_145018	chr11	+	82290384	82323347	C11orf82	0.4865	0.189	0.6188	0.7277	1.3351	0.278	Yes
NM_013300	chr12	+	109390614	109412575	C12orf24	-0.0163	0.5288	0.8895	1.2087	1.5735	1.1494	Yes
NM_032829	chr12	+	108656954	108692682	C12orf34	0.0714	0.6443	0.3472	1.0582	0.0322	0.1516	No
NM_020374	chr12	-	4467161	4517898	C12orf4	-0.0632	0.5936	0.3036	0.2321	0.0335	0.1035	Yes
NM_032848	chr12	+	112107937	112114502	C12orf52	0.0879	0.422	0.3273	0.1402	0.0435	0.1211	Yes
NM_025113	chr13	-	45814137	45859636	C13orf18	0.5392	0.4908	1.1965	1.3003	0.9617	2.0944	No
NM_138779	chr13	-	102216465	102224150	C13orf27	0.2947	0.0871	0.4488	0.5678	0.8407	0.9547	Yes
NM_144581	chr14	-	59009158	59020826	C14orf149	0.5276	0.7261	0.5289	0.3467	0.2505	0.0231	Yes
NM_015492	chr15	+	73281273	73291563	C15orf39	0.1482	0.3894	0.3218	0.1424	-0.1067	-0.5296	Yes
NM_197955	chr15	+	43510054	43512939	C15orf48	0.4587	0.6656	1.1107	0.7591	0.3512	-0.5409	No
NM_138418	chr16	+	631849	638475	C16orf14	0.2765	0.5903	0.3473	0.2943	0.1361	-0.1847	Yes
NM_206967	chr16	-	84298624	84342190	C16orf74	0.381	0.2419	0.2531	-0.126	0.1983	0.3756	Yes
NM_199249	chr19	-	55992772	55999786	C19orf48	0.3224	0.7072	0.3061	0.4316	0.3686	0.2831	Yes
NM_182486	chr22	-	35906151	35914276	C1QTNF6	0.1884	0.4925	0.4029	0.1639	0.1265	-0.0327	Yes
NM_001013615	chr1	+	46441592	46459514	C1orf190	-0.1471	0.465	0.474	-0.2287	-0.3464	0.2442	No
NM_024319	chr1	-	226355050	226357645	C1orf35	0.2814	0.4601	0.3761	0.0141	0.1058	-0.0217	Yes
NM_144697	chr1	+	148521852	148526125	C1orf51	0.5894	0.6045	0.3378	-0.0849	-0.1628	-0.1072	Yes
NM_001024675	chr20	+	31717964	31719992	C20orf134	0.0705	0.6894	0.501	-0.1197	-0.0231	-0.5399	Yes
NM_080625	chr20	+	30061905	30083645	C20orf160	0.5881	0.5643	0.2371	0.4004	0.4622	0.5828	No
NM_032319	chr2	-	73308641	73313864	C2orf7	0.4153	0.4255	0.0841	-0.0119	0.1353	0.1748	Yes
NM_001077657	chr3	-	197718146	197726634	C3orf43	0.0803	0.3297	0.4458	-0.0078	-0.0334	-0.1381	No
NM_001031700	chr4	-	159265181	159313652	C4orf18	0.2865	0.1618	0.4463	0.784	0.1174	-0.0379	No
NM_001099271	chr5	-	75005779	75049069	C5orf37	0.5223	0.3459	-0.0556	0.1759	0.3946	0.2673	Yes
NM_024573	chr6	+	151815114	151832925	C6orf211	0.326	0.2655	0.3076	0.7287	0.9888	0.6266	Yes
NM_014165	chr6	-	97444860	97452488	C6orf66	0.7181	0.3513	0.2975	0.7102	0.5156	0.0888	Yes
NR_003697	chr7	-	44989151	44992784	C7orf40	0.6848	0.697	0.5459	0.5444	0.2912	0.0567	Yes
NM_000066	chr1	-	57167470	57204276	C8B	0.5193	0.2834	0.2276	-0.0404	-0.3164	-0.2073	No
NM_152765	chr8	+	67568044	67593311	C8orf46	0.5979	0.5894	0.5068	0.3682	0.5023	0.9307	No
NM_016647	chr8	+	143805622	143815352	C8orf55	0.2976	0.5657	0.0817	0.0475	-0.39	-0.5612	Yes
NM_001100878	chr8	-	144719505	144726071	C8orf73	0.1526	0.5023	0.2856	0.2342	-0.0321	-0.1361	Yes
NM_016390	chr9	-	130624165	130631906	C9orf114	0.1831	0.5842	0.2666	0.0765	0.1994	0.0609	Yes
NM_001127608	chr9	+	71129307	71197190	C9orf61	0.9205	0.5363	0.59	0.259	0.144	0.2779	Yes
NM_001218	chr15	-	61402782	61461128	CA12	0.6928	0.7152	0.7581	0.9964	1.6357	1.7811	Yes
NM_000067	chr8	+	86563382	86580973	CA2	0.1985	0.3124	0.7435	1.1463	1.1838	2.125	No
NM_000718	chr9	+	139892061	140138896	CACNA1B	0.2744	0.2527	0.3626	0.0187	-0.2099	0.0482	No
NM_001742	chr7	-	92891734	93041686	CALCR	0.0719	0.9937	1.4918	2.2168	1.8289	2.0818	No
NM_014550	chr22	-	36216345	36245156	CARD10	0.1738	0.5712	0.2691	-0.0158	0.2019	0.1433	Yes
