Gene title	Gene symbol	Fold change	P-value	Genbank ID
ATP-binding cassette, sub-family G (WHITE), member 1	ABCG1	5.14	0.0101	NM_004915
Pyridoxal-dependent decarboxylase domain containing 1	PDXDC1	4.56	0.0186	AK026209
Arginase, type II	ARG2	4.38	0.0162	U75667
Growth differentiation factor 15	GDF15	4.17	0.0149	AF003934
ZXD family zinc finger C	ZXDC	4.11	0.0053	AW194655
A kinase (PRKA) anchor protein 12	AKAP12	4.1	0.0405	BF511276
Glutamine-fructose-6-phosphate transaminase 1	GFPT1	3.97	0.0318	AF131846
Eukaryotic translation initiation factor 2-alpha kinase 3	EIF2AK3	3.33	0.0252	NM_004836
Mitogen-activated protein kinase kinase kinase 9	MAP3K9	2.38	0.0006	AF251442
Heparin-binding EGF-like growth factor	HBEGF	2.04	0.0047	NM_001945
