Genea	Gene name	Up-regulated ( + ) or down-regulated ( - ) in response to AZM (fold)	Protein
PA0044b	exoT	1.35E+01	Exoenzyme T
PA0263c	hcpC	3.83E+00	Secreted protein Hcp
PA0409	pilH	3.24E+00	Twitching motility protein PilH
PA0422		6.27E+00	Conserved hypothetical protein
PA0456		3.38E+00	Probable cold shock protein
PA0555	fda	5.16E+00	Fructose-1,6-bisphosphate aldolase
PA0649	trpG	1.21E+01	Anthranilate synthase component II
PA0650	trpD	7.38E+00	Anthranilate phosphoribosyltransferase
PA0651	trpC	5.90E+00	Indole-3-glycerolphosphate synthase
PA0805		8.74E+00	Hypothetical protein
PA0943		3.51E+00	Hypothetical protein
PA0996	pqsA	3.78E+00	Probable coenzyme A ligase
PA1440		5.38E+00	Hypothetical protein
PA1493d	cysP	3.50E+00	Sulfate-binding protein of ABC transporter
PA1494		2.61E+00	Conserved hypothetical protein
PA1564		4.64E+00	Conserved hypothetical protein
PA1696b	pscO	8.38E+00	Translocation protein in type III secretion
PA1706b,d	pcrV	9.19E+01	Type III secretion protein PcrV
PA1707b	pcrH	1.42E+01	Regulatory protein PcrH
PA1708b	popB	6.77E+00	Translocator protein PopB
PA1709b	popD	6.25E+00	Translocator outer membrane protein PopD precursor
PA1710b	exsC	8.99E+00	Exoenzyme S synthesis protein C precursor
PA1711b		1.19E+01	Hypothetical protein
PA1712b	exsB	8.59E+00	Exoenzyme S synthesis protein B
PA1714b		4.45E+00	Hypothetical protein
PA1715b	pscB	1.65E+01	Type III export apparatus protein
PA1754	cysB	3.24E+00	Transcriptional regulator CysB
PA2015		2.78E+00	Probable acyl-coenzyme A dehydrogenase
PA2016		8.72E+00	Probable transcriptional regulator
PA2023	galU	4.90E+00	UTP-glucose-l-phosphate uridylyltransferase
PA2191b	exoY	2.01E+01	Adenylate cyclase ExoY
PA2193e	hcnA	2.62E+00	Hydrogen cyanide synthase HcnA
PA2423e		5.55E+00	Hypothetical protein
PA2464		3.42E+00	Hypothetical protein
PA2619	infA	1.90E+01	Initiation factor
PA2747		4.85E+00	Hypothetical protein
PA2755	eco	4.69E+00	Ecotin precursor
