ProbeSet	Fold	Direction	GeneName	P Value	Function
X00695	2.8	Up	Interleukin-2	0.01	T-cell and B-cell activation
X52142	4.3	Up	CTP synthetase	0.01	Glucose metabolism
U25956	2.1	Up	P-selectin	0.01	T-cell and B-cell activation
K02765	2.4	Up	Complement component C3	0.01	T-cell and B-cell activation
S70004	2.8	Up	Glycogen synthase	0.01	Glucose metabolism
L05144	2.2	Up	Phosphoenolpyruvate carboxykinase	0.01	Glucose metabolism
K01160	3	Up	MHC class II	0.01	T-cell and B-cell activation
HG2915	3.1	Up	MHC class I	0.01	T-cell and B-cell activation
K03430	3.8	Up	Complement C1q	0.05	T-cell and B-cell activation
M91432	3	Up	Medium-chain acyl-CoA dehydrogenase	0.05	Fatty acid metabolism
M29194	2.4	Up	Triglyceride lipase	0.01	Fatty acid metabolism
M28879	2.9	Up	Granzyme B	0.01	T-cell and B-cell activation
D83004	3	Up	Ubiquitin-conjugating enzyme E2	0.05	Protein metabolism
U49869	2.1	Up	Ubiquitin	0.01	Protein metabolism
M58028	2	Up	Ubiquitin-activating enzyme E1	0.01	Protein metabolism
M97935	3.1	Up	Transcription factor ISGF-3	0.01	Transcription factors/stress response
M87503	2.3	Up	IFN-responsive transcription factor	0.01	Transcription factors/stress response
M11717	2.4	Up	Heat shock protein 70	0.01	Transcription factors/stress response
M59465	2.4	Up	TNF-alpha inducible protein A20	0.01	Apoptosis
U69611	3	Up	TNF-alpha converting enzyme	0.01	Apoptosis
U37518	4.9	Up	TNF-related apoptosis inducing ligand	0.01	Apoptosis
X57025	2.5	Up	Insulin-like growth factor I	0.05	Growth factors
X05839	3.2	Up	Transforming growth factor beta 1	0.05	Growth factors
X02910	2.1	Up	TNF-alpha	0.01	Apoptosis
