Gene Symbol	Reference Sequence	Probe Name	Log2 Fold Change	P value	Expressio
S100a11	NM_016740	A_51_P155643	1.11	4.63 x 10-8	Up-Regulated
Has1	NM_008215	A_51_P492456	0.54	2.46 x 10-6	Up-Regulated
Il1rl1	NM_001025602	A_52_P484194	1.59	5.73 x 10-6	Up-Regulated
Shmt2	NM_028230	A_51_P313761	0.77	6.94 x 10-6	Up-Regulated
Nrg1	XM_900803	A_52_P158772	1.43	1.15 x 10-5	Up-Regulated
Capg	NM_007599	A_51_P273921	1.75	1.74 x 10-5	Up-Regulated
Cdc7	NM_009863	A_51_P206616	0.61	1.97 x 10-5	Up-Regulated
Fgfr4	AF127140	A_52_P144363	0.92	2.32 x 10-5	Up-Regulated
Stc1	NM_009285	A_51_P233334	0.47	2.69 x 10-5	Up-Regulated
Cdca5	NM_026410	A_51_P125135	0.98	3.14 x 10-5	Up-Regulated
Tnfrs1b	NM_011610	A_52_P228621	1	3.33 x 10-5	Up-Regulated
Mmp10	NM_019471	A_51_P120830	2.93	3.94 x 10-5	Up-Regulated
Ccna2	NM_009828	A_51_P481920	1.49	4.15 x 10-5	Up-Regulated
Baiap2	NM_130862	A_52_P290202	0.88	4.50 x 10-5	Up-Regulated
Afp	NM_007423	A_51_P510891	0.79	4.75 x 10-5	Up-Regulated
Dusp4	AK012530	A_51_P347333	1.04	5.50 x 10-5	Up-Regulated
Bysl	NM_016859	A_52_P131836	0.69	6.28 x 10-5	Up-Regulated
Cdca2	NM_175384	A_52_P211223	1.2	6.81 x 10-5	Up-Regulated
Ptgs2	NM_011198	A_52_P224760	1	8.42 x 10-5	Up-Regulated
Cdca1	NM_023284	A_51_P513682	1.18	9.29 x 10-5	Up-Regulated
Ctrl	NM_023182	A_51_P177491	0.84	0.0001	Up-Regulated
Anxa2	NM_007585	A_52_P62037	0.69	0.0001	Up-Regulated
Trim29	NM_023655	A_51_P409349	1.56	0.0001	Up-Regulated
Gpr39	AK016817	A_52_P635015	0.8	0.0001	Up-Regulated
Top2a	NM_011623	A_51_P252157	1.3	0.0002	Up-Regulated
Mybl2	NM_008652	A_51_P351144	0.75	0.0002	Up-Regulated
Il1b	NM_008361	A_51_P212782	2.42	0.0003	Up-Regulated
Cdkn3	BC049694	A_52_P30984	0.95	0.0003	Up-Regulated
Eya2	NM_010165	A_51_P334209	0.99	0.0003	Up-Regulated
S100a16	NM_026416	A_51_P134533	1.03	0.0004	Up-Regulated
Egfr	NM_207655	A_52_P106259	0.78	0.0004	Up-Regulated
Ccnf	NM_007634	A_51_P328333	1.02	0.0004	Up-Regulated
Birc5	NM_009689	A_51_P230103	1.1	0.0004	Up-Regulated
Itga3	NM_013565	A_51_P230405	0.56	0.0005	Up-Regulated
Cdca3	NM_013538	A_52_P628067	0.89	0.0005	Up-Regulated
Ccnb2	NM_007630	A_51_P457528	0.96	0.0005	Up-Regulated
Ly6a	NM_010738	A_51_P265495	1.63	0.0005	Up-Regulated
Bmp7	NM_007557	A_52_P278354	0.74	0.0007	Up-Regulated
Kras	NM_021284	A_51_P136233	0.45	0.0009	Up-Regulated
Cdk2	NM_183417	A_52_P651298	0.37	0.001	Up-Regulated
Tff1	NM_009362	A_51_P504884	1.42	0.001	Up-Regulated
Fgf7	NM_008008	A_51_P465331	1.52	0.001	Up-Regulated
Ccnb1	NM_172301	A_52_P202770	1.16	0.001	Up-Regulated
Igfbp5	NM_010518	A_51_P204153	0.7	0.001	Up-Regulated
Nras	NM_010937	A_51_P396273	0.53	0.001	Up-Regulated
Igfbp6	NM_008344	A_51_P374571	-0.93	5.78 x 10-8	Down-Regulated
Plp1	NM_011123	A_52_P408728	-1.03	4.23 x 10-7	Down-Regulated
Grb14	NM_016719	A_51_P517215	-0.93	5.51 x 10-6	Down-Regulated
Muc2	BC034197	A_51_P128320	-2.22	1.71 x 10-5	Down-Regulated
Reck	NM_016678	A_51_P271887	-0.85	3.37 x 10-5	Down-Regulated
Islr	NM_012043	A_51_P140742	-0.78	4.43 x 10-5	Down-Regulated
Ssbp2	AK005150	A_52_P557098	-0.9	4.95 x 10-5	Down-Regulated
Glis2	NM_031184	A_52_P108447	-0.69	0.0001	Down-Regulated
Lefty1	NM_010094	A_51_P354706	-1.12	0.0001	Down-Regulated
Hdac5	NM_010412	A_51_P278893	-0.97	0.0001	Down-Regulated
Tgfb1l1	NM_009365	A_52_P209383	-0.46	0.0001	Down-Regulated
Lmod1	NM_053106	A_51_P429567	-0.68	0.0001	Down-Regulated
