# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|9235|9235	hgnc_symbol|IL32|IL32
entrezgene|10578|10578	hgnc_symbol|GNLY|GNLY
entrezgene|6955|6955	hgnc_symbol|TRA@|TRA@
entrezgene|3002|3002	hgnc_symbol|GZMB|GZMB
entrezgene|10125|10125	hgnc_symbol|RASGRP1|RASGRP1
entrezgene|2633|2633	hgnc_symbol|GBP1|GBP1
entrezgene|3932|3932	hgnc_symbol|LCK|LCK
entrezgene|3559|3559	hgnc_symbol|IL2RA|IL2RA
entrezgene|924|924	hgnc_symbol|CD7|CD7
entrezgene|3560|3560	hgnc_symbol|IL2RB|IL2RB
entrezgene|6955|6955	hgnc_symbol|TRA@|TRA@
entrezgene|3932|3932	hgnc_symbol|LCK|LCK
entrezgene|6955|6955	hgnc_symbol|TRA@|TRA@
entrezgene|2633|2633	hgnc_symbol|GBP1|GBP1
entrezgene|51561|51561	hgnc_symbol|IL23A|IL23A
entrezgene|1236|1236	hgnc_symbol|CCR7|CCR7
entrezgene|3559|3559	hgnc_symbol|IL2RA|IL2RA
entrezgene|915|915	hgnc_symbol|CD3D|CD3D
entrezgene|6955|6955	hgnc_symbol|TRA@|TRA@
entrezgene|3702|3702	hgnc_symbol|ITK|ITK
entrezgene|51561|51561	hgnc_symbol|IL23A|IL23A
entrezgene|51561|51561	hgnc_symbol|IL23A|IL23A
entrezgene|3458|3458	hgnc_symbol|IFNG|IFNG
entrezgene|10578|10578	hgnc_symbol|GNLY|GNLY
entrezgene|54674|54674	hgnc_symbol|LRRN3|LRRN3
entrezgene|79037|79037	hgnc_symbol|PVRIG|PVRIG
entrezgene|79413|79413	hgnc_symbol|ZBED2|ZBED2
entrezgene|6772|6772	hgnc_symbol|STAT1|STAT1
entrezgene|4068|4068	hgnc_symbol|SH2D1A|SH2D1A
entrezgene|1396|1396	hgnc_symbol|CRIP1|CRIP1
entrezgene|4118|4118	hgnc_symbol|MAL|MAL
entrezgene|4501|4501	hgnc_symbol|MT1X|MT1X
entrezgene|3001|3001	hgnc_symbol|GZMA|GZMA
entrezgene|2113|2113	hgnc_symbol|ETS1|ETS1
entrezgene|914|914	hgnc_symbol|CD2|CD2
