Affymetrix ID	Gene	Title	Fold
204244_s_at	ASK	Activator of S phase kinase	3
205345_at	BARD1	BRCA1 associated RING domain 1	24.3
222201_s_at	CASP8AP2	CASP8 associated protein 2	2.6
204826_at	CCNF	Cyclin F	2.1
203968_s_at	CDC6	CDC6 cell division cycle 6 homolog	3.5
204510_at	CDC7L1	CDC7 cell division cycle 7-like 1	2.8
201697_s_at	DNMT1	DNA (cytosine-5-)-methyltransferase 1	3
218530_at	FHOD1	Formin homology 2 domain containing 1	7.5
221521_s_at	L0C51659	HSPCO37 protein	42.2
202107_s_at	MCM2	MCM2 minichromosome maintenance deficient 2	2.6
201555_at	MCM3	MCM3 minichromosome maintenance deficient 3	4.3
216237_s_at	MCM5	MCM5 minichromosome maintenance deficient 5	9.2
201930_at	MCM6	MCM6 minichromosome maintenance deficient 6	4.9
209421_at	MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1	2
202911_at	MSH6	mutS homolog 6	3
201202_at	PCNA	Proliferating cell nuclear antigen	4.3
213226_at	PMSCL1	Polymyositis/scleroderma autoantigen 1	9.2
216026_s_at	POLE	Polymerase (DNA directed), epsilon	8
205909_at	POLE2	Polymerase (DNA directed), epsilon 2 (p59 subunit)	3
205296_at	RBL1	Retinoblastoma-like protein 1	3.2
204127_at	RFC3	Replication factor C (activator 1) 3	7.5
205339_at	SIL	TALl (SCL) interrupting locus	13.9
201589_at	SMC1L1	SMC1 structural maintenance	3.5
204822_at	TTK	TTK protein kinase	59.7
202589_at	TYMS	Thymidylate synthetase	11.3
