Gene ID	Description	Functional class	Comment	SG enrichment (log2-fold)
AAEL009226	conserved hypothetical protein	CS		5.855544518
AAEL010215	filamin, putative	CS		4.421992749
AAEL014591	filamin, putative	CS		3.804010526
AAEL011436	myosin xv	CS		2.739156134
AAEL007194	pupal cuticle protein, putative	CS		2.692719626
AAEL007092	conserved hypothetical protein	CS		2.469301826
AAEL006336	conserved hypothetical protein	CS		2.387457884
AAEL017258	possible mucin	CS		2.173952079
AAEL008308	conserved hypothetical protein	CS		2.10104616
AAEL009010	conserved hypothetical protein	CS		2.038987894
AAEL005407	annexin x	CS		1.979210902
AAEL015057	hypothetical protein	CS		1.882965814
AAEL000339	paxillin, putative	CS		1.85578591
AAEL008318	cadherin, putative	CS		1.855513169
AAEL005189	colmedin	CS		1.825826333
AAEL013786	growth factor receptor-bound protein	CS		1.79205991
AAEL002458	pupal cuticle protein, putative	CS		1.722387931
AAEL007506	lava lamp protein	CS		1.71500376
AAEL009991	myosin iii	CS		1.681337806
AAEL007192	pupal cuticle protein, putative	CS		1.647539045
AAEL011803	prohibitin, putative	CS		1.635708425
AAEL008873	pupal cuticle protein 78E, putative	CS		1.602452807
AAEL011302	annexin	CS		1.602446885
AAEL010265	hypothetical protein	CS		1.586061711
AAEL007162	gaba(a) receptor-associated protein	CS		1.572294299
AAEL010289	beta nu integrin subunit	CS		1.53474914
AAEL003784	conserved hypothetical protein	CS		1.501176434
AAEL004475	arp2/3 complex 21 kd subunit	CS		1.487152701
AAEL009969	axonemal dynein light chain	CS		1.475728451
AAEL006340	conserved hypothetical protein	CS		1.420693664
AAEL011566	cell adhesion molecule	CS		1.410707054
AAEL004227	myosin vi	CS		1.393910185
AAEL002482	hypothetical protein	CS		1.388825971
AAEL009271	testin	CS		1.374125694
AAEL015606	hypothetical protein	CS		1.369198697
AAEL007132	dynein heavy chain	CS		1.340804804
AAEL004668	septin	CS		1.336967789
AAEL001353	rhogef and pleckstrin domain protein	CS		1.326112279
AAEL011336	conserved hypothetical protein	CS		1.262358539
AAEL001411	myosin heavy chain, nonmuscle or smooth muscle	CS		1.25457943
AAEL008513	hypothetical protein	CS		1.207640688
AAEL004623	band 4.1-like protein 5, putative	CS		1.205505738
AAEL005417	annexin x	CS		1.201730374
AAEL002625	conserved hypothetical protein	CS		1.189024473
AAEL008057	myosin light chain kinase	CS		1.166161294
AAEL002613	conserved hypothetical protein	CS		1.124245441
AAEL009630	high-affinity cgmp-specific 3,5-cyclic phosphodiesterase	CS		1.120896086
AAEL009616	cadherin	CS		1.10961914
AAEL010979	growth factor receptor-bound protein	CS		1.102883332
AAEL011972	actin binding protein, putative	CS		1.09162658
AAEL003231	conserved hypothetical protein	CS		1.071441822
