Group	Spot name	Accession number	Gene code	Chromosome map	Pattern	Log rank p	q value
F group	Nbla11606	NM_006009	TUBA3	12q13.12	F > UF	0	0.000674
F group	Nbla00890	NM_003899	ARHGEF7	13q34	F > UF	0.000001	0.000743
F group	Nbla00260	NM_006082	K-ALPHA-1	12q13.12	F > UF	0.000003	0.000926
F group	Nbla21891	U87309	VPS41	7p14.1	F > UF	0.000006	0.001096
F group	Nbla03873	NM_006054	RTN3	11q13.1	F > UF	0.00001	0.001282
F group	Nbla11788	NM_006262	PRPH	12q13.12	F > UF	0.000017	0.001522
F group	Nbla10093	NM_000183	HADHB	2p23.3	F > UF	0.000018	0.001541
F group	Nbla22572	NM_000790	DDC	7p12.2	F > UF	0.000035	0.00213
F group	Nbla21270	NM_001915	CYB561	17q23.3	F > UF	0.00016	0.00495
F group	gene071	NM_000360	TH	11p15.5	F > UF	0.000787	0.012173
F group	Nbla03499	NM_002074	GNB1	1p36.33	F > UF	0.000795	0.012237
F group	Nbla04181	AK55112	AK55112	5q13.2	F > UF	0.001425	0.017462
F group	Nbla00487	AB075512	C6orf134	6p21.33	F > UF	0.002751	0.025273
F group	Nbla00269	NM_000787	DBH	9q34.2	F > UF	0.00362	0.030407
F group	Nbla22531	NM_002045	GAP43	3q13.31	F > UF	0.004394	0.034175
F group	Nbla22156	NM_014944	CLSTN1	1p36.22	F > UF	0.005233	0.038274
F group	Nbla00578	NM_006818	AF1Q	1q21.3	F > UF	0.009397	0.05354
F group	Nbla00217	NM_032638	GATA2	3q21.3	F > UF	0.010245	0.056301
F group	Nbla21394	NM_000743	CHRNA3	15q25.1	F > UF	0.072464	0.162629
F group	Nbla11993	NM_015980	HMP19	5q35.2	F > UF	0.204274	0.282486
UF group	Nbla00214	NM_000980	RPL18A	19p13.11	F < UF	0.000002	0.001107
UF group	Nbla00013	NM_006098	GNB2L1	5q35.3	F < UF	0.000006	0.001051
UF group	Nbla11459	NM_004939	DDX1	2p24.3	F < UF	0.000024	0.001795
UF group	Nbla11148	NM_001002	RPLP0	12q24.23	F < UF	0.000049	0.002549
UF group	Nbla00332	NM_001404	EEF1G	11q12.3	F < UF	0.000055	0.002696
UF group	Nbla10395	NM_002593	PCOLCE	7q22.1	F < UF	0.000164	0.005009
UF group	Nbla03286	NM_020198	GK001	17q23.3	F < UF	0.000175	0.005204
UF group	Nbla23163	NM_003754	EIF3S5	11p15.4	F < UF	0.000341	0.007105
UF group	Nbla10579	NM_181453	GCC2	2q12.3	F < UF	0.000962	0.01407
UF group	Nbla00359	NM_003550	MAD1L1	7p22.3	F < UF	0.00112	0.01525
UF group	gene052-1	NM_005378	MYCN	2p24.3	F < UF	0.001253	0.016367
UF group	Nbla03925	NM_002295	LAMR1	3p22.2	F < UF	0.001773	0.01931
UF group	Nbla23424	NM_001404	EEF1G	11q12.3	F < UF	0.003579	0.030326
UF group	Nbla22554	NM_000687	AHCY	20q11.22	F < UF	0.003946	0.032409
UF group	gene056	NM_000546	TP53	17p13.1	F < UF	0.004087	0.032829
UF group	Nbla10873	NM_005762	TRIM28	19q13.43	F < UF	0.004984	0.037476
UF group	Nbla00501	NM_000969	RPL5	1p22.1	F < UF	0.005786	0.04012
UF group	Nbla10302	NM_001428	ENO1	1p36.23	F < UF	0.007702	0.048179
UF group	Nbla04200	NM_000968	RPL4	15q22.31	F < UF	0.04097	0.120453
UF group	Nbla03836	NM_000972	RPL7A	9q34.2	F < UF	0.048031	0.132345
UF group	Nbla00781	NM_001064	TKT	3p21.1	F < UF	0.048075	0.132342
