Gene name	Gene symbol	Accession no.	Fold change	Factor
Catenin (cadherin-associated protein), alpha 1	CTNNA1	NM_001903	8755.7	Genes up-regulated more than 5-fold by KLF5
Matrix metalloproteinase 9	MMP9	NM_004994	2143.9	Genes up-regulated more than 5-fold by KLF5
Hyaluronan synthase 1	HAS1	NM_01523	34.7	Genes up-regulated more than 5-fold by KLF5
Integrin, beta 4	ITGB4	NM_000213	15.8	Genes up-regulated more than 5-fold by KLF5
Laminin, beta 3	LAMB3	NM_000228	13	Genes up-regulated more than 5-fold by KLF5
Extracellular matrix protein 1	ECM1	NM_004425	11.8	Genes up-regulated more than 5-fold by KLF5
Integrin, alpha 2	ITGA2	NM_002203	9.8	Genes up-regulated more than 5-fold by KLF5
Laminin, alpha 3	LAMA3	NM_000227	9.3	Genes up-regulated more than 5-fold by KLF5
A disintegrin and metalloprotease with thrombospondin motifs, 8	ADAMTS8	NM_007037	8.4	Genes up-regulated more than 5-fold by KLF5
Vitronectin	VTN	NM_000638	8.2	Genes up-regulated more than 5-fold by KLF5
Tissue inhibitor of metalloproteinase 3	TIMP3	NM_000362	7.7	Genes up-regulated more than 5-fold by KLF5
Integrin, alpha M	ITGAM	NM_000632	7	Genes up-regulated more than 5-fold by KLF5
Integrin, beta 3	ITGB3	NM_000212	5.9	Genes up-regulated more than 5-fold by KLF5
Integrin, alpha 3	ITGA3	NM_002204	5.1	Genes up-regulated more than 5-fold by KLF5
Cadherin 1, type 1, E-cadherin	CDH1	NM_004360	5.1	Genes up-regulated more than 5-fold by KLF5
