Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
200033_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5 /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	DDX5	17q21	1655
200045_at	ATP-binding cassette, sub-family F (GCN20), member 1 /// ATP-binding cassette, sub-family F (GCN20), member 1	ABCF1	6p21.33	23
200049_at	MYST histone acetyltransferase 2 /// MYST histone acetyltransferase 2	MYST2	17q21.32	11143
200052_s_at	interleukin enhancer binding factor 2, 45kDa /// interleukin enhancer binding factor 2, 45kDa	ILF2	1q21.3	3608
200055_at	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa /// TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	TAF10	11p15.3	6881
200089_s_at	ribosomal protein L4 /// ribosomal protein L4	RPL4	15q22	6124
200699_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	KDELR2	7p22.1	11014
200709_at	FK506 binding protein 1A, 12kDa	FKBP1A	20p13	2280
200758_s_at	nuclear factor (erythroid-derived 2)-like 1	NFE2L1	17q21.3	4779
200790_at	ornithine decarboxylase 1	ODC1	2p25	4953
200795_at	SPARC-like 1 (mast9, hevin)	SPARCL1	4q22.1	8404
200880_at	DnaJ (Hsp40) homolog, subfamily A, member 1	DNAJA1	9p13-p12	3301
200883_at	ubiquinol-cytochrome c reductase core protein II	UQCRC2	16p12	7385
200905_x_at	major histocompatibility complex, class I, E	HLA-E	6p21.3	3133
200974_at	actin, alpha 2, smooth muscle, aorta	ACTA2	10q23.3	59
200975_at	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	PPT1	1p32	5538
200987_x_at	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	PSME3	17q21	10197
200993_at	importin 7	IPO7	11p15.4	10527
201012_at	annexin A1	ANXA1	9q12-q21.2|9q12-q21.2	301
201032_at	bladder cancer associated protein	BLCAP	20q11.2-q12	10904
